Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.169777,[77 17] ; [12 21],[65.87401575 28.12598425] ; [23.12598425  9.87401575],1
p9,1,0.035256,4.432723,[66 24] ; [17 15],[61.2295082 28.7704918] ; [21.7704918 10.2295082],0
a6,1,0.069826,3.287096,[57 37] ; [14 19],[52.5511811 41.4488189] ; [18.4488189 14.5511811],0
n6,1,0.089913,2.875926,[69 25] ; [19 14],[65.13385827 28.86614173] ; [22.86614173 10.13385827],0
d5,1,0.098264,2.733488,[41 53] ; [ 9 24],[37.00787402 56.99212598] ; [12.99212598 20.00787402],0
u2,1,0.128157,2.314686,[21 31] ; [11  7],[23.77142857 28.22857143] ; [8.22857143 9.77142857],0
u3,1,0.15804,1.992876,[19 33] ; [10  8],[21.54285714 30.45714286] ; [ 7.45714286 10.54285714],0
r3,1,0.159515,1.978822,[71 22] ; [29  4],[73.80952381 19.19047619] ; [26.19047619  6.80952381],0
n1,1,0.166993,1.909736,[14 15] ; [ 4 11],[11.86363636 17.13636364] ; [6.13636364 8.86363636],0
p5,1,0.172649,1.859793,[10 82] ; [ 1 32],[ 8.096 83.904] ; [ 2.904 30.096],0
s1,1,0.178919,1.806577,[ 3 89] ; [ 3 30],[ 4.416 87.584] ; [ 1.584 31.416],0
a4,1,0.201689,1.630104,[24 68] ; [ 5 28],[21.344 70.656] ; [ 7.656 25.344],0
b5,1,0.214699,1.539454,[51 43] ; [22 11],[54.03149606 39.96850394] ; [18.96850394 14.03149606],0
d3,1,0.222782,1.486359,[21 72] ; [11 22],[23.61904762 69.38095238] ; [ 8.38095238 24.61904762],0
a5,1,0.24834,1.332617,[48 46] ; [13 20],[45.1496063 48.8503937] ; [15.8503937 17.1496063],0
p1,1,0.261223,1.262265,[10 84] ; [ 6 27],[11.84251969 82.15748031] ; [ 4.15748031 28.84251969],0
b1,1,0.268686,1.223443,[38 56] ; [17 16],[40.70866142 53.29133858] ; [14.29133858 18.70866142],0
p10,1,0.289857,1.120284,[58 33] ; [17 15],[55.48780488 35.51219512] ; [19.51219512 12.48780488],0
p2,1,0.290506,1.117276,[65 29] ; [26  7],[67.35433071 26.64566929] ; [23.64566929  9.35433071],0
s6,1,0.313105,1.017534,[37 55] ; [10 23],[34.592 57.408] ; [12.408 20.592],0
v4,1,0.358043,0.844747,[79 15] ; [29  3],[80.57142857 13.42857143] ; [27.42857143  4.57142857],0
p8,1,0.384531,0.756167,[38 51] ; [17 16],[40.12295082 48.87704918] ; [14.87704918 18.12295082],0
d2,1,0.392439,0.731373,[24 70] ; [ 6 27],[22.20472441 71.79527559] ; [ 7.79527559 25.20472441],0
v1,1,0.463067,0.538472,[38 53] ; [11 21],[36.25203252 54.74796748] ; [12.74796748 19.25203252],0
p3,1,0.467251,0.528469,[41 53] ; [12 21],[39.22834646 54.77165354] ; [13.77165354 19.22834646],0
a2,1,0.536956,0.38121,[ 9 85] ; [ 2 31],[ 8.14173228 85.85826772] ; [ 2.85826772 30.14173228],0
b4,1,0.579264,0.307426,[46 48] ; [18 15],[47.37007874 46.62992126] ; [16.62992126 16.37007874],0
a1,1,0.593911,0.284277,[ 5 89] ; [ 1 32],[ 4.44094488 89.55905512] ; [ 1.55905512 31.44094488],0
r2,1,0.607947,0.263175,[76 18] ; [28  5],[76.97637795 17.02362205] ; [27.02362205  5.97637795],0
s8,1,0.608618,0.262192,[16 77] ; [ 7 26],[16.97619048 76.02380952] ; [ 6.02380952 26.97619048],0
n3,1,0.619668,0.246334,[20  8] ; [11  3],[20.66666667  7.33333333] ; [10.33333333  3.66666667],0
p4,1,0.663568,0.189218,[44 50] ; [14 19],[42.92913386 51.07086614] ; [15.07086614 17.92913386],0
v3,1,0.721716,0.126854,[26 66] ; [ 8 24],[25.22580645 66.77419355] ; [ 8.77419355 23.22580645],0
a7,1,0.741447,0.108859,[51 43] ; [19 14],[51.81102362 42.18897638] ; [18.18897638 14.81102362],0
v2,1,0.776095,0.08089,[32 54] ; [11 21],[31.33898305 54.66101695] ; [11.66101695 20.33898305],0
p11,1,0.791696,0.069753,[65 29] ; [22 11],[64.39370079 29.60629921] ; [22.60629921 10.39370079],0
s4,1,0.800818,0.06365,[10 84] ; [ 3 30],[ 9.62204724 84.37795276] ; [ 3.37795276 29.62204724],0
p7,1,0.814892,0.054812,[48 44] ; [18 15],[48.576 43.424] ; [17.424 15.576],0
a8,1,0.838007,0.041797,[ 9 78] ; [ 3 30],[ 8.7 78.3] ; [ 3.3 29.7],0
r4,1,0.873604,0.025307,[67 27] ; [24  9],[67.35433071 26.64566929] ; [23.64566929  9.35433071],0
s7,1,0.901286,0.015385,[17 69] ; [ 6 26],[16.76271186 69.23728814] ; [ 6.23728814 25.76271186],0
p6,1,0.906606,0.013764,[23 68] ; [ 8 25],[22.75 68.25] ; [ 8.25 24.75],0
s3,1,0.928157,0.00813,[24 69] ; [ 8 24],[23.808 69.192] ; [ 8.192 23.808],0
s5,1,0.935276,0.006595,[11 81] ; [ 4 28],[11.12903226 80.87096774] ; [ 3.87096774 28.12903226],0
p12,1,0.936923,0.006263,[ 6 87] ; [ 2 31],[ 5.9047619 87.0952381] ; [ 2.0952381 30.9047619],0
n2,1,0.939225,0.005813,[19 10] ; [10  5],[19.11363636  9.88636364] ; [9.88636364 5.11363636],0
r1,1,0.961029,0.002388,[54 39] ; [19 14],[53.88095238 39.11904762] ; [19.11904762 13.88095238],0
b2,1,0.968232,0.001586,[17 36] ; [ 6 13],[16.93055556 36.06944444] ; [ 6.06944444 12.93055556],0
b3,1,0.968232,0.001586,[17 36] ; [ 6 13],[16.93055556 36.06944444] ; [ 6.06944444 12.93055556],0
a3,1,0.984398,0.000382,[42 50] ; [15 18],[41.952 50.048] ; [15.048 17.952],0
