Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,54.724379,[26  6] ; [14 91],[ 9.34306569 22.65693431] ; [30.65693431 74.34306569],1
s6,1,0.0,31.611265,[28  7] ; [30 82],[13.80952381 21.19047619] ; [44.19047619 67.80952381],1
s2,1,2.7e-05,17.608123,[21 14] ; [25 87],[10.95238095 24.04761905] ; [35.04761905 76.95238095],1
p9,1,6.5e-05,15.948827,[28  7] ; [44 63],[17.74647887 17.25352113] ; [54.25352113 52.74647887],1
p10,1,0.000282,13.186307,[26  9] ; [43 67],[16.65517241 18.34482759] ; [52.34482759 57.65517241],1
n6,1,0.000395,12.556365,[31  4] ; [61 49],[22.20689655 12.79310345] ; [69.79310345 40.20689655],1
p11,1,0.000397,12.544,[27  8] ; [48 64],[17.85714286 17.14285714] ; [57.14285714 54.85714286],1
r4,1,0.000509,12.083167,[31  4] ; [63 49],[22.38095238 12.61904762] ; [71.61904762 40.38095238],1
s3,1,0.000722,11.432454,[22 13] ; [34 76],[13.51724138 21.48275862] ; [42.48275862 67.51724138],1
p4,1,0.001651,9.902151,[16 19] ; [21 89],[ 8.93103448 26.06896552] ; [28.06896552 81.93103448],0
d5,1,0.002508,9.134476,[30  5] ; [64 47],[22.53424658 12.46575342] ; [71.46575342 39.53424658],0
r1,1,0.008091,7.013304,[28  7] ; [61 50],[21.33561644 13.66438356] ; [67.66438356 43.33561644],0
r3,1,0.008895,6.843768,[32  3] ; [77 34],[26.13013699  8.86986301] ; [82.86986301 28.13013699],0
d2,1,0.010429,6.560159,[23 12] ; [45 65],[16.4137931 18.5862069] ; [51.5862069 58.4137931],0
n4,1,0.011354,6.409082,[29  6] ; [66 45],[22.7739726 12.2260274] ; [72.2260274 38.7739726],0
n5,1,0.016803,5.716805,[29  6] ; [67 43],[23.17241379 11.82758621] ; [72.82758621 37.17241379],0
n1,1,0.02285,5.179858,[8 2] ; [19 28],[4.73684211 5.26315789] ; [22.26315789 24.73684211],0
r2,1,0.026445,4.926674,[33  2] ; [83 24],[28.5915493  6.4084507] ; [87.4084507 19.5915493],0
u1,1,0.026857,4.9,[ 9 26] ; [ 12 100],[ 5. 30.] ; [16. 96.],0
v4,1,0.029978,4.710563,[31  4] ; [78 33],[26.13013699  8.86986301] ; [82.86986301 28.13013699],0
d1,1,0.030629,4.673641,[22 13] ; [47 65],[16.42857143 18.57142857] ; [52.57142857 59.42857143],0
v1,1,0.033163,4.537355,[15 17] ; [30 81],[10.06993007 21.93006993] ; [34.93006993 76.06993007],0
n2,1,0.037639,4.321242,[10  1] ; [27 20],[7.01724138 3.98275862] ; [29.98275862 17.01724138],0
a4,1,0.047625,3.92316,[19 16] ; [39 71],[14. 21.] ; [44. 66.],0
