Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.005467,7.718238,[70 23] ; [52 41],[61. 32.] ; [61. 32.],0
r4,1,0.00659,7.38141,[85  9] ; [71 23],[78. 16.] ; [78. 16.],0
p2,1,0.006922,7.293103,[67 27] ; [49 45],[58. 36.] ; [58. 36.],0
r3,1,0.006997,7.273648,[88  5] ; [77 17],[82.05882353 10.94117647] ; [82.94117647 11.05882353],0
b1,1,0.01302,6.166383,[36 58] ; [53 41],[44.5 49.5] ; [44.5 49.5],0
v4,1,0.013263,6.133746,[88  6] ; [76 17],[82.43850267 11.56149733] ; [81.56149733 11.43850267],0
r1,1,0.015564,5.851434,[78 16] ; [63 30],[70.87700535 23.12299465] ; [70.12299465 22.87700535],0
s8,1,0.052148,3.771001,[31 62] ; [19 73],[25.13513514 67.86486486] ; [24.86486486 67.13513514],0
p9,1,0.058414,3.581855,[40 51] ; [28 64],[33.81420765 57.18579235] ; [34.18579235 57.81420765],0
p6,1,0.088659,2.898551,[28 64] ; [18 74],[23. 69.] ; [23. 69.],0
n1,1,0.108809,2.571429,[10 20] ; [22 20],[13.33333333 16.66666667] ; [18.66666667 23.33333333],0
n4,1,0.113135,2.509876,[66 28] ; [55 38],[60.82352941 33.17647059] ; [60.17647059 32.82352941],0
b4,1,0.137239,2.208647,[61 33] ; [51 43],[56. 38.] ; [56. 38.],0
p7,1,0.144335,2.131122,[45 47] ; [36 58],[40.06451613 51.93548387] ; [40.93548387 53.06451613],0
a2,1,0.146255,2.110877,[15 79] ; [23 71],[19. 75.] ; [19. 75.],0
a1,1,0.150623,2.065934,[ 4 90] ; [ 9 85],[ 6.5 87.5] ; [ 6.5 87.5],0
p1,1,0.162176,1.953821,[ 4 88] ; [ 9 85],[ 6.43010753 85.56989247] ; [ 6.56989247 87.43010753],0
u3,1,0.199752,1.644186,[23 14] ; [17 19],[20.2739726 16.7260274] ; [19.7260274 16.2739726],0
a8,1,0.203512,1.616987,[12 72] ; [ 7 79],[ 9.38823529 74.61176471] ; [ 9.61176471 76.38823529],0
p3,1,0.214589,1.540195,[27 67] ; [35 59],[31. 63.] ; [31. 63.],0
s1,1,0.247923,1.334971,[ 4 88] ; [ 8 86],[ 5.93548387 86.06451613] ; [ 6.06451613 87.93548387],0
v2,1,0.267366,1.23021,[43 48] ; [36 56],[39.28415301 51.71584699] ; [39.71584699 52.28415301],0
n3,1,0.337236,0.920909,[22  9] ; [24 16],[20.08450704 10.91549296] ; [25.91549296 14.08450704],0
n2,1,0.34547,0.890028,[22  8] ; [27 16],[20.1369863  9.8630137] ; [28.8630137 14.1369863],0
p8,1,0.401423,0.704058,[32 60] ; [27 66],[29.34054054 62.65945946] ; [29.65945946 63.34054054],0
s4,1,0.414239,0.666602,[11 81] ; [15 78],[12.92972973 79.07027027] ; [13.07027027 79.92972973],0
s5,1,0.442276,0.590371,[21 69] ; [17 74],[18.89502762 71.10497238] ; [19.10497238 71.89502762],0
