Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.953846,[77  8] ; [14 20],[65. 20.] ; [26.  8.],1
v4,1,9e-06,19.800605,[80  5] ; [21 13],[72.14285714 12.85714286] ; [28.85714286  5.14285714],1
r2,1,1.4e-05,18.9106,[80  3] ; [23 11],[73.06837607  9.93162393] ; [29.93162393  4.06837607],1
r3,1,2.7e-05,17.593211,[79  6] ; [21 13],[71.42857143 13.57142857] ; [28.57142857  5.42857143],1
p11,1,7.9e-05,15.570345,[54 31] ; [ 8 26],[44.28571429 40.71428571] ; [17.71428571 16.28571429],1
s6,1,0.000117,14.836124,[55 29] ; [ 9 25],[45.55932203 38.44067797] ; [18.44067797 15.55932203],1
s8,1,0.000252,13.397456,[34 51] ; [ 2 32],[25.71428571 59.28571429] ; [10.28571429 23.71428571],1
n4,1,0.001878,9.665367,[65 20] ; [16 18],[57.85714286 27.14285714] ; [23.14285714 10.85714286],0
p10,1,0.002427,9.194714,[59 24] ; [14 20],[51.78632479 31.21367521] ; [21.21367521 12.78632479],0
p4,1,0.003203,8.687871,[30 54] ; [ 3 31],[23.49152542 60.50847458] ; [ 9.50847458 24.49152542],0
s1,1,0.008506,6.923636,[ 3 82] ; [ 6 28],[ 6.42857143 78.57142857] ; [ 2.57142857 31.42857143],0
u1,1,0.014037,6.033509,[22 63] ; [ 2 32],[17.14285714 67.85714286] ; [ 6.85714286 27.14285714],0
v2,1,0.020351,5.381518,[48 34] ; [11 21],[42.43859649 39.56140351] ; [16.56140351 15.43859649],0
p3,1,0.02398,5.096067,[31 54] ; [ 5 28],[25.93220339 59.06779661] ; [10.06779661 22.93220339],0
s5,1,0.024774,5.039634,[24 58] ; [ 3 29],[19.42105263 62.57894737] ; [ 7.57894737 24.42105263],0
s4,1,0.029499,4.738281,[19 64] ; [ 2 32],[14.8974359 68.1025641] ; [ 6.1025641 27.8974359],0
p9,1,0.046547,3.961704,[57 25] ; [17 17],[52.31034483 29.68965517] ; [21.68965517 12.31034483],0
n5,1,0.049562,3.856203,[61 24] ; [18 16],[56.42857143 28.57142857] ; [22.57142857 11.42857143],0
v1,1,0.051878,3.779692,[35 47] ; [ 8 26],[30.39655172 51.60344828] ; [12.60344828 21.39655172],0
a8,1,0.087485,2.92006,[ 7 71] ; [ 7 27],[ 9.75 68.25] ; [ 4.25 29.75],0
p6,1,0.096866,2.756393,[19 66] ; [ 3 30],[15.84745763 69.15254237] ; [ 6.15254237 26.84745763],0
b2,1,0.098368,2.731813,[20 33] ; [ 4 18],[16.96 36.04] ; [ 7.04 14.96],0
b3,1,0.098368,2.731813,[20 33] ; [ 4 18],[16.96 36.04] ; [ 7.04 14.96],0
s7,1,0.103738,2.64712,[34 46] ; [ 8 23],[30.27027027 49.72972973] ; [11.72972973 19.27027027],0
n2,1,0.126422,2.335902,[18  6] ; [10  9],[15.62790698  8.37209302] ; [12.37209302  6.62790698],0
s2,1,0.141339,2.163317,[37 47] ; [10 24],[33.45762712 50.54237288] ; [13.54237288 20.45762712],0
v3,1,0.162111,1.954428,[33 47] ; [ 9 24],[29.73451327 50.26548673] ; [12.26548673 20.73451327],0
n3,1,0.168861,1.893029,[17  7] ; [9 9],[14.85714286  9.14285714] ; [11.14285714  6.85714286],0
d4,1,0.243647,1.35937,[70 15] ; [24  9],[67.71186441 17.28813559] ; [26.28813559  6.71186441],0
d1,1,0.264473,1.245188,[52 33] ; [17 17],[49.28571429 35.71428571] ; [19.71428571 14.28571429],0
a3,1,0.281835,1.158219,[55 29] ; [25  8],[57.43589744 26.56410256] ; [22.56410256 10.43589744],0
p5,1,0.300115,1.073682,[ 7 76] ; [ 1 32],[ 5.72413793 77.27586207] ; [ 2.27586207 30.72413793],0
r1,1,0.304561,1.054118,[63 22] ; [22 12],[60.71428571 24.28571429] ; [24.28571429  9.71428571],0
a4,1,0.319352,0.991597,[36 48] ; [18 16],[38.44067797 45.55932203] ; [15.55932203 18.44067797],0
b4,1,0.438999,0.598898,[54 31] ; [19 15],[52.14285714 32.85714286] ; [20.85714286 13.14285714],0
a5,1,0.490884,0.474588,[57 28] ; [25  9],[58.57142857 26.42857143] ; [23.42857143 10.57142857],0
a6,1,0.499375,0.456264,[62 23] ; [22 11],[60.50847458 24.49152542] ; [23.49152542  9.50847458],0
b5,1,0.499657,0.455665,[58 27] ; [21 13],[56.42857143 28.57142857] ; [22.57142857 11.42857143],0
u3,1,0.518871,0.416138,[17 13] ; [4 5],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
