Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.07508,[70 26] ; [17 40],[54.58823529 41.41176471] ; [32.41176471 24.58823529],1
s7,1,0.000766,11.322209,[34 57] ; [ 6 47],[25.27777778 65.72222222] ; [14.72222222 38.27777778],1
a5,1,0.002315,9.281463,[63 33] ; [23 34],[53.96078431 42.03921569] ; [32.03921569 24.96078431],0
v3,1,0.013632,6.085164,[32 60] ; [ 9 47],[25.48648649 66.51351351] ; [15.51351351 40.48648649],0
a4,1,0.013749,6.070085,[49 45] ; [18 39],[41.70860927 52.29139073] ; [25.29139073 31.70860927],0
a1,1,0.021183,5.31164,[12 84] ; [ 1 56],[ 8.15686275 87.84313725] ; [ 4.84313725 52.15686275],0
v1,1,0.023502,5.130999,[37 57] ; [12 44],[30.70666667 63.29333333] ; [18.29333333 37.70666667],0
s8,1,0.029512,4.737467,[22 74] ; [ 5 51],[17.05263158 78.94736842] ; [ 9.94736842 46.05263158],0
n1,1,0.037356,4.334111,[18 21] ; [ 6 22],[13.97014925 25.02985075] ; [10.02985075 17.97014925],0
a8,1,0.040833,4.18294,[15 71] ; [ 3 51],[11.05714286 74.94285714] ; [ 6.94285714 47.05714286],0
u1,1,0.045535,3.998724,[18 78] ; [ 4 53],[13.80392157 82.19607843] ; [ 8.19607843 48.80392157],0
n2,1,0.050568,3.822532,[28 13] ; [12 15],[24.11764706 16.88235294] ; [15.88235294 11.11764706],0
n6,1,0.063105,3.453835,[65 31] ; [30 27],[59.60784314 36.39215686] ; [35.39215686 21.60784314],0
d5,1,0.071517,3.247863,[70 25] ; [34 23],[65. 30.] ; [39. 18.],0
a3,1,0.085684,2.953654,[62 32] ; [29 27],[57.02666667 36.97333333] ; [33.97333333 22.02666667],0
s6,1,0.097573,2.744769,[44 52] ; [18 38],[39.15789474 56.84210526] ; [22.84210526 33.15789474],0
d2,1,0.100604,2.695941,[52 41] ; [24 33],[47.12 45.88] ; [28.88 28.12],0
a2,1,0.106888,2.599636,[24 72] ; [ 8 49],[20.07843137 75.92156863] ; [11.92156863 45.07843137],0
b2,1,0.120109,2.415893,[23 43] ; [ 6 25],[19.73195876 46.26804124] ; [ 9.26804124 21.73195876],0
b3,1,0.120109,2.415893,[23 43] ; [ 6 25],[19.73195876 46.26804124] ; [ 9.26804124 21.73195876],0
p1,1,0.130072,2.291648,[ 7 87] ; [ 1 56],[ 4.98013245 89.01986755] ; [ 3.01986755 53.98013245],0
s1,1,0.137799,2.202372,[ 3 91] ; [ 5 52],[ 4.98013245 89.01986755] ; [ 3.01986755 53.98013245],0
s2,1,0.153601,2.036118,[29 67] ; [11 45],[25.26315789 70.73684211] ; [14.73684211 41.26315789],0
r2,1,0.186342,1.746301,[81 12] ; [45 12],[78.12 14.88] ; [47.88  9.12],0
b4,1,0.230468,1.43797,[60 36] ; [30 27],[56.47058824 39.52941176] ; [33.52941176 23.47058824],0
u3,1,0.242889,1.363751,[12 22] ; [14 14],[14.25806452 19.74193548] ; [11.74193548 16.25806452],0
p6,1,0.267038,1.231897,[20 74] ; [ 8 49],[17.43046358 76.56953642] ; [10.56953642 46.43046358],0
s3,1,0.270419,1.214623,[39 53] ; [19 38],[35.81208054 56.18791946] ; [22.18791946 34.81208054],0
a7,1,0.34849,0.878949,[59 36] ; [31 26],[56.25 38.75] ; [33.75 23.25],0
a6,1,0.391493,0.7343,[60 35] ; [32 25],[57.5 37.5] ; [34.5 22.5],0
b5,1,0.49629,0.462861,[57 39] ; [37 20],[58.98039216 37.01960784] ; [35.01960784 21.98039216],0
p2,1,0.518954,0.415972,[54 42] ; [29 28],[52.07843137 43.92156863] ; [30.92156863 26.07843137],0
s5,1,0.52746,0.399282,[17 76] ; [ 8 48],[15.60402685 77.39597315] ; [ 9.39597315 46.60402685],0
v2,1,0.571034,0.320955,[39 56] ; [20 35],[37.36666667 57.63333333] ; [21.63333333 33.36666667],0
r3,1,0.576314,0.312232,[73 22] ; [46 11],[74.375 20.625] ; [44.625 12.375],0
r1,1,0.596298,0.280615,[64 31] ; [36 21],[62.5 32.5] ; [37.5 19.5],0
r4,1,0.624619,0.239429,[66 30] ; [37 20],[64.62745098 31.37254902] ; [38.37254902 18.62745098],0
d1,1,0.626607,0.23669,[46 50] ; [25 32],[44.54901961 51.45098039] ; [26.45098039 30.54901961],0
p7,1,0.628154,0.234572,[31 63] ; [21 36],[32.37086093 61.62913907] ; [19.62913907 37.37086093],0
p9,1,0.698526,0.15001,[33 59] ; [18 37],[31.91836735 60.08163265] ; [19.08163265 35.91836735],0
p4,1,0.703592,0.144762,[24 71] ; [16 41],[25. 70.] ; [15. 42.],0
p11,1,0.723213,0.125435,[50 46] ; [28 29],[48.94117647 47.05882353] ; [29.05882353 27.94117647],0
v4,1,0.731255,0.117962,[76 20] ; [43 13],[75.15789474 20.84210526] ; [43.84210526 12.15789474],0
d4,1,0.798219,0.065359,[67 27] ; [41 15],[67.68 26.32] ; [40.32 15.68],0
b1,1,0.812494,0.056268,[44 52] ; [25 32],[43.29411765 52.70588235] ; [25.70588235 31.29411765],0
u2,1,0.838724,0.041423,[15 18] ; [12 16],[14.60655738 18.39344262] ; [12.39344262 15.60655738],0
p8,1,0.861935,0.030245,[23 71] ; [13 43],[22.56 71.44] ; [13.44 42.56],0
d3,1,0.898516,0.016265,[56 39] ; [33 24],[55.625 39.375] ; [33.375 23.625],0
s4,1,0.915295,0.011313,[11 83] ; [ 7 50],[11.20529801 82.79470199] ; [ 6.79470199 50.20529801],0
n3,1,0.987676,0.000239,[23 15] ; [17 11],[23.03030303 14.96969697] ; [16.96969697 11.03030303],0
