Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.752591,[ 6 26] ; [89 24],[20.96551724 11.03448276] ; [74.03448276 38.96551724],1
r3,1,0.0,36.492804,[12 20] ; [99 13],[24.66666667  7.33333333] ; [86.33333333 25.66666667],1
r2,1,4e-06,21.4339,[18 13] ; [103   9],[26.23076923  4.76923077] ; [94.76923077 17.23076923],1
p2,1,1.9e-05,18.26544,[ 5 27] ; [66 47],[15.66896552 16.33103448] ; [55.33103448 57.66896552],1
r1,1,0.000116,14.856636,[14 18] ; [89 24],[22.73103448  9.26896552] ; [80.26896552 32.73103448],1
n2,1,0.000952,10.917748,[ 4 13] ; [29 12],[9.67241379 7.32758621] ; [23.32758621 17.67241379],1
u3,1,0.001288,10.358936,[ 2 12] ; [28 16],[7.24137931 6.75862069] ; [22.75862069 21.24137931],0
n6,1,0.001418,10.182289,[12 19] ; [79 34],[19.59027778 11.40972222] ; [71.40972222 41.59027778],0
p11,1,0.006416,7.429513,[ 8 24] ; [59 54],[14.7862069 17.2137931] ; [52.2137931 60.7862069],0
a7,1,0.009433,6.738916,[13 19] ; [74 38],[19.33333333 12.66666667] ; [67.66666667 44.33333333],0
d5,1,0.02048,5.370476,[18 14] ; [87 26],[23.17241379  8.82758621] ; [81.82758621 31.17241379],0
p7,1,0.023377,5.140283,[ 6 26] ; [45 66],[11.41258741 20.58741259] ; [39.58741259 71.41258741],0
n3,1,0.03415,4.487179,[ 5 11] ; [25 15],[8.57142857 7.42857143] ; [21.42857143 18.57142857],0
p8,1,0.039195,4.252375,[ 3 28] ; [31 82],[ 7.31944444 23.68055556] ; [26.68055556 86.31944444],0
s8,1,0.041712,4.146843,[ 2 30] ; [25 88],[ 5.95862069 26.04137931] ; [21.04137931 91.95862069],0
a6,1,0.042387,4.11968,[14 18] ; [72 41],[18.97931034 13.02068966] ; [67.02068966 45.97931034],0
u2,1,0.061369,3.5,[ 3 11] ; [21 21],[6. 8.] ; [18. 24.],0
s6,1,0.070302,3.275963,[ 9 23] ; [52 61],[13.46206897 18.53793103] ; [47.53793103 65.46206897],0
p10,1,0.077493,3.11672,[ 4 28] ; [31 81],[ 7.77777778 24.22222222] ; [27.22222222 84.77777778],0
p4,1,0.077983,3.106446,[ 7 25] ; [43 68],[11.18881119 20.81118881] ; [38.81118881 72.18881119],0
v2,1,0.084551,2.975176,[ 8 24] ; [46 64],[12.16901408 19.83098592] ; [41.83098592 68.16901408],0
a5,1,0.08602,2.947317,[15 17] ; [72 41],[19.2 12.8] ; [67.8 45.2],0
p1,1,0.09769,2.742857,[ 4 28] ; [  5 107],[ 2. 30.] ; [  7. 105.],0
b5,1,0.13038,2.287976,[13 19] ; [63 50],[16.77241379 15.22758621] ; [59.22758621 53.77241379],0
v3,1,0.140185,2.175929,[ 7 25] ; [39 70],[10.43971631 21.56028369] ; [35.56028369 73.43971631],0
a2,1,0.182057,1.780755,[ 3 29] ; [22 91],[ 5.51724138 26.48275862] ; [19.48275862 93.51724138],0
b2,1,0.193874,1.687933,[ 8 14] ; [15 52],[ 5.68539326 16.31460674] ; [17.31460674 49.68539326],0
b3,1,0.193874,1.687933,[ 8 14] ; [15 52],[ 5.68539326 16.31460674] ; [17.31460674 49.68539326],0
p3,1,0.229045,1.446782,[ 6 26] ; [33 79],[ 8.66666667 23.33333333] ; [30.33333333 81.66666667],0
a1,1,0.23436,1.414203,[ 4 28] ; [  7 106],[ 2.42758621 29.57241379] ; [  8.57241379 104.42758621],0
v1,1,0.237791,1.39364,[ 7 25] ; [37 76],[ 9.71034483 22.28965517] ; [34.28965517 78.71034483],0
s2,1,0.251201,1.31661,[ 7 25] ; [36 75],[ 9.62237762 22.37762238] ; [33.37762238 77.62237762],0
s1,1,0.325879,0.965203,[ 4 28] ; [  8 105],[ 2.64827586 29.35172414] ; [  9.35172414 103.64827586],0
s3,1,0.373624,0.791575,[10 21] ; [46 66],[12.13986014 18.86013986] ; [43.86013986 68.13986014],0
n1,1,0.412847,0.670588,[ 7 10] ; [12 28],[ 5.66666667 11.33333333] ; [13.33333333 26.66666667],0
s7,1,0.562178,0.335947,[ 6 23] ; [28 80],[ 7.19708029 21.80291971] ; [26.80291971 81.19708029],0
d4,1,0.619016,0.247253,[22 10] ; [82 30],[23.11111111  8.88888889] ; [80.88888889 31.11111111],0
a8,1,0.64771,0.208799,[ 3 29] ; [ 7 94],[ 2.40601504 29.59398496] ; [ 7.59398496 93.40601504],0
d3,1,0.690259,0.158805,[16 16] ; [61 52],[16.99310345 15.00689655] ; [60.00689655 52.99310345],0
s5,1,0.700085,0.148384,[ 5 27] ; [21 92],[ 5.73793103 26.26206897] ; [20.26206897 92.73793103],0
n5,1,0.71513,0.133207,[19 13] ; [63 50],[18.09655172 13.90344828] ; [63.90344828 49.09655172],0
n4,1,0.754773,0.097564,[20 12] ; [74 39],[20.74482759 11.25517241] ; [73.25517241 39.74482759],0
b1,1,0.756781,0.095921,[16 16] ; [60 53],[16.77241379 15.22758621] ; [59.22758621 53.77241379],0
a3,1,0.762415,0.091392,[18 13] ; [69 44],[18.72916667 12.27083333] ; [68.27083333 44.72916667],0
d1,1,0.82011,0.051713,[14 18] ; [52 61],[14.56551724 17.43448276] ; [51.43448276 61.56551724],0
b4,1,0.826769,0.047894,[20 12] ; [73 40],[20.52413793 11.47586207] ; [72.47586207 40.52413793],0
p5,1,0.863945,0.029363,[ 1 30] ; [  3 110],[ 0.86111111 30.13888889] ; [  3.13888889 109.86111111],0
d2,1,0.873705,0.025266,[16 15] ; [56 56],[15.60839161 15.39160839] ; [56.39160839 55.60839161],0
