Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.026045,4.953043,[36 15] ; [10 13],[31.7027027 19.2972973] ; [14.2972973  8.7027027],0
s2,1,0.040128,4.212462,[34 17] ; [ 9 13],[30.04109589 20.95890411] ; [12.95890411  9.04109589],0
p9,1,0.044291,4.045419,[50  1] ; [19  3],[48.20547945  2.79452055] ; [20.79452055  1.20547945],0
v3,1,0.068339,3.322475,[32 18] ; [ 9 13],[28.47222222 21.52777778] ; [12.52777778  9.47222222],0
n5,1,0.068401,3.320987,[46  5] ; [17  6],[43.41891892  7.58108108] ; [19.58108108  3.41891892],0
s8,1,0.074014,3.191677,[35 15] ; [10 11],[31.69014085 18.30985915] ; [13.30985915  7.69014085],0
p12,1,0.087501,2.919763,[19 32] ; [ 4 19],[15.85135135 35.14864865] ; [ 7.14864865 15.85135135],0
u2,1,0.145729,2.116402,[8 1] ; [4 3],[6.75 2.25] ; [5.25 1.75],0
v2,1,0.146148,2.112,[34 16] ; [11 11],[31.25 18.75] ; [13.75  8.25],0
s4,1,0.151858,2.053492,[ 8 41] ; [ 1 22],[ 6.125 42.875] ; [ 2.875 20.125],0
d5,1,0.156205,2.010583,[42  8] ; [16  7],[39.7260274 10.2739726] ; [18.2739726  4.7260274],0
b1,1,0.161599,1.959196,[22 29] ; [ 6 17],[19.2972973 31.7027027] ; [ 8.7027027 14.2972973],0
n4,1,0.164538,1.932012,[46  5] ; [18  5],[44.10810811  6.89189189] ; [19.89189189  3.10810811],0
a3,1,0.216178,1.529566,[42  9] ; [16  7],[39.97297297 11.02702703] ; [18.02702703  4.97297297],0
b5,1,0.271281,1.210257,[27 24] ; [ 9 14],[24.81081081 26.18918919] ; [11.18918919 11.81081081],0
p7,1,0.300195,1.073327,[37 12] ; [19  3],[38.64788732 10.35211268] ; [17.35211268  4.64788732],0
a4,1,0.323851,0.973328,[24 27] ; [ 8 15],[22.05405405 28.94594595] ; [ 9.94594595 13.05405405],0
a1,1,0.355368,0.854197,[ 5 46] ; [ 4 19],[ 6.2027027 44.7972973] ; [ 2.7972973 20.2027027],0
n3,1,0.387094,0.748052,[4 4] ; [7 3],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
r2,1,0.412821,0.670662,[48  2] ; [21  2],[47.26027397  2.73972603] ; [21.73972603  1.26027397],0
r3,1,0.440493,0.594997,[47  4] ; [19  3],[46.10958904  4.89041096] ; [19.89041096  2.10958904],0
a2,1,0.443362,0.587567,[13 38] ; [ 4 19],[11.71621622 39.28378378] ; [ 5.28378378 17.71621622],0
s3,1,0.448421,0.57464,[32 18] ; [12 10],[30.55555556 19.44444444] ; [13.44444444  8.55555556],0
p8,1,0.470593,0.520583,[43  8] ; [17  5],[41.91780822  9.08219178] ; [18.08219178  3.91780822],0
r4,1,0.479272,0.500519,[47  4] ; [20  3],[46.17567568  4.82432432] ; [20.82432432  2.17567568],0
p4,1,0.484747,0.488164,[44  6] ; [18  4],[43.05555556  6.94444444] ; [18.94444444  3.05555556],0
b4,1,0.487167,0.482777,[31 20] ; [12 11],[29.63513514 21.36486486] ; [13.36486486  9.63513514],0
p2,1,0.512293,0.42938,[45  6] ; [19  4],[44.10810811  6.89189189] ; [19.89189189  3.10810811],0
d4,1,0.533712,0.387318,[44  6] ; [19  4],[43.15068493  6.84931507] ; [19.84931507  3.15068493],0
a5,1,0.552751,0.352412,[39 12] ; [19  4],[39.97297297 11.02702703] ; [18.02702703  4.97297297],0
p6,1,0.590384,0.289745,[33 16] ; [14  9],[31.98611111 17.01388889] ; [15.01388889  7.98611111],0
r1,1,0.619013,0.247257,[42  9] ; [20  3],[42.72972973  8.27027027] ; [19.27027027  3.72972973],0
n6,1,0.634605,0.225867,[47  3] ; [20  2],[46.52777778  3.47222222] ; [20.47222222  1.52777778],0
p3,1,0.650751,0.204955,[39 11] ; [19  4],[39.7260274 10.2739726] ; [18.2739726  4.7260274],0
p11,1,0.681609,0.168321,[44  7] ; [19  4],[43.41891892  7.58108108] ; [19.58108108  3.41891892],0
u3,1,0.69627,0.152381,[6 3] ; [4 3],[5.625 3.375] ; [4.375 2.625],0
b2,1,0.737497,0.112339,[19 20] ; [7 9],[18.43636364 20.56363636] ; [7.56363636 8.43636364],0
b3,1,0.737497,0.112339,[19 20] ; [7 9],[18.43636364 20.56363636] ; [7.56363636 8.43636364],0
a8,1,0.752312,0.099598,[ 7 37] ; [ 4 17],[ 7.44615385 36.55384615] ; [ 3.55384615 17.44615385],0
a6,1,0.763242,0.090737,[33 17] ; [16  7],[33.56164384 16.43835616] ; [15.43835616  7.56164384],0
u1,1,0.812399,0.056327,[12 39] ; [ 6 17],[12.40540541 38.59459459] ; [ 5.59459459 17.40540541],0
n1,1,0.818821,0.052469,[4 4] ; [4 5],[3.76470588 4.23529412] ; [4.23529412 4.76470588],0
s7,1,0.822182,0.050508,[34 13] ; [15  5],[34.37313433 12.62686567] ; [14.62686567  5.37313433],0
s6,1,0.829767,0.046225,[41  8] ; [18  3],[41.3  7.7] ; [17.7  3.3],0
d3,1,0.847602,0.036933,[38 12] ; [17  6],[37.67123288 12.32876712] ; [17.32876712  5.67123288],0
d2,1,0.862978,0.029785,[25 25] ; [11 12],[24.65753425 25.34246575] ; [11.34246575 11.65753425],0
s1,1,0.880155,0.022733,[ 5 46] ; [ 2 21],[ 4.82432432 46.17567568] ; [ 2.17567568 20.82432432],0
p1,1,0.935705,0.006508,[16 35] ; [ 7 16],[15.85135135 35.14864865] ; [ 7.14864865 15.85135135],0
s5,1,0.953278,0.003433,[31 14] ; [15  7],[30.89552239 14.10447761] ; [15.10447761  6.89552239],0
