Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.035613,4.415537,[12  3] ; [10 12],[8.91891892 6.08108108] ; [13.08108108  8.91891892],0
a7,1,0.070197,3.278398,[10  5] ; [ 8 14],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
p5,1,0.082553,3.013915,[ 1 13] ; [ 7 15],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
p8,1,0.101848,2.67637,[5 9] ; [14  8],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
b4,1,0.108543,2.575306,[8 7] ; [ 6 16],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
p7,1,0.126699,2.332495,[8 7] ; [17  5],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
p6,1,0.182227,1.779364,[ 3 12] ; [ 9 13],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
v2,1,0.194319,1.684564,[9 6] ; [ 8 13],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
d4,1,0.198203,1.655568,[13  2] ; [15  7],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
a3,1,0.203669,1.615865,[10  5] ; [10 12],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
b5,1,0.203669,1.615865,[10  5] ; [10 12],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
n1,1,0.206969,1.5925,[2 6] ; [3 2],[3.07692308 4.92307692] ; [1.92307692 3.07692308],0
s8,1,0.225038,1.47195,[7 8] ; [ 6 16],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
p9,1,0.236289,1.402597,[12  2] ; [15  7],[10.5  3.5] ; [16.5  5.5],0
u2,1,0.252136,1.311429,[4 1] ; [6 6],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
s7,1,0.265683,1.238901,[ 3 10] ; [ 8 11],[4.46875 8.53125] ; [ 6.53125 12.46875],0
a1,1,0.336309,0.92445,[ 2 13] ; [ 1 21],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
a4,1,0.360533,0.836034,[7 8] ; [ 7 15],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
n4,1,0.360533,0.836034,[8 7] ; [15  7],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
v4,1,0.416817,0.659273,[9 6] ; [16  6],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
