Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,163.448654,[  8 109] ; [389 161],[69.63868066 47.36131934] ; [327.36131934 222.63868066],1
d4,1,0.0,79.946894,[66 51] ; [494  56],[98.23088456 18.76911544] ; [461.76911544  88.23088456],1
d3,1,0.0,47.326929,[52 65] ; [419 130],[82.74324324 34.25675676] ; [388.25675676 160.74324324],1
d2,1,0.0,32.465739,[28 89] ; [291 259],[55.95652174 61.04347826] ; [263.04347826 286.95652174],1
a5,1,0.0,29.596872,[65 52] ; [437 113],[88.05697151 28.94302849] ; [413.94302849 136.05697151],1
a4,1,0.0,26.973331,[28 89] ; [276 273],[53.40540541 63.59459459] ; [250.59459459 298.40540541],1
u1,1,1.8e-05,18.374449,[  5 112] ; [116 434],[21.22488756 95.77511244] ; [ 99.77511244 450.22488756],1
a3,1,1.9e-05,18.275176,[67 49] ; [422 126],[85.42771084 30.57228916] ; [403.57228916 144.42771084],1
a2,1,0.000111,14.931326,[ 12 105] ; [149 401],[28.24137931 88.75862069] ; [132.75862069 417.24137931],1
n4,1,0.00019,13.926703,[77 40] ; [446 102],[92.01654135 24.98345865] ; [430.98345865 117.01654135],1
v2,1,0.00035,12.783052,[48 64] ; [325 206],[64.97045101 47.02954899] ; [308.02954899 222.97045101],1
r4,1,0.001838,9.705166,[97 20] ; [507  43],[105.94902549  11.05097451] ; [498.05097451  51.94902549],0
r1,1,0.002446,9.180667,[82 35] ; [449  96],[93.84743202 23.15256798] ; [437.15256798 107.84743202],0
a7,1,0.004574,8.040741,[74 43] ; [417 132],[86.25675676 30.74324324] ; [404.74324324 144.25675676],0
p3,1,0.005801,7.610967,[50 67] ; [312 238],[63.49925037 53.50074963] ; [298.50074963 251.49925037],0
p4,1,0.007282,7.201937,[64 53] ; [371 177],[76.53383459 40.46616541] ; [358.46616541 189.53383459],0
r2,1,0.008144,7.001615,[104  12] ; [517  23],[109.81097561   6.18902439] ; [511.18902439  28.81097561],0
v3,1,0.013537,6.097551,[34 81] ; [223 308],[45.75077399 69.24922601] ; [211.24922601 319.75077399],0
v1,1,0.015016,5.914571,[53 60] ; [317 217],[64.62132921 48.37867079] ; [305.37867079 228.62132921],0
r3,1,0.019335,5.470944,[107   9] ; [529  17],[111.44410876   4.55589124] ; [524.55589124  21.44410876],0
p7,1,0.02547,4.991671,[70 45] ; [385 154],[80.00764526 34.99235474] ; [374.99235474 164.00764526],0
p10,1,0.030329,4.690556,[101  16] ; [506  41],[106.9563253  10.0436747] ; [500.0436747  46.9563253],0
n6,1,0.030492,4.681321,[94 22] ; [482  63],[101.08320726  14.91679274] ; [474.91679274  70.08320726],0
s6,1,0.031153,4.64451,[72 44] ; [386 149],[81.60983103 34.39016897] ; [376.39016897 158.60983103],0
n5,1,0.04508,4.015655,[83 34] ; [432 112],[91.15733737 25.84266263] ; [423.84266263 120.15733737],0
n1,1,0.050866,3.812676,[ 4 19] ; [43 68],[ 8.06716418 14.93283582] ; [38.93283582 72.06716418],0
p1,1,0.05218,3.769987,[ 16 101] ; [ 44 505],[ 10.54054054 106.45945946] ; [ 49.45945946 499.54054054],0
s8,1,0.066971,3.355754,[46 71] ; [266 281],[54.97590361 62.02409639] ; [257.02409639 289.97590361],0
p6,1,0.069171,3.302574,[38 77] ; [230 315],[46.6969697 68.3030303] ; [221.3030303 323.6969697],0
s5,1,0.069972,3.283677,[33 81] ; [200 327],[41.43837754 72.56162246] ; [191.56162246 335.43837754],0
n3,1,0.118594,2.435788,[14  9] ; [85 26],[16.99253731  6.00746269] ; [82.00746269 28.99253731],0
b1,1,0.154011,2.032068,[47 70] ; [183 367],[40.34482759 76.65517241] ; [189.65517241 360.34482759],0
a6,1,0.155821,2.014318,[74 43] ; [384 165],[80.45945946 36.54054054] ; [377.54054054 171.45945946],0
n2,1,0.166412,1.914974,[14  9] ; [84 28],[16.6962963  6.3037037] ; [81.3037037 30.6962963],0
s2,1,0.234807,1.411504,[55 61] ; [292 254],[60.80362538 55.19637462] ; [286.19637462 259.80362538],0
p11,1,0.316707,1.002499,[95 22] ; [467  83],[98.58170915 18.41829085] ; [463.41829085  86.58170915],0
a8,1,0.378316,0.776166,[13 94] ; [ 77 420],[15.94370861 91.05629139] ; [ 74.05629139 422.94370861],0
v4,1,0.387349,0.747247,[110   6] ; [526  19],[111.61270802   4.38729198] ; [524.38729198  20.61270802],0
p8,1,0.502647,0.449344,[65 51] ; [322 220],[68.22492401 47.77507599] ; [318.77507599 223.22492401],0
u2,1,0.559071,0.341315,[26 23] ; [73 53],[27.72 21.28] ; [71.28 54.72],0
u3,1,0.625265,0.238537,[26 23] ; [72 54],[27.44 21.56] ; [70.56 55.44],0
s3,1,0.704111,0.144231,[69 47] ; [312 230],[67.16717325 48.83282675] ; [313.83282675 228.16717325],0
a1,1,0.717094,0.131295,[  6 111] ; [ 24 526],[  5.26236882 111.73763118] ; [ 24.73763118 525.26236882],0
u4,1,0.834544,0.04363,[  2 115] ; [ 11 538],[  2.28378378 114.71621622] ; [ 10.71621622 538.28378378],0
b4,1,0.866395,0.028304,[68 49] ; [315 235],[67.18290855 49.81709145] ; [315.81709145 234.18290855],0
b2,1,0.938001,0.00605,[27 42] ; [130 198],[27.28715365 41.71284635] ; [129.71284635 198.28715365],0
b3,1,0.938001,0.00605,[27 42] ; [130 198],[27.28715365 41.71284635] ; [129.71284635 198.28715365],0
b5,1,0.948732,0.004134,[71 46] ; [332 218],[70.69115442 46.30884558] ; [332.30884558 217.69115442],0
s7,1,0.954335,0.003279,[58 54] ; [275 253],[58.275 53.725] ; [274.725 253.275],0
p5,1,0.955063,0.003175,[ 16 101] ; [ 74 475],[ 15.81081081 101.18918919] ; [ 74.18918919 474.81081081],0
p12,1,0.966116,0.001805,[ 10 106] ; [ 48 501],[ 10.11729323 105.88270677] ; [ 47.88270677 501.11729323],0
s4,1,0.986642,0.00028,[19 98] ; [ 88 456],[18.93948563 98.06051437] ; [ 88.06051437 455.93948563],0
s1,1,0.996094,2.4e-05,[  3 113] ; [ 14 529],[  2.99241275 113.00758725] ; [ 14.00758725 528.99241275],0
