Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.002623,9.052486,[6 5] ; [23  1],[9.11428571 1.88571429] ; [19.88571429  4.11428571],0
p9,1,0.082708,3.010874,[6 5] ; [19  4],[8.08823529 2.91176471] ; [16.91176471  6.08823529],0
n6,1,0.087356,2.922431,[5 6] ; [18  6],[7.22857143 3.77142857] ; [15.77142857  8.22857143],0
u3,1,0.09073,2.861376,[1 5] ; [6 4],[2.625 3.375] ; [4.375 5.625],0
s3,1,0.096108,2.76897,[2 9] ; [11 12],[4.20588235 6.79411765] ; [ 8.79411765 14.20588235],0
p8,1,0.10993,2.555226,[3 8] ; [13 10],[5.17647059 5.82352941] ; [10.82352941 12.17647059],0
s2,1,0.116018,2.470266,[2 9] ; [11 13],[4.08571429 6.91428571] ; [ 8.91428571 15.08571429],0
a4,1,0.134435,2.24053,[5 6] ; [ 5 19],[3.14285714 7.85714286] ; [ 6.85714286 17.14285714],0
p10,1,0.134435,2.24053,[6 5] ; [19  5],[7.85714286 3.14285714] ; [17.14285714  6.85714286],0
p11,1,0.149154,2.080883,[5 6] ; [17  7],[6.91428571 4.08571429] ; [15.08571429  8.91428571],0
a5,1,0.149603,2.076293,[4 7] ; [15  9],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
n3,1,0.163187,1.944444,[2 4] ; [10  5],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
s6,1,0.171301,1.871521,[3 8] ; [12 11],[4.85294118 6.14705882] ; [10.14705882 12.85294118],0
a7,1,0.207196,1.590909,[3 8] ; [12 12],[4.71428571 6.28571429] ; [10.28571429 13.71428571],0
s8,1,0.221895,1.492071,[2 9] ; [ 9 14],[3.55882353 7.44117647] ; [ 7.44117647 15.55882353],0
n2,1,0.305507,1.05,[3 3] ; [11  4],[4. 2.] ; [10.  5.],0
d3,1,0.327929,0.957058,[7 4] ; [11 13],[5.65714286 5.34285714] ; [12.34285714 11.65714286],0
p3,1,0.327929,0.957058,[4 7] ; [13 11],[5.34285714 5.65714286] ; [11.65714286 12.34285714],0
a6,1,0.344157,0.894886,[6 5] ; [ 9 15],[4.71428571 6.28571429] ; [10.28571429 13.71428571],0
n4,1,0.344157,0.894886,[5 6] ; [15  9],[6.28571429 4.71428571] ; [13.71428571 10.28571429],0
d2,1,0.413272,0.669369,[3 8] ; [10 14],[4.08571429 6.91428571] ; [ 8.91428571 15.08571429],0
b1,1,0.413272,0.669369,[8 3] ; [14 10],[6.91428571 4.08571429] ; [15.08571429  8.91428571],0
d4,1,0.452176,0.565191,[7 4] ; [12 12],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
a3,1,0.477688,0.504137,[5 6] ; [14 10],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
b5,1,0.490843,0.474677,[6 5] ; [16  8],[6.91428571 4.08571429] ; [15.08571429  8.91428571],0
p7,1,0.528871,0.396561,[7 4] ; [12 11],[6.14705882 4.85294118] ; [12.85294118 10.14705882],0
s5,1,0.554015,0.350173,[3 8] ; [ 9 15],[3.77142857 7.22857143] ; [ 8.22857143 15.77142857],0
u1,1,0.560133,0.339474,[ 1 10] ; [ 1 23],[ 0.62857143 10.37142857] ; [ 1.37142857 22.62857143],0
a2,1,0.560133,0.339474,[ 1 10] ; [ 1 23],[ 0.62857143 10.37142857] ; [ 1.37142857 22.62857143],0
p4,1,0.599203,0.276199,[7 4] ; [13 11],[6.28571429 4.71428571] ; [13.71428571 10.28571429],0
s7,1,0.59933,0.276008,[3 6] ; [10 13],[3.65625 5.34375] ; [ 9.34375 13.65625],0
d5,1,0.632124,0.229191,[5 6] ; [13 11],[5.65714286 5.34285714] ; [12.34285714 11.65714286],0
p5,1,0.65564,0.198864,[2 9] ; [ 3 21],[1.57142857 9.42857143] ; [ 3.42857143 20.57142857],0
n5,1,0.670269,0.181287,[7 4] ; [17  7],[7.54285714 3.45714286] ; [16.45714286  7.54285714],0
b3,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
b2,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
u2,1,0.69627,0.152381,[3 3] ; [6 4],[3.375 2.625] ; [5.625 4.375],0
p6,1,0.719932,0.128558,[3 8] ; [ 8 16],[3.45714286 7.54285714] ; [ 7.54285714 16.45714286],0
b4,1,0.766242,0.088384,[7 4] ; [14 10],[6.6 4.4] ; [14.4  9.6],0
v1,1,0.766242,0.088384,[4 7] ; [10 14],[4.4 6.6] ; [ 9.6 14.4],0
p1,1,0.768542,0.086602,[ 1 10] ; [ 3 21],[1.25714286 9.74285714] ; [ 2.74285714 21.25714286],0
v2,1,0.849853,0.035837,[3 8] ; [ 7 16],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
s4,1,0.886436,0.020396,[3 8] ; [ 6 18],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
d1,1,0.886436,0.020396,[3 8] ; [ 6 18],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
p12,1,0.940753,0.005524,[ 1 10] ; [ 2 22],[ 0.94285714 10.05714286] ; [ 2.05714286 21.94285714],0
v3,1,0.954891,0.0032,[2 9] ; [ 4 19],[1.94117647 9.05882353] ; [ 4.05882353 18.94117647],0
r1,1,0.983339,0.000436,[5 6] ; [11 13],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
