Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000279,13.206536,[ 4 75] ; [12 30],[10.44628099 68.55371901] ; [ 5.55371901 36.44628099],1
r4,1,0.00127,10.385599,[46 34] ; [37  6],[53.98373984 26.01626016] ; [29.01626016 13.98373984],0
s7,1,0.001514,10.061233,[10 65] ; [16 25],[16.81034483 58.18965517] ; [ 9.18965517 31.81034483],0
v4,1,0.00615,7.505955,[59 19] ; [41  2],[64.46280992 13.53719008] ; [35.53719008  7.46280992],0
s8,1,0.007435,7.164707,[10 70] ; [14 29],[15.6097561 64.3902439] ; [ 8.3902439 34.6097561],0
u2,1,0.01181,6.33912,[14 29] ; [16  9],[18.97058824 24.02941176] ; [11.02941176 13.97058824],0
p10,1,0.012361,6.258349,[39 40] ; [30 11],[45.425 33.575] ; [23.575 17.425],0
p5,1,0.016351,5.764717,[ 3 76] ; [ 7 36],[ 6.47540984 72.52459016] ; [ 3.52459016 39.47540984],0
a6,1,0.017431,5.652492,[36 44] ; [29 14],[42.27642276 37.72357724] ; [22.72357724 20.27642276],0
p9,1,0.025398,4.996527,[46 32] ; [34  9],[51.57024793 26.42975207] ; [28.42975207 14.57024793],0
p3,1,0.029224,4.754344,[20 60] ; [19 24],[25.36585366 54.63414634] ; [13.63414634 29.36585366],0
r3,1,0.030986,4.653722,[58 20] ; [39  4],[62.52892562 15.47107438] ; [34.47107438  8.52892562],0
r1,1,0.041607,4.151139,[42 37] ; [31 12],[47.2704918 31.7295082] ; [25.7295082 17.2704918],0
r2,1,0.046624,3.95892,[60 19] ; [39  4],[64.10655738 14.89344262] ; [34.89344262  8.10655738],0
a4,1,0.055636,3.662919,[22 58] ; [ 5 36],[17.85123967 62.14876033] ; [ 9.14876033 31.85123967],0
s3,1,0.074474,3.181546,[18 61] ; [16 26],[22.19834711 56.80165289] ; [11.80165289 30.19834711],0
p12,1,0.095072,2.786331,[ 3 76] ; [ 5 38],[ 5.18032787 73.81967213] ; [ 2.81967213 40.18032787],0
p11,1,0.107824,2.585835,[50 30] ; [33 10],[53.98373984 26.01626016] ; [29.01626016 13.98373984],0
v1,1,0.124731,2.356891,[26 52] ; [20 22],[29.9 48.1] ; [16.1 25.9],0
p2,1,0.142926,2.146174,[47 33] ; [31 12],[50.73170732 29.26829268] ; [27.26829268 15.73170732],0
