Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,61.338161,[ 9 38] ; [123  29],[31.1758794 15.8241206] ; [100.8241206  51.1758794],1
d3,1,1e-06,23.336169,[24 23] ; [130  23],[36.19 10.81] ; [117.81  35.19],1
a2,1,7.8e-05,15.608335,[ 3 44] ; [56 98],[13.7960199 33.2039801] ; [ 45.2039801 108.7960199],1
u1,1,0.000144,14.447804,[ 2 45] ; [ 49 105],[11.92537313 35.07462687] ; [ 39.07462687 114.92537313],1
b5,1,0.000411,12.479351,[20 27] ; [109  45],[30.1641791 16.8358209] ; [98.8358209 55.1641791],1
d1,1,0.00679,7.327801,[25 22] ; [114  40],[32.50248756 14.49751244] ; [106.49751244  47.50248756],0
r4,1,0.012022,6.30768,[41  6] ; [149   5],[44.4278607  2.5721393] ; [145.5721393   8.4278607],0
b3,1,0.014324,5.997738,[21 11] ; [43 62],[14.94890511 17.05109489] ; [49.05109489 55.94890511],0
b2,1,0.014324,5.997738,[21 11] ; [43 62],[14.94890511 17.05109489] ; [49.05109489 55.94890511],0
a5,1,0.052439,3.76171,[33 14] ; [128  26],[37.64676617  9.35323383] ; [123.35323383  30.64676617],0
p3,1,0.063343,3.447622,[26 21] ; [107  46],[31.255 15.745] ; [101.745  51.255],0
n1,1,0.067865,3.333911,[8 2] ; [10 12],[5.625 4.375] ; [12.375  9.625],0
p1,1,0.102583,2.664913,[ 3 44] ; [ 24 129],[ 6.345 40.655] ; [ 20.655 132.345],0
p12,1,0.114483,2.491217,[ 3 43] ; [ 24 130],[ 6.21 39.79] ; [ 20.79 133.21],0
p10,1,0.119011,2.430291,[38  7] ; [142  12],[40.70351759  4.29648241] ; [139.29648241  14.70351759],0
r1,1,0.126857,2.330556,[37 10] ; [135  19],[40.21890547  6.78109453] ; [131.78109453  22.21890547],0
b1,1,0.140881,2.168306,[24 23] ; [60 94],[19.64179104 27.35820896] ; [64.35820896 89.64179104],0
