Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,75.579059,[112   9] ; [20 43],[86.80434783 34.19565217] ; [45.19565217 17.80434783],1
p11,1,2e-06,23.115055,[90 31] ; [25 40],[74.81182796 46.18817204] ; [40.18817204 24.81182796],1
s8,1,0.002045,9.508986,[40 81] ; [ 8 57],[31.22580645 89.77419355] ; [16.77419355 48.22580645],0
a7,1,0.002453,9.175061,[93 28] ; [36 29],[83.91935484 37.08064516] ; [45.08064516 19.91935484],0
p2,1,0.002763,8.957947,[92 28] ; [36 29],[83.02702703 36.97297297] ; [44.97297297 20.02702703],0
s7,1,0.003931,8.31544,[39 77] ; [ 8 52],[30.97727273 85.02272727] ; [16.02272727 43.97727273],0
v4,1,0.005561,7.687272,[112   8] ; [51 13],[106.30434783  13.69565217] ; [56.69565217  7.30434783],0
p8,1,0.013743,6.07089,[50 70] ; [15 49],[42.39130435 77.60869565] ; [22.60869565 41.39130435],0
r3,1,0.020438,5.374056,[111  10] ; [52 13],[106.03763441  14.96236559] ; [56.96236559  8.03763441],0
r4,1,0.034707,4.459555,[97 24] ; [43 22],[91.07526882 29.92473118] ; [48.92473118 16.07526882],0
n2,1,0.035265,4.432295,[32 11] ; [14 14],[27.85915493 15.14084507] ; [18.14084507  9.85915493],0
p7,1,0.035782,4.407481,[58 58] ; [22 43],[51.27071823 64.72928177] ; [28.72928177 36.27071823],0
s1,1,0.039056,4.258438,[  2 119] ; [ 5 60],[  4.55376344 116.44623656] ; [ 2.44623656 62.55376344],0
v1,1,0.045046,4.016905,[51 67] ; [18 46],[44.73626374 73.26373626] ; [24.26373626 39.73626374],0
s2,1,0.046936,3.947681,[50 71] ; [17 47],[43.82162162 77.17837838] ; [23.17837838 40.82162162],0
s6,1,0.054325,3.702693,[70 51] ; [28 37],[63.75268817 57.24731183] ; [34.24731183 30.75268817],0
b3,1,0.071231,3.254428,[17 34] ; [ 6 31],[13.32954545 37.67045455] ; [ 9.67045455 27.32954545],0
