Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.2e-05,17.303651,[10  3] ; [ 4 27],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],1
p4,1,0.00056,11.904904,[9 4] ; [ 5 26],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],1
s2,1,0.001424,10.174398,[7 6] ; [ 3 28],[ 2.95454545 10.04545455] ; [ 7.04545455 23.95454545],0
s3,1,0.001866,9.677363,[9 4] ; [ 6 24],[4.53488372 8.46511628] ; [10.46511628 19.53488372],0
p6,1,0.011163,6.439257,[5 8] ; [ 2 27],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
s8,1,0.03199,4.599016,[4 9] ; [ 2 29],[ 1.77272727 11.22727273] ; [ 4.22727273 26.77272727],0
a6,1,0.053549,3.726716,[10  3] ; [14 17],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
p2,1,0.085898,2.949621,[7 6] ; [ 8 22],[4.53488372 8.46511628] ; [10.46511628 19.53488372],0
p8,1,0.100599,2.696021,[4 9] ; [ 3 26],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
p10,1,0.131475,2.275006,[8 5] ; [11 19],[5.74418605 7.25581395] ; [13.25581395 16.74418605],0
s6,1,0.132562,2.262242,[5 7] ; [ 6 25],[3.06976744 8.93023256] ; [ 7.93023256 23.06976744],0
p9,1,0.143218,2.143043,[9 4] ; [13 16],[6.80952381 6.19047619] ; [15.19047619 13.80952381],0
a5,1,0.144735,2.126885,[9 4] ; [14 17],[6.79545455 6.20454545] ; [16.20454545 14.79545455],0
b3,1,0.180408,1.794258,[2 8] ; [ 9 11],[3.66666667 6.33333333] ; [ 7.33333333 12.66666667],0
b2,1,0.180408,1.794258,[2 8] ; [ 9 11],[3.66666667 6.33333333] ; [ 7.33333333 12.66666667],0
v1,1,0.202566,1.623776,[5 8] ; [ 6 24],[3.3255814 9.6744186] ; [ 7.6744186 22.3255814],0
n6,1,0.205724,1.601266,[8 4] ; [14 17],[6.13953488 5.86046512] ; [15.86046512 15.13953488],0
s7,1,0.23437,1.414141,[4 8] ; [ 5 25],[2.57142857 9.42857143] ; [ 6.42857143 23.57142857],0
r2,1,0.265455,1.240084,[8 5] ; [12 16],[6.34146341 6.65853659] ; [13.65853659 14.34146341],0
a3,1,0.281735,1.158699,[9 4] ; [16 15],[7.38636364 5.61363636] ; [17.61363636 13.38636364],0
u3,1,0.288425,1.126961,[1 3] ; [ 1 14],[0.42105263 3.57894737] ; [ 1.57894737 13.42105263],0
s5,1,0.318587,0.994737,[ 2 10] ; [ 2 28],[ 1.14285714 10.85714286] ; [ 2.85714286 27.14285714],0
d3,1,0.32155,0.98263,[8 5] ; [14 17],[6.5 6.5] ; [15.5 15.5],0
s1,1,0.347008,0.884367,[ 2 11] ; [ 2 29],[ 1.18181818 11.81818182] ; [ 2.81818182 28.18181818],0
d2,1,0.370252,0.802819,[5 8] ; [16 14],[6.34883721 6.65116279] ; [14.65116279 15.34883721],0
n2,1,0.37472,0.787953,[2 1] ; [5 8],[1.3125 1.6875] ; [5.6875 7.3125],0
s4,1,0.399901,0.708624,[ 3 10] ; [ 4 27],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
a8,1,0.399901,0.708624,[ 3 10] ; [ 4 27],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
b1,1,0.425539,0.634969,[8 5] ; [15 16],[6.79545455 6.20454545] ; [16.20454545 14.79545455],0
