Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.019626,5.444876,[25 95] ; [ 9 11],[29.14285714 90.85714286] ; [ 4.85714286 15.14285714],0
s6,1,0.024293,5.073594,[39 84] ; [12  9],[43.5625 79.4375] ; [ 7.4375 13.5625],0
p3,1,0.062614,3.466765,[34 90] ; [10 11],[37.62758621 86.37241379] ; [ 6.37241379 14.62758621],0
a4,1,0.087102,2.927138,[41 84] ; [ 3 18],[37.67123288 87.32876712] ; [ 6.32876712 14.67123288],0
p6,1,0.095442,2.780108,[ 17 104] ; [ 6 15],[ 19.59859155 101.40140845] ; [ 3.40140845 17.59859155],0
s7,1,0.097553,2.745098,[21 98] ; [ 7 14],[23.8 95.2] ; [ 4.2 16.8],0
n1,1,0.111079,2.538796,[ 9 37] ; [5 7],[11.10344828 34.89655172] ; [2.89655172 9.10344828],0
v4,1,0.119893,2.418714,[109  14] ; [16  5],[106.77083333  16.22916667] ; [18.22916667  2.77083333],0
v2,1,0.140764,2.169588,[55 65] ; [ 6 15],[51.91489362 68.08510638] ; [ 9.08510638 11.91489362],0
p12,1,0.148382,2.088804,[  1 124] ; [ 1 20],[  1.71232877 123.28767123] ; [ 0.28767123 20.71232877],0
d3,1,0.149242,2.079978,[74 50] ; [16  5],[76.96551724 47.03448276] ; [13.03448276  7.96551724],0
r1,1,0.162821,1.947825,[85 40] ; [11 10],[82.19178082 42.80821918] ; [13.80821918  7.19178082],0
n5,1,0.170829,1.875657,[40 84] ; [10 11],[42.75862069 81.24137931] ; [ 7.24137931 13.75862069],0
n6,1,0.176449,1.827278,[76 49] ; [16  5],[78.76712329 46.23287671] ; [13.23287671  7.76712329],0
p1,1,0.180226,1.795762,[  4 120] ; [ 2 19],[  5.13103448 118.86896552] ; [ 0.86896552 20.13103448],0
v1,1,0.204124,1.612623,[47 76] ; [ 5 16],[44.41666667 78.58333333] ; [ 7.58333333 13.41666667],0
n2,1,0.2225,1.488171,[25 20] ; [9 3],[26.84210526 18.15789474] ; [7.15789474 4.84210526],0
a6,1,0.234877,1.411081,[71 54] ; [ 9 12],[68.49315068 56.50684932] ; [11.50684932  9.49315068],0
p7,1,0.237776,1.393728,[59 64] ; [13  8],[61.5 61.5] ; [10.5 10.5],0
p11,1,0.243763,1.3587,[82 43] ; [11 10],[79.62328767 45.37671233] ; [13.37671233  7.62328767],0
r2,1,0.277464,1.179469,[100  24] ; [19  2],[101.76551724  22.23448276] ; [17.23448276  3.76551724],0
p9,1,0.2799,1.167577,[85 38] ; [12  9],[82.85416667 40.14583333] ; [14.14583333  6.85416667],0
s5,1,0.288806,1.125179,[ 18 105] ; [ 5 16],[ 19.64583333 103.35416667] ; [ 3.35416667 17.64583333],0
u2,1,0.291002,1.114982,[31 23] ; [3 5],[29.61290323 24.38709677] ; [4.38709677 3.61290323],0
p4,1,0.322455,0.978962,[45 79] ; [10 11],[47.03448276 76.96551724] ; [ 7.96551724 13.03448276],0
b4,1,0.360177,0.837276,[70 55] ; [14  7],[71.91780822 53.08219178] ; [12.08219178  8.91780822],0
n3,1,0.409889,0.679122,[28 17] ; [9 3],[29.21052632 15.78947368] ; [7.78947368 4.21052632],0
b1,1,0.517624,0.418625,[51 74] ; [ 7 14],[49.65753425 75.34246575] ; [ 8.34246575 12.65753425],0
d1,1,0.517624,0.418625,[51 74] ; [ 7 14],[49.65753425 75.34246575] ; [ 8.34246575 12.65753425],0
p8,1,0.530125,0.394152,[50 74] ; [10 11],[51.31034483 72.68965517] ; [ 8.68965517 12.31034483],0
a7,1,0.531457,0.391604,[86 39] ; [13  8],[84.76027397 40.23972603] ; [14.23972603  6.76027397],0
s8,1,0.539525,0.376421,[ 18 106] ; [ 2 19],[ 17.10344828 106.89655172] ; [ 2.89655172 18.10344828],0
d5,1,0.582202,0.302689,[85 40] ; [13  8],[83.90410959 41.09589041] ; [14.09589041  6.90410959],0
a5,1,0.613976,0.254426,[64 61] ; [12  9],[65.06849315 59.93150685] ; [10.93150685 10.06849315],0
d2,1,0.649907,0.206017,[42 83] ; [ 6 15],[41.09589041 83.90410959] ; [ 6.90410959 14.09589041],0
b3,1,0.651567,0.203931,[17 41] ; [ 3 10],[16.33802817 41.66197183] ; [3.66197183 9.33802817],0
b2,1,0.651567,0.203931,[17 41] ; [ 3 10],[16.33802817 41.66197183] ; [3.66197183 9.33802817],0
a3,1,0.68998,0.159107,[71 53] ; [13  8],[71.83448276 52.16551724] ; [12.16551724  8.83448276],0
r3,1,0.727336,0.121572,[105  20] ; [17  4],[104.45205479  20.54794521] ; [17.54794521  3.45205479],0
s3,1,0.783114,0.07577,[26 97] ; [ 5 16],[26.47916667 96.52083333] ; [ 4.52083333 16.47916667],0
d4,1,0.787046,0.07298,[91 33] ; [16  5],[91.50344828 32.49655172] ; [15.49655172  5.50344828],0
p2,1,0.805498,0.060633,[86 38] ; [14  7],[85.51724138 38.48275862] ; [14.48275862  6.51724138],0
p10,1,0.847216,0.037122,[74 50] ; [13  8],[74.4 49.6] ; [12.6  8.4],0
p5,1,0.869778,0.026876,[  7 117] ; [ 1 20],[  6.84137931 117.15862069] ; [ 1.15862069 19.84137931],0
b5,1,0.913931,0.011682,[73 52] ; [12  9],[72.7739726 52.2260274] ; [12.2260274  8.7739726],0
u3,1,0.922079,0.009568,[28 26] ; [4 4],[27.87096774 26.12903226] ; [4.12903226 3.87096774],0
r4,1,0.957002,0.002907,[90 35] ; [15  6],[89.89726027 35.10273973] ; [15.10273973  5.89726027],0
