Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.336398,[ 1 20] ; [48 30],[10.39393939 10.60606061] ; [38.60606061 39.39393939],1
d4,1,1e-05,19.46609,[11 10] ; [72  6],[17.60606061  3.39393939] ; [65.39393939 12.60606061],1
d3,1,2.2e-05,17.974934,[ 7 14] ; [63 15],[14.84848485  6.15151515] ; [55.15151515 22.84848485],1
v2,1,0.00492,7.908467,[ 7 13] ; [52 23],[12.42105263  7.57894737] ; [46.57894737 28.42105263],0
a7,1,0.008816,6.859741,[10 11] ; [60 18],[14.84848485  6.15151515] ; [55.15151515 22.84848485],0
d2,1,0.01052,6.544603,[ 3 18] ; [35 43],[ 8.06060606 12.93939394] ; [29.93939394 48.06060606],0
p6,1,0.03699,4.350893,[ 2 17] ; [26 48],[ 5.72043011 13.27956989] ; [22.27956989 51.72043011],0
r3,1,0.03776,4.315783,[17  4] ; [74  4],[19.3030303  1.6969697] ; [71.6969697  6.3030303],0
s2,1,0.044925,4.021465,[ 5 15] ; [39 39],[ 8.97959184 11.02040816] ; [35.02040816 42.97959184],0
a4,1,0.05066,3.819488,[ 6 15] ; [41 37],[ 9.96969697 11.03030303] ; [37.03030303 40.96969697],0
a5,1,0.051744,3.784042,[11 10] ; [58 20],[14.63636364  6.36363636] ; [54.36363636 23.63636364],0
a2,1,0.072442,3.226801,[ 1 20] ; [17 61],[ 3.81818182 17.18181818] ; [14.18181818 63.81818182],0
a1,1,0.07513,3.167228,[ 3 18] ; [ 3 75],[ 1.27272727 19.72727273] ; [ 4.72727273 73.27272727],0
s4,1,0.089352,2.886011,[ 1 20] ; [16 62],[ 3.60606061 17.39393939] ; [13.39393939 64.60606061],0
s5,1,0.10767,2.588085,[ 3 15] ; [27 47],[ 5.86956522 12.13043478] ; [24.13043478 49.86956522],0
p7,1,0.133224,2.254524,[13  8] ; [33 43],[ 9.95876289 11.04123711] ; [36.04123711 39.95876289],0
n6,1,0.135593,2.227273,[ 9 12] ; [47 30],[12.  9.] ; [44. 33.],0
r2,1,0.136817,2.213398,[17  4] ; [70  6],[18.83505155  2.16494845] ; [68.16494845  7.83505155],0
a6,1,0.170002,1.882925,[10 11] ; [50 28],[12.72727273  8.27272727] ; [47.27272727 30.72727273],0
s7,1,0.17276,1.858826,[ 6 15] ; [33 40],[ 8.71276596 12.28723404] ; [30.28723404 42.71276596],0
p1,1,0.200112,1.641557,[ 4 17] ; [ 7 70],[ 2.35714286 18.64285714] ; [ 8.64285714 68.35714286],0
b4,1,0.207634,1.587845,[10 11] ; [49 29],[12.51515152  8.48484848] ; [46.48484848 31.51515152],0
v4,1,0.255786,1.291425,[18  3] ; [71  5],[19.26804124  1.73195876] ; [69.73195876  6.26804124],0
p8,1,0.269131,1.221172,[11 10] ; [30 47],[ 8.78571429 12.21428571] ; [32.21428571 44.78571429],0
r4,1,0.281851,1.158144,[15  6] ; [64 14],[16.75757576  4.24242424] ; [62.24242424 15.75757576],0
p2,1,0.353513,0.860805,[14  7] ; [59 18],[15.64285714  5.35714286] ; [57.35714286 19.64285714],0
s8,1,0.381341,0.766373,[ 6 15] ; [30 47],[ 7.71428571 13.28571429] ; [28.28571429 48.71428571],0
b3,1,0.381534,0.765753,[7 6] ; [16 24],[5.64150943 7.35849057] ; [17.35849057 22.64150943],0
b2,1,0.381534,0.765753,[7 6] ; [16 24],[5.64150943 7.35849057] ; [17.35849057 22.64150943],0
b1,1,0.447796,0.576225,[10 11] ; [30 48],[ 8.48484848 12.51515152] ; [31.51515152 46.48484848],0
p9,1,0.525349,0.403379,[14  7] ; [56 20],[15.15463918  5.84536082] ; [54.84536082 21.15463918],0
s3,1,0.52662,0.400909,[ 9 12] ; [39 38],[10.28571429 10.71428571] ; [37.71428571 39.28571429],0
s6,1,0.532142,0.3903,[11  9] ; [47 28],[12.21052632  7.78947368] ; [45.78947368 29.21052632],0
u2,1,0.565659,0.33,[6 2] ; [16  9],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
r1,1,0.608949,0.261709,[17  4] ; [59 19],[16.12121212  4.87878788] ; [59.87878788 18.12121212],0
p4,1,0.618859,0.247475,[ 8 13] ; [34 43],[ 9. 12.] ; [33. 44.],0
p10,1,0.645722,0.211337,[12  9] ; [47 28],[12.90625  8.09375] ; [46.09375 28.90625],0
a3,1,0.683343,0.166387,[13  8] ; [52 26],[13.78787879  7.21212121] ; [51.21212121 26.78787879],0
b5,1,0.683343,0.166387,[13  8] ; [52 26],[13.78787879  7.21212121] ; [51.21212121 26.78787879],0
u3,1,0.721948,0.126634,[5 3] ; [18  8],[5.41176471 2.58823529] ; [17.58823529  8.41176471],0
n4,1,0.727946,0.121006,[ 8 13] ; [33 45],[ 8.6969697 12.3030303] ; [32.3030303 45.6969697],0
p12,1,0.749933,0.101587,[ 1 20] ; [ 5 70],[ 1.3125 19.6875] ; [ 4.6875 70.3125],0
s1,1,0.784586,0.074719,[ 2 19] ; [ 6 72],[ 1.6969697 19.3030303] ; [ 6.3030303 71.6969697],0
p3,1,0.864712,0.029029,[ 9 12] ; [31 45],[ 8.65979381 12.34020619] ; [31.34020619 44.65979381],0
v3,1,0.892769,0.018171,[ 8 13] ; [29 44],[ 8.26595745 12.73404255] ; [28.73404255 44.26595745],0
a8,1,0.907045,0.013634,[ 2 19] ; [ 6 63],[ 1.86666667 19.13333333] ; [ 6.13333333 62.86666667],0
p11,1,0.911221,0.012432,[14  7] ; [53 25],[14.21212121  6.78787879] ; [52.78787879 25.21212121],0
n3,1,0.962732,0.002183,[2 1] ; [17  8],[2.03571429 0.96428571] ; [16.96428571  8.03571429],0
