Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.003072,8.764027,[1 4] ; [118  34],[3.78980892 1.21019108] ; [115.21019108  36.78980892],0
d5,1,0.00704,7.262756,[1 4] ; [114  39],[3.63924051 1.36075949] ; [111.36075949  41.63924051],0
a6,1,0.062576,3.467768,[1 4] ; [94 59],[3.00632911 1.99367089] ; [91.99367089 61.00632911],0
b1,1,0.113043,2.511151,[4 1] ; [68 86],[2.26415094 2.73584906] ; [69.73584906 84.26415094],0
p5,1,0.158566,1.987844,[1 4] ; [  8 146],[0.28301887 4.71698113] ; [  8.71698113 145.28301887],0
p2,1,0.198694,1.651948,[2 3] ; [104  50],[3.33333333 1.66666667] ; [102.66666667  51.33333333],0
d1,1,0.206071,1.598819,[1 4] ; [75 79],[2.38993711 2.61006289] ; [73.61006289 80.38993711],0
n5,1,0.254647,1.297629,[4 1] ; [83 70],[2.75316456 2.24683544] ; [84.24683544 68.75316456],0
v2,1,0.29926,1.077488,[1 4] ; [65 85],[2.12903226 2.87096774] ; [63.87096774 86.12903226],0
p4,1,0.302926,1.06127,[1 4] ; [66 87],[2.12025316 2.87974684] ; [64.87974684 88.12025316],0
u3,1,0.320482,0.986978,[1 2] ; [36 22],[1.81967213 1.18032787] ; [35.18032787 22.81967213],0
d3,1,0.334007,0.933298,[2 3] ; [94 59],[3.03797468 1.96202532] ; [92.96202532 60.03797468],0
s3,1,0.342983,0.899248,[1 3] ; [74 77],[1.93548387 2.06451613] ; [73.06451613 77.93548387],0
s8,1,0.362045,0.830788,[2 2] ; [ 44 108],[1.17948718 2.82051282] ; [ 44.82051282 107.17948718],0
b4,1,0.421065,0.64734,[4 1] ; [96 58],[3.14465409 1.85534591] ; [96.85534591 57.14465409],0
s2,1,0.435043,0.609322,[1 4] ; [56 95],[1.82692308 3.17307692] ; [55.17307692 95.82692308],0
n4,1,0.479906,0.499077,[4 1] ; [99 54],[3.25949367 1.74050633] ; [99.74050633 53.25949367],0
p11,1,0.501737,0.45126,[2 3] ; [85 69],[2.73584906 2.26415094] ; [84.26415094 69.73584906],0
p8,1,0.512328,0.429309,[2 2] ; [ 52 100],[1.38461538 2.61538462] ; [52.61538462 99.38461538],0
a7,1,0.520457,0.412987,[4 1] ; [102  52],[3.33333333 1.66666667] ; [102.66666667  51.33333333],0
p9,1,0.56181,0.336579,[1 3] ; [59 91],[1.55844156 2.44155844] ; [58.44155844 91.55844156],0
a3,1,0.615701,0.251957,[2 2] ; [96 58],[2.48101266 1.51898734] ; [95.51898734 58.48101266],0
v3,1,0.645272,0.211913,[2 3] ; [ 44 101],[1.53333333 3.46666667] ; [ 44.46666667 100.53333333],0
s7,1,0.66798,0.183974,[1 3] ; [52 95],[1.40397351 2.59602649] ; [51.59602649 95.40397351],0
s4,1,0.700157,0.148308,[1 4] ; [ 21 130],[0.70512821 4.29487179] ; [ 21.29487179 129.70512821],0
p7,1,0.702217,0.146176,[2 3] ; [74 78],[2.42038217 2.57961783] ; [73.57961783 78.42038217],0
p6,1,0.73953,0.110541,[1 4] ; [ 40 110],[1.32258065 3.67741935] ; [ 39.67741935 110.32258065],0
p3,1,0.82014,0.051695,[2 3] ; [ 54 100],[1.76100629 3.23899371] ; [54.23899371 99.76100629],0
b5,1,0.867968,0.027636,[3 2] ; [98 56],[3.17610063 1.82389937] ; [97.82389937 56.17610063],0
s6,1,0.896449,0.016939,[2 2] ; [81 71],[2.12820513 1.87179487] ; [80.87179487 71.12820513],0
a5,1,0.939097,0.005838,[3 2] ; [95 59],[3.08176101 1.91823899] ; [94.91823899 59.08176101],0
s5,1,0.959205,0.002616,[1 4] ; [ 31 117],[1.04575163 3.95424837] ; [ 30.95424837 117.04575163],0
b3,1,0.961106,0.002378,[1 2] ; [32 68],[0.96116505 2.03883495] ; [32.03883495 67.96116505],0
b2,1,0.961106,0.002378,[1 2] ; [32 68],[0.96116505 2.03883495] ; [32.03883495 67.96116505],0
v1,1,0.986014,0.000307,[2 3] ; [61 93],[1.98113208 3.01886792] ; [61.01886792 92.98113208],0
