Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,48.35432,[130  15] ; [164 126],[98. 47.] ; [196.  94.],1
s2,1,0.0,44.768038,[104  43] ; [107 183],[70.9771167 76.0228833] ; [140.0228833 149.9771167],1
s7,1,6e-06,20.627853,[84 56] ; [103 178],[62.18527316 77.81472684] ; [124.81472684 156.18527316],1
s4,1,1.1e-05,19.377341,[45 99] ; [ 39 250],[ 27.93533487 116.06466513] ; [ 56.06466513 232.93533487],1
p6,1,1.6e-05,18.658006,[73 73] ; [ 83 204],[52.60046189 93.39953811] ; [103.39953811 183.60046189],1
s3,1,5.6e-05,16.245733,[98 48] ; [135 154],[78.20229885 67.79770115] ; [154.79770115 134.20229885],1
s8,1,0.001253,10.410236,[74 73] ; [100 191],[58.39726027 88.60273973] ; [115.60273973 175.39726027],0
d4,1,0.001549,10.01977,[130  17] ; [220  71],[117.46575342  29.53424658] ; [232.53424658  58.46575342],0
v1,1,0.002833,8.911803,[82 62] ; [118 165],[67.44730679 76.55269321] ; [132.55269321 150.44730679],0
p3,1,0.003149,8.718904,[82 65] ; [119 172],[67.45890411 79.54109589] ; [133.54109589 157.45890411],0
d1,1,0.005146,7.82726,[90 57] ; [137 154],[76.18493151 70.81506849] ; [150.81506849 140.18493151],0
p7,1,0.005282,7.78023,[102  40] ; [164 119],[88.87529412 53.12470588] ; [177.12470588 105.87529412],0
p5,1,0.005322,7.766583,[ 21 126] ; [ 18 271],[ 13.14908257 133.85091743] ; [ 25.85091743 263.14908257],0
p12,1,0.00926,6.771935,[ 13 133] ; [  9 280],[  7.38390805 138.61609195] ; [ 14.61609195 274.38390805],0
a5,1,0.017832,5.612622,[115  32] ; [196  95],[104.37671233  42.62328767] ; [206.62328767  84.37671233],0
b5,1,0.018061,5.5902,[81 66] ; [194  97],[92.29452055 54.70547945] ; [182.70547945 108.29452055],0
a3,1,0.020945,5.331329,[111  35] ; [189 101],[100.4587156  45.5412844] ; [199.5412844  90.4587156],0
d2,1,0.025402,4.996267,[73 74] ; [112 179],[62.0890411 84.9109589] ; [122.9109589 168.0890411],0
r4,1,0.025826,4.967612,[135  12] ; [245  46],[127.53424658  19.46575342] ; [252.46575342  38.53424658],0
r1,1,0.0341,4.489679,[118  27] ; [209  81],[109.  36.] ; [218.  72.],0
b3,1,0.036619,4.368046,[40 52] ; [ 49 112],[32.36363636 59.63636364] ; [ 56.63636364 104.36363636],0
b2,1,0.036619,4.368046,[40 52] ; [ 49 112],[32.36363636 59.63636364] ; [ 56.63636364 104.36363636],0
r2,1,0.053596,3.725227,[138   6] ; [260  27],[132.97447796  11.02552204] ; [265.02552204  21.97447796],0
u1,1,0.098025,2.73738,[ 28 119] ; [ 38 253],[ 22.15068493 124.84931507] ; [ 43.84931507 247.15068493],0
p1,1,0.099465,2.714101,[ 13 134] ; [ 14 276],[  9.08237986 137.91762014] ; [ 17.91762014 272.08237986],0
a6,1,0.100508,2.697467,[90 57] ; [201  90],[97.66438356 49.33561644] ; [193.33561644  97.66438356],0
d5,1,0.106284,2.60863,[121  26] ; [219  71],[114.37070938  32.62929062] ; [225.62929062  64.37070938],0
a4,1,0.11255,2.518051,[71 76] ; [117 173],[63.2402746 83.7597254] ; [124.7597254 165.2402746],0
u3,1,0.128576,2.309614,[24 12] ; [52 48],[20.11764706 15.88235294] ; [55.88235294 44.11764706],0
p10,1,0.156676,2.00602,[134  12] ; [253  37],[129.59174312  16.40825688] ; [257.40825688  32.59174312],0
n6,1,0.171198,1.872417,[126  19] ; [237  53],[121.  24.] ; [242.  48.],0
a2,1,0.173347,1.853754,[ 36 111] ; [ 55 236],[ 30.54109589 116.45890411] ; [ 60.45890411 230.54109589],0
a7,1,0.178492,1.810136,[100  47] ; [215  75],[105.9610984  41.0389016] ; [209.0389016  80.9610984],0
d3,1,0.181485,1.785419,[104  43] ; [186 103],[97.77522936 49.22477064] ; [192.22477064  96.77522936],0
v4,1,0.206007,1.599265,[139   6] ; [269  21],[136.   9.] ; [272.  18.],0
b4,1,0.212248,1.556029,[91 56] ; [162 129],[84.9109589 62.0890411] ; [168.0890411 122.9109589],0
p4,1,0.248648,1.330884,[90 56] ; [162 128],[84.3853211 61.6146789] ; [167.6146789 122.3853211],0
p2,1,0.249029,1.328745,[131  16] ; [246  43],[127.10779817  19.89220183] ; [249.89220183  39.10779817],0
n1,1,0.301236,1.068715,[16 16] ; [29 45],[13.58490566 18.41509434] ; [31.41509434 42.58490566],0
a8,1,0.305038,1.052038,[ 23 112] ; [ 36 236],[ 19.57002457 115.42997543] ; [ 39.42997543 232.57002457],0
