Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000189,13.933835,[71 16] ; [ 6 10],[65.03883495 21.96116505] ; [11.96116505  4.03883495],1
n4,1,0.001169,10.538641,[71 16] ; [7 9],[65.88349515 21.11650485] ; [12.11650485  3.88349515],0
a7,1,0.004936,7.902922,[67 19] ; [7 9],[62.39215686 23.60784314] ; [11.60784314  4.39215686],0
s4,1,0.008075,7.016658,[13 73] ; [7 9],[16.8627451 69.1372549] ; [ 3.1372549 12.8627451],0
p11,1,0.034523,4.468618,[66 21] ; [8 8],[62.50485437 24.49514563] ; [11.49514563  4.50485437],0
v2,1,0.038604,4.278214,[41 43] ; [ 3 12],[37.33333333 46.66666667] ; [6.66666667 8.33333333],0
r3,1,0.040536,4.195305,[82  4] ; [13  3],[80.09803922  5.90196078] ; [14.90196078  1.09803922],0
p4,1,0.048,3.90997,[69 18] ; [9 7],[65.88349515 21.11650485] ; [12.11650485  3.88349515],0
b1,1,0.054362,3.701561,[32 55] ; [10  6],[35.47572816 51.52427184] ; [6.52427184 9.47572816],0
u3,1,0.092534,2.829732,[25 24] ; [8 2],[27.40677966 21.59322034] ; [5.59322034 4.40677966],0
p10,1,0.093623,2.810945,[65 20] ; [9 7],[62.27722772 22.72277228] ; [11.72277228  4.27722772],0
n3,1,0.109984,2.554444,[13  2] ; [2 2],[11.84210526  3.15789474] ; [3.15789474 0.84210526],0
v3,1,0.115608,2.475834,[34 48] ; [ 3 12],[31.27835052 50.72164948] ; [5.72164948 9.27835052],0
a4,1,0.147397,2.098985,[19 68] ; [ 1 15],[16.89320388 70.10679612] ; [ 3.10679612 12.89320388],0
r4,1,0.147403,2.098919,[77 10] ; [12  4],[75.17475728 11.82524272] ; [13.82524272  2.17475728],0
p5,1,0.166075,1.918018,[18 68] ; [ 1 15],[16.01960784 69.98039216] ; [ 2.98039216 13.01960784],0
r2,1,0.190014,1.717511,[79  7] ; [13  3],[77.56862745  8.43137255] ; [14.43137255  1.56862745],0
d1,1,0.248384,1.332371,[35 52] ; [ 4 12],[32.94174757 54.05825243] ; [6.05825243 9.94174757],0
d3,1,0.270387,1.214782,[51 36] ; [7 9],[48.99029126 38.00970874] ; [9.00970874 6.99029126],0
d5,1,0.312922,1.018302,[65 22] ; [10  6],[63.34951456 23.65048544] ; [11.65048544  4.34951456],0
n1,1,0.313267,1.016852,[8 7] ; [1 3],[7.10526316 7.89473684] ; [1.89473684 2.10526316],0
p9,1,0.364413,0.822628,[68 18] ; [11  5],[66.60784314 19.39215686] ; [12.39215686  3.60784314],0
a1,1,0.387711,0.746109,[ 2 85] ; [ 1 15],[ 2.53398058 84.46601942] ; [ 0.46601942 15.53398058],0
p1,1,0.388504,0.743618,[14 73] ; [ 4 12],[15.2038835 71.7961165] ; [ 2.7961165 13.2038835],0
b4,1,0.414003,0.667277,[53 34] ; [8 8],[51.52427184 35.47572816] ; [9.47572816 6.52427184],0
u2,1,0.420207,0.649736,[25 23] ; [6 3],[26.10526316 21.89473684] ; [4.89473684 4.10526316],0
d2,1,0.515366,0.423157,[23 64] ; [ 3 13],[21.96116505 65.03883495] ; [ 4.03883495 11.96116505],0
b5,1,0.521743,0.410446,[51 36] ; [8 8],[49.83495146 37.16504854] ; [9.16504854 6.83495146],0
b2,1,0.563341,0.333952,[13 36] ; [2 9],[12.25 36.75] ; [2.75 8.25],0
b3,1,0.563341,0.333952,[13 36] ; [2 9],[12.25 36.75] ; [2.75 8.25],0
s3,1,0.593841,0.284385,[47 38] ; [10  6],[47.97029703 37.02970297] ; [9.02970297 6.97029703],0
v4,1,0.593958,0.284205,[84  3] ; [15  1],[83.62135922  3.37864078] ; [15.37864078  0.62135922],0
a3,1,0.62001,0.245854,[38 48] ; [ 6 10],[37.09803922 48.90196078] ; [6.90196078 9.09803922],0
s5,1,0.625245,0.238564,[22 59] ; [ 5 10],[22.78125 58.21875] ; [ 4.21875 10.78125],0
a8,1,0.629201,0.233146,[ 8 71] ; [ 1 15],[ 7.48421053 71.51578947] ; [ 1.51578947 14.48421053],0
r1,1,0.63174,0.229709,[59 27] ; [10  6],[58.17647059 27.82352941] ; [10.82352941  5.17647059],0
p2,1,0.699189,0.149317,[74 13] ; [13  3],[73.48543689 13.51456311] ; [13.51456311  2.48543689],0
a6,1,0.766869,0.087896,[47 40] ; [8 8],[46.45631068 40.54368932] ; [8.54368932 7.45631068],0
p7,1,0.785468,0.074093,[62 24] ; [11  5],[61.54901961 24.45098039] ; [11.45098039  4.54901961],0
v1,1,0.793064,0.068819,[45 39] ; [8 8],[44.52 39.48] ; [8.48 7.52],0
s7,1,0.844711,0.038365,[37 44] ; [6 8],[36.66315789 44.33684211] ; [6.33684211 7.66315789],0
p8,1,0.859723,0.031232,[51 36] ; [9 7],[50.67961165 36.32038835] ; [9.32038835 6.67961165],0
p6,1,0.875483,0.024554,[35 48] ; [6 9],[34.7244898 48.2755102] ; [6.2755102 8.7244898],0
s6,1,0.918199,0.010548,[58 28] ; [11  5],[58.17647059 27.82352941] ; [10.82352941  5.17647059],0
s8,1,0.973939,0.001067,[33 54] ; [ 6 10],[32.94174757 54.05825243] ; [6.05825243 9.94174757],0
s2,1,0.974269,0.00104,[38 48] ; [7 9],[37.94117647 48.05882353] ; [7.05882353 8.94117647],0
d4,1,0.98634,0.000293,[60 27] ; [11  5],[59.97087379 27.02912621] ; [11.02912621  4.97087379],0
