Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.001249,10.416013,[12 94] ; [12 22],[18.17142857 87.82857143] ; [ 5.82857143 28.17142857],0
s3,1,0.001256,10.406223,[32 72] ; [21 13],[39.94202899 64.05797101] ; [13.05797101 20.94202899],0
s6,1,0.001408,10.195046,[33 73] ; [21 13],[40.88571429 65.11428571] ; [13.11428571 20.88571429],0
s2,1,0.001864,9.679091,[23 81] ; [17 17],[30.14492754 73.85507246] ; [ 9.85507246 24.14492754],0
p10,1,0.002351,9.253176,[17 88] ; [14 20],[23.41726619 81.58273381] ; [ 7.58273381 26.41726619],0
d3,1,0.016244,5.776286,[53 53] ; [25  9],[59.05714286 46.94285714] ; [18.94285714 15.05714286],0
v3,1,0.024811,5.037037,[22 80] ; [14 20],[27. 75.] ; [ 9. 25.],0
n4,1,0.024996,5.024155,[61 44] ; [27  7],[66.47482014 38.52517986] ; [21.52517986 12.47482014],0
n1,1,0.029558,4.734826,[10 31] ; [6 4],[12.8627451 28.1372549] ; [3.1372549 6.8627451],0
u1,1,0.032413,4.576545,[ 8 98] ; [ 7 27],[11.35714286 94.64285714] ; [ 3.64285714 30.35714286],0
r1,1,0.043339,4.082125,[67 38] ; [28  6],[71.76258993 33.23741007] ; [23.23741007 10.76258993],0
p11,1,0.06209,3.48066,[46 60] ; [21 13],[50.72857143 55.27142857] ; [16.27142857 17.72857143],0
d1,1,0.06224,3.476656,[40 66] ; [19 15],[44.67142857 61.32857143] ; [14.32857143 19.67142857],0
d5,1,0.065425,3.394215,[66 40] ; [27  7],[70.41428571 35.58571429] ; [22.58571429 11.41428571],0
v1,1,0.067001,3.355005,[29 77] ; [15 19],[33.31428571 72.68571429] ; [10.68571429 23.31428571],0
n6,1,0.075895,3.150697,[62 42] ; [26  8],[66.31884058 37.68115942] ; [21.68115942 12.31884058],0
r4,1,0.080046,3.063961,[67 39] ; [27  7],[71.17142857 34.82857143] ; [22.82857143 11.17142857],0
p8,1,0.092216,2.835255,[30 75] ; [15 19],[33.99280576 71.00719424] ; [11.00719424 22.99280576],0
n5,1,0.118987,2.430609,[55 50] ; [23 11],[58.92086331 46.07913669] ; [19.07913669 14.92086331],0
p4,1,0.124811,2.355891,[37 68] ; [17 17],[40.79136691 64.20863309] ; [13.20863309 20.79136691],0
p2,1,0.134628,2.238311,[53 53] ; [22 12],[56.78571429 49.21428571] ; [18.21428571 15.78571429],0
r2,1,0.151845,2.053618,[83 20] ; [31  3],[85.7080292 17.2919708] ; [28.2919708  5.7080292],0
n2,1,0.179733,1.799831,[20 20] ; [8 3],[21.96078431 18.03921569] ; [6.03921569 4.96078431],0
a5,1,0.191088,1.709212,[55 51] ; [22 12],[58.3 47.7] ; [18.7 15.3],0
a8,1,0.197839,1.658259,[ 6 92] ; [ 4 26],[ 7.65625 90.34375] ; [ 2.34375 27.65625],0
d4,1,0.216491,1.527478,[69 37] ; [26  8],[71.92857143 34.07142857] ; [23.07142857 10.92857143],0
r3,1,0.220853,1.498822,[79 26] ; [29  5],[81.58273381 23.41726619] ; [26.41726619  7.58273381],0
p6,1,0.225178,1.471062,[15 88] ; [ 8 26],[17.2919708 85.7080292] ; [ 5.7080292 28.2919708],0
a2,1,0.227454,1.456715,[13 93] ; [ 7 27],[15.14285714 90.85714286] ; [ 4.85714286 29.14285714],0
a1,1,0.22913,1.446256,[  6 100] ; [ 4 30],[ 7.57142857 98.42857143] ; [ 2.42857143 31.57142857],0
a7,1,0.310953,1.026622,[64 41] ; [24 10],[66.47482014 38.52517986] ; [21.52517986 12.47482014],0
p7,1,0.325657,0.966089,[45 59] ; [18 16],[47.47826087 56.52173913] ; [15.52173913 18.47826087],0
p1,1,0.330464,0.94708,[ 7 99] ; [ 4 30],[ 8.32857143 97.67142857] ; [ 2.67142857 31.32857143],0
u3,1,0.34376,0.896359,[25 25] ; [9 5],[26.5625 23.4375] ; [7.4375 6.5625],0
u2,1,0.344254,0.894523,[21 28] ; [8 6],[22.55555556 26.44444444] ; [6.44444444 7.55555556],0
v2,1,0.393197,0.729031,[37 66] ; [15 19],[39.09489051 63.90510949] ; [12.90510949 21.09489051],0
v4,1,0.400096,0.708038,[82 23] ; [28  5],[83.69565217 21.30434783] ; [26.30434783  6.69565217],0
a6,1,0.403991,0.696413,[60 46] ; [22 12],[62.08571429 43.91428571] ; [19.91428571 14.08571429],0
b5,1,0.41436,0.666257,[57 49] ; [21 13],[59.05714286 46.94285714] ; [18.94285714 15.05714286],0
