Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,9e-05,15.341139,[45  7] ; [23 23],[36.08163265 15.91836735] ; [31.91836735 14.08163265],1
r4,1,0.001945,9.600343,[58  3] ; [38 13],[52.28571429  8.71428571] ; [43.71428571  7.28571429],0
d5,1,0.002944,8.841586,[55  6] ; [33 16],[48.8 12.2] ; [39.2  9.8],0
d1,1,0.005774,7.619498,[41 20] ; [21 30],[33.76785714 27.23214286] ; [28.23214286 22.76785714],0
s1,1,0.009539,6.719005,[ 2 58] ; [ 9 40],[ 6.05504587 53.94495413] ; [ 4.94495413 44.05504587],0
s6,1,0.012602,6.224168,[54  4] ; [38 12],[49.40740741  8.59259259] ; [42.59259259  7.40740741],0
d2,1,0.013004,6.168521,[40 21] ; [21 29],[33.52252252 27.47747748] ; [27.47747748 22.52252252],0
n6,1,0.013202,6.141857,[49 10] ; [31 19],[43.30275229 15.69724771] ; [36.69724771 13.30275229],0
n5,1,0.019016,5.5,[42 18] ; [24 26],[36. 24.] ; [30. 20.],0
a8,1,0.02056,5.363733,[10 42] ; [ 2 46],[ 6.24 45.76] ; [ 5.76 42.24],0
r1,1,0.021404,5.293577,[52  8] ; [35 16],[47.02702703 12.97297297] ; [39.97297297 11.02702703],0
v4,1,0.021835,5.25887,[59  2] ; [43  8],[55.55357143  5.44642857] ; [46.44642857  4.55357143],0
s5,1,0.024176,5.081954,[31 24] ; [16 31],[25.34313725 29.65686275] ; [21.65686275 25.34313725],0
v2,1,0.024735,5.042339,[38 21] ; [20 27],[32.28301887 26.71698113] ; [25.71698113 21.28301887],0
u3,1,0.027504,4.858873,[13  3] ; [ 8 10],[9.88235294 6.11764706] ; [11.11764706  6.88235294],0
p9,1,0.027945,4.83144,[50  9] ; [32 16],[45.21495327 13.78504673] ; [36.78504673 11.21495327],0
p2,1,0.032048,4.595919,[50 11] ; [32 18],[45.06306306 15.93693694] ; [36.93693694 13.06306306],0
p10,1,0.039145,4.254558,[43 15] ; [27 22],[37.94392523 20.05607477] ; [32.05607477 16.94392523],0
n1,1,0.040974,4.177109,[11 10] ; [ 4 15],[ 7.875 13.125] ; [ 7.125 11.875],0
v1,1,0.047999,3.91001,[36 24] ; [21 30],[30.81081081 29.18918919] ; [26.18918919 24.81081081],0
p1,1,0.048937,3.877499,[11 49] ; [ 3 48],[ 7.56756757 52.43243243] ; [ 6.43243243 44.56756757],0
r2,1,0.058835,3.56993,[59  1] ; [46  5],[56.75675676  3.24324324] ; [48.24324324  2.75675676],0
n4,1,0.07664,3.134762,[42 17] ; [28 23],[37.54545455 21.45454545] ; [32.45454545 18.54545455],0
u1,1,0.123087,2.377591,[17 44] ; [ 8 43],[13.61607143 47.38392857] ; [11.38392857 39.61607143],0
a3,1,0.142788,2.147656,[45 16] ; [31 20],[41.39285714 19.60714286] ; [34.60714286 16.39285714],0
p6,1,0.143034,2.145008,[27 34] ; [15 34],[23.29090909 37.70909091] ; [18.70909091 30.29090909],0
a1,1,0.155395,2.018472,[ 2 59] ; [ 5 46],[ 3.8125 57.1875] ; [ 3.1875 47.8125],0
p4,1,0.193284,1.692403,[38 23] ; [25 25],[34.62162162 26.37837838] ; [28.37837838 21.62162162],0
a2,1,0.228199,1.452052,[18 43] ; [10 41],[15.25 45.75] ; [12.75 38.25],0
r3,1,0.288657,1.125877,[58  3] ; [44  5],[56.56363636  4.43636364] ; [45.43636364  3.56363636],0
a6,1,0.302934,1.061235,[40 21] ; [28 22],[37.36936937 23.63063063] ; [30.63063063 19.36936937],0
p3,1,0.312727,1.019125,[29 32] ; [19 31],[26.37837838 34.62162162] ; [21.62162162 28.37837838],0
b5,1,0.35869,0.842475,[41 20] ; [30 21],[38.66964286 22.33035714] ; [32.33035714 18.66964286],0
n3,1,0.360709,0.835422,[17  4] ; [13  6],[15.75  5.25] ; [14.25  4.75],0
a4,1,0.396968,0.717491,[30 31] ; [21 30],[27.77678571 33.22321429] ; [23.22321429 27.77678571],0
u4,1,0.400989,0.705359,[ 3 58] ; [ 1 50],[ 2.17857143 58.82142857] ; [ 1.82142857 49.17857143],0
p5,1,0.46132,0.54269,[ 6 55] ; [ 3 47],[ 4.94594595 56.05405405] ; [ 4.05405405 45.94594595],0
d4,1,0.477159,0.505349,[48 13] ; [42  8],[49.45945946 11.54054054] ; [40.54054054  9.45945946],0
v3,1,0.498117,0.458946,[23 34] ; [17 33],[21.30841121 35.69158879] ; [18.69158879 31.30841121],0
s3,1,0.620288,0.245463,[49 12] ; [39 12],[47.92857143 13.07142857] ; [40.07142857 10.92857143],0
a5,1,0.642189,0.215891,[42 19] ; [33 18],[40.84821429 20.15178571] ; [34.15178571 16.84821429],0
u2,1,0.667451,0.184598,[9 6] ; [10  9],[8.38235294 6.61764706] ; [10.61764706  8.38235294],0
b3,1,0.678604,0.171701,[12 24] ; [ 5 13],[11.33333333 24.66666667] ; [ 5.66666667 12.33333333],0
b2,1,0.678604,0.171701,[12 24] ; [ 5 13],[11.33333333 24.66666667] ; [ 5.66666667 12.33333333],0
p8,1,0.693597,0.155219,[19 42] ; [17 32],[19.96363636 41.03636364] ; [16.03636364 32.96363636],0
d3,1,0.730088,0.11903,[43 18] ; [36 13],[43.80909091 17.19090909] ; [35.19090909 13.80909091],0
b1,1,0.767263,0.08759,[34 27] ; [27 24],[33.22321429 27.77678571] ; [27.77678571 23.22321429],0
n2,1,0.854953,0.033417,[16  5] ; [14  5],[15.75  5.25] ; [14.25  4.75],0
b4,1,0.904859,0.014286,[34 27] ; [29 22],[34.3125 26.6875] ; [28.6875 22.3125],0
p7,1,0.915587,0.011235,[30 30] ; [25 24],[30.27522936 29.72477064] ; [24.72477064 24.27522936],0
a7,1,0.987774,0.000235,[44 17] ; [36 14],[43.96396396 17.03603604] ; [36.03603604 13.96396396],0
s4,1,0.991105,0.000124,[18 43] ; [15 36],[17.97321429 43.02678571] ; [15.02678571 35.97321429],0
