Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000866,11.093343,[17 18] ; [ 2 23],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],1
p6,1,0.007416,7.169288,[ 5 30] ; [11 13],[ 9.49152542 25.50847458] ; [ 6.50847458 17.49152542],0
n3,1,0.010566,6.536905,[9 3] ; [1 6],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
d5,1,0.022843,5.180379,[29  6] ; [14 11],[25.08333333  9.91666667] ; [17.91666667  7.08333333],0
u1,1,0.026078,4.950857,[ 9 26] ; [ 1 24],[ 5.83333333 29.16666667] ; [ 4.16666667 20.83333333],0
d1,1,0.032377,4.57842,[21 14] ; [ 8 17],[16.91666667 18.08333333] ; [12.08333333 12.91666667],0
a3,1,0.037248,4.339029,[26  9] ; [12 13],[22.16666667 12.83333333] ; [15.83333333  9.16666667],0
r2,1,0.039955,4.21978,[33  2] ; [19  6],[30.33333333  4.66666667] ; [21.66666667  3.33333333],0
r4,1,0.049929,3.843833,[30  5] ; [16  9],[26.83333333  8.16666667] ; [19.16666667  5.83333333],0
d2,1,0.05428,3.704082,[20 15] ; [ 8 17],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
p7,1,0.05525,3.674534,[17 18] ; [17  6],[20.51724138 14.48275862] ; [13.48275862  9.51724138],0
v1,1,0.134328,2.241758,[18 17] ; [ 8 17],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
v3,1,0.138006,2.200051,[16 18] ; [ 7 18],[13.25423729 20.74576271] ; [ 9.74576271 15.25423729],0
p5,1,0.161601,1.959184,[ 1 34] ; [ 3 22],[ 2.33333333 32.66666667] ; [ 1.66666667 23.33333333],0
p3,1,0.166786,1.9116,[17 17] ; [ 8 17],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
d4,1,0.179777,1.799468,[29  6] ; [17  8],[26.83333333  8.16666667] ; [19.16666667  5.83333333],0
v4,1,0.199183,1.648352,[32  3] ; [20  5],[30.33333333  4.66666667] ; [21.66666667  3.33333333],0
s5,1,0.200829,1.636335,[11 24] ; [ 4 20],[ 8.89830508 26.10169492] ; [ 6.10169492 17.89830508],0
a6,1,0.220671,1.5,[21 14] ; [11 14],[18.66666667 16.33333333] ; [13.33333333 11.66666667],0
n4,1,0.240888,1.37539,[26  9] ; [15 10],[23.91666667 11.08333333] ; [17.08333333  7.91666667],0
v2,1,0.245594,1.348197,[18 16] ; [ 9 15],[15.82758621 18.17241379] ; [11.17241379 12.82758621],0
n1,1,0.252136,1.311429,[4 6] ; [1 6],[2.94117647 7.05882353] ; [2.05882353 4.94117647],0
s3,1,0.256347,1.288376,[25 10] ; [21  4],[26.83333333  8.16666667] ; [19.16666667  5.83333333],0
n5,1,0.285049,1.142857,[19 16] ; [17  8],[21. 14.] ; [15. 10.],0
d3,1,0.319137,0.992481,[24 11] ; [14 11],[22.16666667 12.83333333] ; [15.83333333  9.16666667],0
p1,1,0.385123,0.754286,[ 2 33] ; [ 3 22],[ 2.91666667 32.08333333] ; [ 2.08333333 22.91666667],0
p11,1,0.400353,0.707265,[22 13] ; [13 12],[20.41666667 14.58333333] ; [14.58333333 10.41666667],0
p4,1,0.432111,0.617143,[19 16] ; [11 14],[17.5 17.5] ; [12.5 12.5],0
s6,1,0.449692,0.571429,[25 10] ; [20  5],[26.25  8.75] ; [18.75  6.25],0
a1,1,0.484018,0.489796,[ 3 32] ; [ 1 24],[ 2.33333333 32.66666667] ; [ 1.66666667 23.33333333],0
s7,1,0.508813,0.436508,[18 15] ; [10 12],[16.8 16.2] ; [11.2 10.8],0
b2,1,0.521812,0.41031,[ 6 13] ; [ 4 14],[ 5.13513514 13.86486486] ; [ 4.86486486 13.13513514],0
b3,1,0.521812,0.41031,[ 6 13] ; [ 4 14],[ 5.13513514 13.86486486] ; [ 4.86486486 13.13513514],0
p10,1,0.541968,0.371905,[10 25] ; [ 9 16],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
n2,1,0.605242,0.267161,[9 2] ; [5 2],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
b5,1,0.659671,0.193924,[19 16] ; [15 10],[19.83333333 15.16666667] ; [14.16666667 10.83333333],0
a7,1,0.659671,0.193924,[19 16] ; [15 10],[19.83333333 15.16666667] ; [14.16666667 10.83333333],0
r3,1,0.662521,0.190476,[31  4] ; [23  2],[31.5  3.5] ; [22.5  2.5],0
p2,1,0.680517,0.169545,[22 13] ; [17  8],[22.75 12.25] ; [16.25  8.75],0
s4,1,0.6915,0.157466,[ 7 27] ; [ 6 18],[ 7.62068966 26.37931034] ; [ 5.37931034 18.62068966],0
s8,1,0.756684,0.096,[14 21] ; [11 14],[14.58333333 20.41666667] ; [10.41666667 14.58333333],0
b1,1,0.756684,0.096,[21 14] ; [14 11],[20.41666667 14.58333333] ; [14.58333333 10.41666667],0
n6,1,0.775097,0.081633,[25 10] ; [17  8],[24.5 10.5] ; [17.5  7.5],0
u2,1,0.778999,0.078749,[5 4] ; [8 5],[5.31818182 3.68181818] ; [7.68181818 5.31818182],0
a8,1,0.779973,0.078039,[ 3 28] ; [ 3 22],[ 3.32142857 27.67857143] ; [ 2.67857143 22.32142857],0
s1,1,0.797351,0.065934,[ 5 30] ; [ 3 22],[ 4.66666667 30.33333333] ; [ 3.33333333 21.66666667],0
b4,1,0.824848,0.04898,[20 15] ; [15 10],[20.41666667 14.58333333] ; [14.58333333 10.41666667],0
r1,1,0.917814,0.010648,[27  8] ; [19  6],[26.83333333  8.16666667] ; [19.16666667  5.83333333],0
p8,1,0.929818,0.007757,[15 20] ; [11 14],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
u3,1,0.936898,0.006268,[5 4] ; [7 6],[4.90909091 4.09090909] ; [7.09090909 5.90909091],0
