Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.637973,[ 13 139] ; [25 53],[ 25.11304348 126.88695652] ; [12.88695652 65.11304348],1
p2,1,2.6e-05,17.722103,[83 70] ; [65 14],[97.60344828 55.39655172] ; [50.39655172 28.60344828],1
p4,1,0.000238,13.507632,[ 46 106] ; [44 36],[58.96551724 93.03448276] ; [31.03448276 48.96551724],1
s3,1,0.007424,7.167376,[65 87] ; [49 31],[74.68965517 77.31034483] ; [39.31034483 40.68965517],0
p9,1,0.012174,6.285391,[89 60] ; [61 19],[97.59825328 51.40174672] ; [52.40174672 27.59825328],0
r3,1,0.020043,5.408131,[118  34] ; [72  8],[124.48275862  27.51724138] ; [65.51724138 14.48275862],0
r4,1,0.021298,5.302253,[107  46] ; [67 13],[114.25751073  38.74248927] ; [59.74248927 20.25751073],0
v4,1,0.038893,4.265551,[123  29] ; [73  7],[128.4137931  23.5862069] ; [67.5862069 12.4137931],0
n3,1,0.041714,4.146754,[34 26] ; [20  5],[38.11764706 21.88235294] ; [15.88235294  9.11764706],0
s6,1,0.05171,3.785128,[68 84] ; [46 33],[75.01298701 76.98701299] ; [38.98701299 40.01298701],0
b4,1,0.07316,3.210656,[97 56] ; [41 39],[90.61802575 62.38197425] ; [47.38197425 32.61802575],0
s2,1,0.076383,3.140229,[54 98] ; [38 42],[60.27586207 91.72413793] ; [31.72413793 48.27586207],0
n2,1,0.103393,2.652417,[39 24] ; [20  5],[42.23863636 20.76136364] ; [16.76136364  8.23863636],0
p10,1,0.107313,2.593356,[82 69] ; [51 27],[87.69868996 63.30131004] ; [45.30131004 32.69868996],0
p3,1,0.108628,2.574074,[ 40 113] ; [29 51],[ 45.30901288 107.69098712] ; [23.69098712 56.30901288],0
s1,1,0.109434,2.562371,[ 12 140] ; [ 2 76],[  9.25217391 142.74782609] ; [ 4.74782609 73.25217391],0
s4,1,0.138562,2.193862,[ 31 120] ; [10 69],[ 26.9173913 124.0826087] ; [14.0826087 64.9173913],0
u2,1,0.147835,2.094451,[26 29] ; [15  8],[28.91025641 26.08974359] ; [12.08974359 10.91025641],0
s5,1,0.190513,1.713648,[ 33 114] ; [24 55],[ 37.07522124 109.92477876] ; [19.92477876 59.07522124],0
s8,1,0.192221,1.700513,[ 38 115] ; [26 53],[ 42.20689655 110.79310345] ; [21.79310345 57.20689655],0
n6,1,0.211063,1.564118,[104  48] ; [61 19],[108.10344828  43.89655172] ; [56.89655172 23.10344828],0
s7,1,0.2164,1.528086,[46 98] ; [31 46],[50.1719457 93.8280543] ; [26.8280543 50.1719457],0
a2,1,0.22991,1.441416,[ 28 125] ; [20 60],[ 31.5193133 121.4806867] ; [16.4806867 63.5193133],0
p1,1,0.254506,1.298399,[ 14 138] ; [ 4 76],[ 11.79310345 140.20689655] ; [ 6.20689655 73.79310345],0
v1,1,0.306967,1.043679,[ 43 106] ; [28 51],[ 46.39912281 102.60087719] ; [24.60087719 54.39912281],0
p11,1,0.309719,1.031875,[87 66] ; [51 29],[90.61802575 62.38197425] ; [47.38197425 32.61802575],0
a3,1,0.326719,0.961859,[98 54] ; [56 23],[101.33333333  50.66666667] ; [52.66666667 26.33333333],0
a8,1,0.359925,0.838153,[ 15 134] ; [10 60],[ 17.00913242 131.99086758] ; [ 7.99086758 62.00913242],0
a1,1,0.378995,0.773958,[ 10 143] ; [ 3 77],[  8.53648069 144.46351931] ; [ 4.46351931 75.53648069],0
r1,1,0.397263,0.716596,[94 59] ; [53 26],[96.94396552 56.05603448] ; [50.05603448 28.94396552],0
n5,1,0.401983,0.702387,[104  49] ; [50 30],[101.12446352  51.87553648] ; [52.87553648 27.12446352],0
u1,1,0.508843,0.436445,[ 20 133] ; [13 67],[ 21.6695279 131.3304721] ; [11.3304721 68.6695279],0
