Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.665601,[ 1 27] ; [52 32],[13.25 14.75] ; [39.75 44.25],1
p11,1,0.0,27.353013,[ 5 23] ; [62 22],[16.75 11.25] ; [50.25 33.75],1
n6,1,1e-06,23.333333,[10 18] ; [70 14],[20.  8.] ; [60. 24.],1
p9,1,6e-06,20.546046,[ 9 16] ; [67 14],[17.9245283  7.0754717] ; [58.0754717 22.9245283],1
p10,1,5.5e-05,16.281613,[ 7 20] ; [58 25],[15.95454545 11.04545455] ; [49.04545455 33.95454545],1
v4,1,0.000113,14.905415,[13 15] ; [70 14],[20.75  7.25] ; [62.25 21.75],1
p2,1,0.000994,10.83871,[ 8 20] ; [54 30],[15.5 12.5] ; [46.5 37.5],1
b5,1,0.002231,9.349364,[11 17] ; [60 24],[17.75 10.25] ; [53.25 30.75],0
a1,1,0.00261,9.061489,[ 6 22] ; [ 3 81],[ 2.25 25.75] ; [ 6.75 77.25],0
s6,1,0.008716,6.880165,[ 5 23] ; [38 45],[10.84684685 17.15315315] ; [32.15315315 50.84684685],0
d4,1,0.009047,6.813474,[14 14] ; [64 20],[19.5  8.5] ; [58.5 25.5],0
s2,1,0.011247,6.425794,[ 4 24] ; [34 50],[ 9.5 18.5] ; [28.5 55.5],0
p3,1,0.018656,5.533445,[ 2 26] ; [24 59],[ 6.55855856 21.44144144] ; [19.44144144 63.55855856],0
p4,1,0.025335,5.000866,[ 4 24] ; [31 53],[ 8.75 19.25] ; [26.25 57.75],0
v2,1,0.028592,4.79204,[ 4 23] ; [30 50],[ 8.57943925 18.42056075] ; [25.42056075 54.57943925],0
n2,1,0.029727,4.725,[5 7] ; [23  7],[8. 4.] ; [20. 10.],0
a7,1,0.036667,4.365835,[11 17] ; [52 32],[15.75 12.25] ; [47.25 36.75],0
n3,1,0.048607,3.888889,[4 8] ; [20 10],[6.85714286 5.14285714] ; [17.14285714 12.85714286],0
b4,1,0.056528,3.636445,[13 15] ; [56 28],[17.25 10.75] ; [51.75 32.25],0
b1,1,0.060206,3.531697,[16 12] ; [31 53],[11.75 16.25] ; [35.25 48.75],0
d5,1,0.061622,3.493177,[15 13] ; [61 23],[19.  9.] ; [57. 27.],0
p8,1,0.065783,3.385223,[ 2 26] ; [19 64],[ 5.2972973 22.7027027] ; [15.7027027 67.2972973],0
b3,1,0.085679,2.95374,[12  7] ; [17 26],[ 8.88709677 10.11290323] ; [20.11290323 22.88709677],0
b2,1,0.085679,2.95374,[12  7] ; [17 26],[ 8.88709677 10.11290323] ; [20.11290323 22.88709677],0
s3,1,0.085683,2.953672,[ 6 21] ; [34 50],[ 9.72972973 17.27027027] ; [30.27027027 53.72972973],0
p6,1,0.118488,2.437199,[ 2 25] ; [17 66],[ 4.66363636 22.33636364] ; [14.33636364 68.66363636],0
s8,1,0.169708,1.885522,[ 3 25] ; [19 65],[ 5.5 22.5] ; [16.5 67.5],0
r2,1,0.232497,1.425519,[17  9] ; [64 19],[19.32110092  6.67889908] ; [61.67889908 21.32110092],0
p1,1,0.233174,1.421393,[ 5 23] ; [ 8 76],[ 3.25 24.75] ; [ 9.75 74.25],0
s1,1,0.245227,1.350294,[ 2 26] ; [ 2 81],[ 1.00900901 26.99099099] ; [ 2.99099099 80.00900901],0
v1,1,0.259858,1.269514,[ 7 21] ; [29 50],[ 9.42056075 18.57943925] ; [26.57943925 52.42056075],0
d2,1,0.270191,1.215777,[15 12] ; [36 47],[12.51818182 14.48181818] ; [38.48181818 44.51818182],0
u3,1,0.280759,1.163412,[ 4 10] ; [15 18],[5.65957447 8.34042553] ; [13.34042553 19.65957447],0
n5,1,0.296531,1.08973,[21  7] ; [54 30],[18.75  9.25] ; [56.25 27.75],0
a3,1,0.319778,0.989853,[14 14] ; [51 33],[16.25 11.75] ; [48.75 35.25],0
d3,1,0.326032,0.964593,[12 16] ; [45 39],[14.25 13.75] ; [42.75 41.25],0
a2,1,0.359373,0.840084,[ 4 24] ; [ 7 77],[ 2.75 25.25] ; [ 8.25 75.75],0
u2,1,0.371614,0.798262,[ 4 10] ; [14 19],[5.36170213 8.63829787] ; [12.63829787 20.36170213],0
d1,1,0.377822,0.777778,[10 18] ; [38 46],[12. 16.] ; [36. 48.],0
n1,1,0.426931,0.631158,[3 9] ; [11 18],[4.09756098 7.90243902] ; [ 9.90243902 19.09756098],0
n4,1,0.498962,0.457143,[19  9] ; [51 33],[17.5 10.5] ; [52.5 31.5],0
s7,1,0.509357,0.435387,[ 6 21] ; [23 57],[ 7.31775701 19.68224299] ; [21.68224299 58.31775701],0
s4,1,0.568834,0.324638,[ 6 22] ; [14 70],[ 5. 23.] ; [15. 69.],0
s5,1,0.718437,0.129996,[ 5 22] ; [17 61],[ 5.65714286 21.34285714] ; [16.34285714 61.65714286],0
a4,1,0.720697,0.127826,[11 16] ; [31 53],[10.21621622 16.78378378] ; [31.78378378 52.21621622],0
p12,1,0.743048,0.107466,[ 1 27] ; [ 2 81],[ 0.75675676 27.24324324] ; [ 2.24324324 80.75675676],0
a5,1,0.743065,0.107451,[14 14] ; [45 39],[14.75 13.25] ; [44.25 39.75],0
v3,1,0.825825,0.048426,[ 6 22] ; [19 62],[ 6.42201835 21.57798165] ; [18.57798165 62.42201835],0
a6,1,0.827151,0.04768,[15 13] ; [43 41],[14.5 13.5] ; [43.5 40.5],0
u1,1,0.840947,0.040273,[ 2 26] ; [ 7 77],[ 2.25 25.75] ; [ 6.75 77.25],0
