Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000426,12.416602,[ 1 21] ; [12 11],[ 6.35555556 15.64444444] ; [ 6.64444444 16.35555556],1
d3,1,0.001406,10.197388,[ 4 18] ; [15  8],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
d5,1,0.004663,8.005541,[ 7 15] ; [17  6],[11.73333333 10.26666667] ; [12.26666667 10.73333333],0
a5,1,0.011337,6.411774,[ 7 15] ; [16  7],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
a7,1,0.020713,5.350791,[ 5 17] ; [13 10],[ 8.8 13.2] ; [ 9.2 13.8],0
p3,1,0.038243,4.294184,[ 2 20] ; [ 8 15],[ 4.88888889 17.11111111] ; [ 5.11111111 17.88888889],0
s6,1,0.098947,2.722438,[ 3 19] ; [ 8 15],[ 5.37777778 16.62222222] ; [ 5.62222222 17.37777778],0
s5,1,0.117942,2.444444,[ 2 20] ; [ 6 16],[ 4. 18.] ; [ 4. 18.],0
n3,1,0.12707,2.327943,[7 6] ; [1 5],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
n6,1,0.128066,2.315789,[ 7 15] ; [12 10],[ 9.5 12.5] ; [ 9.5 12.5],0
p4,1,0.139919,2.178854,[ 5 17] ; [10 13],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
s8,1,0.170481,1.878706,[ 1 21] ; [ 4 19],[ 2.44444444 19.55555556] ; [ 2.55555556 20.44444444],0
s4,1,0.175441,1.835827,[ 3 19] ; [ 7 16],[ 4.88888889 17.11111111] ; [ 5.11111111 17.88888889],0
a3,1,0.180574,1.792892,[ 9 13] ; [14  9],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
a6,1,0.180574,1.792892,[ 9 13] ; [14  9],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
b1,1,0.182314,1.778656,[10 12] ; [15  8],[12.22222222  9.77777778] ; [12.77777778 10.22222222],0
n2,1,0.215508,1.534035,[6 7] ; [1 5],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
v1,1,0.234782,1.411655,[ 5 17] ; [ 9 14],[ 6.84444444 15.15555556] ; [ 7.15555556 15.84444444],0
u3,1,0.29008,1.119251,[ 3 10] ; [4 5],[4.13636364 8.86363636] ; [2.86363636 6.13636364],0
b5,1,0.294948,1.096897,[ 9 13] ; [13 10],[10.75555556 11.24444444] ; [11.24444444 11.75555556],0
s7,1,0.29537,1.094983,[ 3 18] ; [ 6 16],[ 4.39534884 16.60465116] ; [ 4.60465116 17.39534884],0
a2,1,0.316667,1.002663,[ 1 21] ; [ 3 20],[ 1.95555556 20.04444444] ; [ 2.04444444 20.95555556],0
s2,1,0.33904,0.914058,[ 4 18] ; [ 7 16],[ 5.37777778 16.62222222] ; [ 5.62222222 17.37777778],0
a4,1,0.340023,0.910345,[ 6 16] ; [ 9 13],[ 7.5 14.5] ; [ 7.5 14.5],0
p1,1,0.349397,0.875646,[ 4 18] ; [ 2 21],[ 2.93333333 19.06666667] ; [ 3.06666667 19.93333333],0
