Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,50.5437,[25 58] ; [128  39],[50.796 32.204] ; [102.204  64.796],1
r4,1,0.0,27.111005,[50 33] ; [148  19],[65.736 17.264] ; [132.264  34.736],1
a6,1,1.7e-05,18.462137,[40 43] ; [126  41],[55.112 27.888] ; [110.888  56.112],1
r3,1,5.5e-05,16.252932,[60 23] ; [152  14],[70.66666667 12.33333333] ; [141.33333333  24.66666667],1
d5,1,0.00011,14.959897,[48 35] ; [135  32],[60.756 22.244] ; [122.244  44.756],1
d4,1,0.000186,13.972198,[50 33] ; [137  30],[62.084 20.916] ; [124.916  42.084],1
r1,1,0.000193,13.896594,[45 38] ; [129  38],[57.768 25.232] ; [116.232  50.768],1
v2,1,0.00027,13.269711,[21 57] ; [83 77],[34.08403361 43.91596639] ; [69.91596639 90.08403361],1
a2,1,0.000471,12.228035,[ 8 75] ; [ 49 118],[18.924 64.076] ; [ 38.076 128.924],1
d1,1,0.000551,11.933557,[32 51] ; [103  64],[44.82 38.18] ; [90.18 76.82],1
u1,1,0.001314,10.322299,[ 5 78] ; [ 37 130],[13.944 69.056] ; [ 28.056 138.944],0
u3,1,0.001714,9.832727,[ 6 19] ; [34 21],[12.5 12.5] ; [27.5 27.5],0
r2,1,0.002863,8.892857,[68 15] ; [156  10],[74.66666667  8.33333333] ; [149.33333333  16.66666667],0
v4,1,0.006268,7.471465,[66 17] ; [153  14],[72.708 10.292] ; [146.292  20.708],0
a5,1,0.008788,6.865357,[51 32] ; [129  38],[59.76 23.24] ; [120.24  46.76],0
s3,1,0.023969,5.096892,[32 50] ; [88 74],[40.32786885 41.67213115] ; [79.67213115 82.32786885],0
p10,1,0.024701,5.044706,[52 30] ; [127  38],[59.42510121 22.57489879] ; [119.57489879  45.42510121],0
b5,1,0.037864,4.311142,[45 38] ; [113  54],[52.456 30.544] ; [105.544  61.456],0
u2,1,0.039341,4.246097,[ 7 18] ; [29 26],[11.25 13.75] ; [24.75 30.25],0
s2,1,0.039364,4.245071,[28 53] ; [79 84],[35.5204918 45.4795082] ; [71.4795082 91.5204918],0
p4,1,0.047513,3.927138,[30 53] ; [82 84],[37.33333333 45.66666667] ; [74.66666667 91.33333333],0
v3,1,0.052808,3.75,[20 60] ; [ 60 100],[26.66666667 53.33333333] ; [ 53.33333333 106.66666667],0
b1,1,0.062304,3.474978,[40 43] ; [ 60 107],[33.2 49.8] ; [ 66.8 100.2],0
p2,1,0.079641,3.072216,[50 33] ; [119  48],[56.108 26.892] ; [112.892  54.108],0
v1,1,0.088206,2.906811,[29 51] ; [77 84],[35.18672199 44.81327801] ; [70.81327801 90.18672199],0
n4,1,0.090028,2.87387,[67 16] ; [148  19],[71.38 11.62] ; [143.62  23.38],0
n6,1,0.100282,2.701047,[67 15] ; [149  18],[71.13253012 10.86746988] ; [144.86746988  22.13253012],0
p11,1,0.135011,2.233914,[53 30] ; [122  45],[58.1 24.9] ; [116.9  50.1],0
a4,1,0.17386,1.849338,[33 49] ; [82 84],[38.02419355 43.97580645] ; [76.97580645 89.02419355],0
d2,1,0.178024,1.814039,[38 43] ; [93 73],[42.95951417 38.04048583] ; [88.04048583 77.95951417],0
b4,1,0.217198,1.52279,[47 36] ; [108  59],[51.46 31.54] ; [103.54  63.46],0
n1,1,0.248384,1.332373,[15 22] ; [24 21],[17.59756098 19.40243902] ; [21.40243902 23.59756098],0
p9,1,0.268416,1.224822,[59 21] ; [132  33],[62.36734694 17.63265306] ; [128.63265306  36.36734694],0
u4,1,0.281112,1.161708,[ 1 82] ; [  6 161],[ 2.324 80.676] ; [  4.676 162.324],0
s8,1,0.288133,1.128324,[26 57] ; [ 63 102],[29.78629032 53.21370968] ; [ 59.21370968 105.78629032],0
n3,1,0.291092,1.114565,[21 15] ; [32 14],[23.26829268 12.73170732] ; [29.73170732 16.26829268],0
s4,1,0.301863,1.065944,[ 9 73] ; [ 26 138],[11.66666667 70.33333333] ; [ 23.33333333 140.66666667],0
p8,1,0.305157,1.05152,[18 65] ; [ 46 120],[21.33333333 61.66666667] ; [ 42.66666667 123.33333333],0
n2,1,0.356939,0.848636,[25 12] ; [36 11],[26.86904762 10.13095238] ; [34.13095238 12.86904762],0
a8,1,0.44099,0.593704,[ 7 73] ; [ 18 131],[ 8.73362445 71.26637555] ; [ 16.26637555 132.73362445],0
s6,1,0.441991,0.591107,[45 37] ; [99 66],[47.80566802 34.19433198] ; [96.19433198 68.80566802],0
p3,1,0.446974,0.578313,[25 58] ; [ 58 108],[27.66666667 55.33333333] ; [ 55.33333333 110.66666667],0
p6,1,0.470557,0.520669,[11 71] ; [ 28 137],[12.94736842 69.05263158] ; [ 26.05263158 138.94736842],0
s1,1,0.686929,0.16243,[ 5 77] ; [  8 156],[ 4.33333333 77.66666667] ; [  8.66666667 155.33333333],0
a3,1,0.748815,0.102529,[58 25] ; [112  53],[56.89516129 26.10483871] ; [113.10483871  51.89516129],0
p1,1,0.754004,0.098197,[ 9 74] ; [ 16 151],[ 8.3 74.7] ; [ 16.7 150.3],0
b3,1,0.81375,0.055503,[22 33] ; [35 57],[21.32653061 33.67346939] ; [35.67346939 56.32653061],0
b2,1,0.81375,0.055503,[22 33] ; [35 57],[21.32653061 33.67346939] ; [35.67346939 56.32653061],0
s5,1,0.825508,0.048605,[17 62] ; [ 36 122],[17.66666667 61.33333333] ; [ 35.33333333 122.66666667],0
s7,1,0.865829,0.028547,[32 48] ; [65 93],[32.60504202 47.39495798] ; [64.39495798 93.60504202],0
