Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,68.319838,[108  22] ; [27 68],[78. 52.] ; [57. 38.],1
n6,1,2.6e-05,17.702158,[99 31] ; [46 48],[84.15178571 45.84821429] ; [60.84821429 33.15178571],1
a8,1,0.000647,11.635129,[17 98] ; [ 1 88],[ 10.14705882 104.85294118] ; [ 7.85294118 81.14705882],1
n1,1,0.00405,8.261342,[26 25] ; [ 8 30],[19.48314607 31.51685393] ; [14.51685393 23.48314607],0
s4,1,0.010834,6.492315,[ 20 110] ; [28 67],[ 27.73333333 102.26666667] ; [20.26666667 74.73333333],0
u2,1,0.026268,4.938294,[12 29] ; [20 17],[16.82051282 24.17948718] ; [15.17948718 21.82051282],0
p9,1,0.038887,4.265812,[80 46] ; [45 46],[72.58064516 53.41935484] ; [52.41935484 38.58064516],0
s7,1,0.043292,4.083956,[54 65] ; [27 59],[47.0195122 71.9804878] ; [33.9804878 52.0195122],0
d4,1,0.046915,3.948435,[91 38] ; [78 17],[97.32589286 31.67410714] ; [71.67410714 23.32589286],0
b2,1,0.047919,3.912812,[28 42] ; [10 35],[23.13043478 46.86956522] ; [14.86956522 30.13043478],0
b3,1,0.047919,3.912812,[28 42] ; [10 35],[23.13043478 46.86956522] ; [14.86956522 30.13043478],0
s8,1,0.054295,3.703612,[46 84] ; [22 72],[39.46428571 90.53571429] ; [28.53571429 65.46428571],0
r3,1,0.065225,3.399282,[97 32] ; [81 14],[102.50892857  26.49107143] ; [75.49107143 19.50892857],0
a1,1,0.073562,3.201703,[ 12 119] ; [ 3 92],[  8.69469027 122.30530973] ; [ 6.30530973 88.69469027],0
n2,1,0.078992,3.085512,[38 14] ; [21 17],[34.08888889 17.91111111] ; [24.91111111 13.08888889],0
v1,1,0.088605,2.899538,[57 74] ; [30 63],[50.87946429 80.12053571] ; [36.12053571 56.87946429],0
d3,1,0.093061,2.820614,[75 54] ; [65 29],[80.98654709 48.01345291] ; [59.01345291 34.98654709],0
p6,1,0.094014,2.804268,[39 89] ; [19 74],[33.59276018 94.40723982] ; [24.40723982 68.59276018],0
a3,1,0.123548,2.371756,[89 39] ; [56 38],[83.6036036 44.3963964] ; [61.3963964 32.6036036],0
r2,1,0.138172,2.1982,[116  12] ; [79 15],[112.43243243  15.56756757] ; [82.56756757 11.43243243],0
p10,1,0.138553,2.193956,[70 58] ; [41 51],[64.58181818 63.41818182] ; [46.41818182 45.58181818],0
u1,1,0.182184,1.779717,[ 22 109] ; [10 85],[ 18.54867257 112.45132743] ; [13.45132743 81.54867257],0
a2,1,0.192107,1.701385,[33 98] ; [17 78],[ 28.98230088 102.01769912] ; [21.01769912 73.98230088],0
b4,1,0.202198,1.626428,[66 65] ; [56 39],[70.71681416 60.28318584] ; [51.28318584 43.71681416],0
u3,1,0.227499,1.456431,[17 25] ; [20 17],[19.67088608 22.32911392] ; [17.32911392 19.67088608],0
a5,1,0.234889,1.41101,[86 45] ; [55 40],[81.7300885 49.2699115] ; [59.2699115 35.7300885],0
a4,1,0.24054,1.377426,[59 70] ; [36 59],[54.70982143 74.29017857] ; [40.29017857 54.70982143],0
p2,1,0.251214,1.31654,[83 48] ; [53 42],[78.83185841 52.16814159] ; [57.16814159 37.83185841],0
d1,1,0.271516,1.209073,[62 69] ; [52 43],[66.07964602 64.92035398] ; [47.92035398 47.07964602],0
p7,1,0.306365,1.04628,[60 68] ; [38 57],[56.25112108 71.74887892] ; [41.74887892 53.25112108],0
n3,1,0.363207,0.826773,[29 21] ; [25 12],[31.03448276 18.96551724] ; [22.96551724 14.03448276],0
s1,1,0.384099,0.75754,[  7 121] ; [ 8 87],[  8.60986547 119.39013453] ; [ 6.39013453 88.60986547],0
a6,1,0.408488,0.683198,[81 49] ; [54 41],[78. 52.] ; [57. 38.],0
v3,1,0.436559,0.60531,[42 87] ; [24 63],[39.41666667 89.58333333] ; [26.58333333 60.41666667],0
b1,1,0.439212,0.598339,[73 58] ; [48 47],[70.13716814 60.86283186] ; [50.86283186 44.13716814],0
r1,1,0.475613,0.508905,[90 39] ; [62 33],[87.53571429 41.46428571] ; [64.46428571 30.53571429],0
p12,1,0.492396,0.471286,[  3 128] ; [ 1 93],[  2.32888889 128.67111111] ; [ 1.67111111 92.32888889],0
r4,1,0.503624,0.447291,[95 36] ; [65 30],[92.74336283 38.25663717] ; [67.25663717 27.74336283],0
d5,1,0.512848,0.428252,[96 34] ; [73 21],[98.08035714 31.91964286] ; [70.91964286 23.08035714],0
p3,1,0.601886,0.272161,[43 88] ; [34 60],[44.83111111 86.16888889] ; [32.16888889 61.83111111],0
s5,1,0.629938,0.232145,[37 90] ; [23 65],[35.44186047 91.55813953] ; [24.55813953 63.44186047],0
s6,1,0.682053,0.167823,[71 57] ; [49 44],[69.50226244 58.49773756] ; [50.49773756 42.50226244],0
v2,1,0.704841,0.143485,[55 73] ; [41 49],[56.36697248 71.63302752] ; [39.63302752 50.36697248],0
a7,1,0.792224,0.069392,[87 44] ; [64 30],[87.91555556 43.08444444] ; [63.08444444 30.91555556],0
p8,1,0.797267,0.06599,[38 92] ; [26 68],[37.14285714 92.85714286] ; [26.85714286 67.14285714],0
d2,1,0.827881,0.047271,[63 66] ; [45 50],[62.19642857 66.80357143] ; [45.80357143 49.19642857],0
p4,1,0.832066,0.044966,[53 77] ; [37 57],[52.23214286 77.76785714] ; [37.76785714 56.23214286],0
b5,1,0.847362,0.037051,[83 48] ; [59 36],[82.30973451 48.69026549] ; [59.69026549 35.30973451],0
p1,1,0.868184,0.027544,[  9 122] ; [ 7 87],[  9.31555556 121.68444444] ; [ 6.68444444 87.31555556],0
s3,1,0.91844,0.010486,[62 68] ; [45 48],[62.37668161 67.62331839] ; [44.62331839 48.37668161],0
s2,1,0.951866,0.003644,[58 72] ; [42 53],[57.77777778 72.22222222] ; [42.22222222 52.77777778],0
v4,1,0.987225,0.000256,[108  22] ; [79 16],[108.04444444  21.95555556] ; [78.95555556 16.04444444],0
