Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.81963,[88  6] ; [4 5],[83.96116505 10.03883495] ; [8.03883495 0.96116505],1
r2,1,0.000247,13.435484,[90  3] ; [6 3],[87.52941176  5.47058824] ; [8.47058824 0.52941176],1
v4,1,0.00027,13.268288,[89  3] ; [6 3],[86.53465347  5.46534653] ; [8.46534653 0.53465347],1
r1,1,0.006588,7.382109,[77 16] ; [4 5],[73.85294118 19.14705882] ; [7.14705882 1.85294118],0
a7,1,0.052656,3.754811,[62 32] ; [3 6],[59.32038835 34.67961165] ; [5.67961165 3.32038835],0
a1,1,0.054255,3.704842,[ 5 89] ; [2 7],[ 6.38834951 87.61165049] ; [0.61165049 8.38834951],0
n6,1,0.07342,3.20486,[82 11] ; [6 3],[80.23529412 12.76470588] ; [7.76470588 1.23529412],0
v2,1,0.080613,3.052503,[48 43] ; [2 7],[45.5 45.5] ; [4.5 4.5],0
n4,1,0.129447,2.29912,[60 34] ; [8 1],[62.05825243 31.94174757] ; [5.94174757 3.05825243],0
b1,1,0.152586,2.046209,[30 64] ; [5 4],[31.94174757 62.05825243] ; [3.05825243 5.94174757],0
n5,1,0.153706,2.035077,[61 32] ; [8 1],[62.91176471 30.08823529] ; [6.08823529 2.91176471],0
p10,1,0.171484,1.869923,[77 14] ; [6 3],[75.53 15.47] ; [7.47 1.53],0
p9,1,0.171484,1.869923,[77 14] ; [6 3],[75.53 15.47] ; [7.47 1.53],0
v3,1,0.194881,1.68033,[29 62] ; [1 8],[27.3 63.7] ; [2.7 6.3],0
p7,1,0.20011,1.641568,[60 31] ; [4 5],[58.24 32.76] ; [5.76 3.24],0
p8,1,0.217121,1.523297,[51 42] ; [3 6],[49.23529412 43.76470588] ; [4.76470588 4.23529412],0
d5,1,0.228087,1.452754,[78 16] ; [6 3],[76.66019417 17.33980583] ; [7.33980583 1.66019417],0
p1,1,0.252909,1.307165,[ 9 83] ; [2 7],[10.01980198 81.98019802] ; [0.98019802 8.01980198],0
d2,1,0.267393,1.230074,[44 49] ; [6 3],[45.58823529 47.41176471] ; [4.41176471 4.58823529],0
b5,1,0.281338,1.160613,[49 45] ; [3 6],[47.45631068 46.54368932] ; [4.54368932 4.45631068],0
p2,1,0.285829,1.139164,[75 17] ; [6 3],[73.78217822 18.21782178] ; [7.21782178 1.78217822],0
a3,1,0.300545,1.071776,[56 37] ; [7 2],[57.44117647 35.55882353] ; [5.55882353 3.44117647],0
p11,1,0.312967,1.018114,[76 18] ; [6 3],[74.83495146 19.16504854] ; [7.16504854 1.83495146],0
s3,1,0.324337,0.971378,[46 45] ; [3 6],[44.59 46.41] ; [4.41 4.59],0
s8,1,0.335047,0.929291,[24 70] ; [1 8],[22.81553398 71.18446602] ; [2.18446602 6.81553398],0
v1,1,0.352007,0.866209,[55 36] ; [4 5],[53.69 37.31] ; [5.31 3.69],0
b3,1,0.361437,0.832894,[21 29] ; [2 6],[19.82758621 30.17241379] ; [3.17241379 4.82758621],0
b2,1,0.361437,0.832894,[21 29] ; [2 6],[19.82758621 30.17241379] ; [3.17241379 4.82758621],0
s2,1,0.421785,0.645336,[44 49] ; [3 6],[42.85294118 50.14705882] ; [4.14705882 4.85294118],0
p6,1,0.509773,0.434533,[30 61] ; [2 7],[29.12 61.88] ; [2.88 6.12],0
p4,1,0.527473,0.399258,[51 41] ; [4 5],[50.0990099 41.9009901] ; [4.9009901 4.0990099],0
a4,1,0.5315,0.391522,[42 52] ; [5 4],[42.89320388 51.10679612] ; [4.10679612 4.89320388],0
d3,1,0.576973,0.311154,[61 33] ; [5 4],[60.23300971 33.76699029] ; [5.76699029 3.23300971],0
a6,1,0.623105,0.241527,[60 34] ; [5 4],[59.32038835 34.67961165] ; [5.67961165 3.32038835],0
p5,1,0.6308,0.230977,[16 76] ; [1 8],[15.48514851 76.51485149] ; [1.51485149 7.48514851],0
u2,1,0.669489,0.182201,[13 24] ; [1 1],[13.28205128 23.71794872] ; [0.71794872 1.28205128],0
s6,1,0.708736,0.139543,[66 25] ; [6 3],[65.52 25.48] ; [6.48 2.52],0
s4,1,0.729629,0.119453,[16 75] ; [2 7],[16.38 74.62] ; [1.62 7.38],0
d1,1,0.766018,0.088558,[57 37] ; [5 4],[56.58252427 37.41747573] ; [5.41747573 3.58252427],0
p3,1,0.773698,0.08268,[46 47] ; [4 5],[45.58823529 47.41176471] ; [4.41176471 4.58823529],0
d4,1,0.791842,0.069653,[86  8] ; [8 1],[85.78640777  8.21359223] ; [8.21359223 0.78640777],0
b4,1,0.816782,0.053678,[59 35] ; [6 3],[59.32038835 34.67961165] ; [5.67961165 3.32038835],0
a5,1,0.880661,0.022539,[71 23] ; [7 2],[71.18446602 22.81553398] ; [6.81553398 2.18446602],0
