Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,5.1e-05,16.412343,[  7 131] ; [5 9],[ 10.89473684 127.10526316] ; [ 1.10526316 12.89473684],1
p3,1,0.004279,8.161433,[63 75] ; [12  2],[68.09210526 69.90789474] ; [6.90789474 7.09210526],0
b5,1,0.005033,7.867495,[74 64] ; [ 2 12],[69. 69.] ; [7. 7.],0
p8,1,0.038942,4.263387,[68 69] ; [11  3],[71.67549669 65.32450331] ; [7.32450331 6.67549669],0
p4,1,0.043017,4.094746,[80 58] ; [12  2],[83.52631579 54.47368421] ; [8.47368421 5.52631579],0
s1,1,0.073127,3.211389,[  5 131] ; [ 2 12],[  6.34666667 129.65333333] ; [ 0.65333333 13.34666667],0
s2,1,0.076122,3.145809,[92 46] ; [6 8],[88.97368421 49.02631579] ; [9.02631579 4.97368421],0
a2,1,0.087307,2.923336,[39 99] ; [ 1 13],[ 36.31578947 101.68421053] ; [ 3.68421053 10.31578947],0
s4,1,0.13549,2.228444,[ 34 103] ; [ 1 13],[ 31.75496689 105.24503311] ; [ 3.24503311 10.75496689],0
p7,1,0.186016,1.748895,[83 54] ; [11  3],[85.28476821 51.71523179] ; [8.71523179 5.28476821],0
u3,1,0.231836,1.429561,[25 12] ; [1 2],[24.05 12.95] ; [1.95 1.05],0
u2,1,0.231836,1.429561,[25 12] ; [1 2],[24.05 12.95] ; [1.95 1.05],0
a8,1,0.250956,1.317975,[ 14 114] ; [ 3 11],[ 15.32394366 112.67605634] ; [ 1.67605634 12.32394366],0
d4,1,0.253264,1.305207,[111  27] ; [13  1],[112.57894737  25.42105263] ; [11.42105263  2.57894737],0
p2,1,0.253264,1.305207,[111  27] ; [13  1],[112.57894737  25.42105263] ; [11.42105263  2.57894737],0
b1,1,0.281742,1.158667,[60 78] ; [ 4 10],[58.10526316 79.89473684] ; [5.89473684 8.10526316],0
d3,1,0.290056,1.119363,[89 49] ; [11  3],[90.78947368 47.21052632] ; [9.21052632 4.78947368],0
p6,1,0.293627,1.102915,[49 88] ; [7 7],[50.80794702 86.19205298] ; [5.19205298 8.80794702],0
b4,1,0.301475,1.067658,[79 59] ; [6 8],[77.17105263 60.82894737] ; [7.82894737 6.17105263],0
a4,1,0.304718,1.053433,[59 79] ; [ 4 10],[57.19736842 80.80263158] ; [5.80263158 8.19736842],0
d2,1,0.327195,0.959967,[78 60] ; [6 8],[76.26315789 61.73684211] ; [7.73684211 6.26315789],0
b3,1,0.350193,0.872758,[29 54] ; [5 5],[30.34408602 52.65591398] ; [3.65591398 6.34408602],0
b2,1,0.350193,0.872758,[29 54] ; [5 5],[30.34408602 52.65591398] ; [3.65591398 6.34408602],0
a1,1,0.396229,0.719742,[  4 134] ; [ 1 13],[  4.53947368 133.46052632] ; [ 0.46052632 13.53947368],0
n1,1,0.400387,0.707163,[13 25] ; [4 4],[14.04347826 23.95652174] ; [2.95652174 5.04347826],0
n2,1,0.423711,0.64,[26 14] ; [4 4],[25. 15.] ; [5. 3.],0
p12,1,0.426649,0.631929,[ 11 126] ; [ 2 12],[ 11.79470199 125.20529801] ; [ 1.20529801 12.79470199],0
s5,1,0.438557,0.600054,[43 89] ; [6 8],[44.30136986 87.69863014] ; [4.69863014 9.30136986],0
d1,1,0.54751,0.361798,[90 48] ; [8 6],[88.97368421 49.02631579] ; [9.02631579 4.97368421],0
s3,1,0.549727,0.357806,[98 40] ; [11  3],[98.96052632 39.03947368] ; [10.03947368  3.96052632],0
r1,1,0.551595,0.354467,[109  29] ; [12  2],[109.85526316  28.14473684] ; [11.14473684  2.85526316],0
a5,1,0.585948,0.296717,[99 39] ; [11  3],[99.86842105 38.13157895] ; [10.13157895  3.86842105],0
v2,1,0.608732,0.262026,[61 72] ; [5 8],[60.12328767 72.87671233] ; [5.87671233 7.12328767],0
d5,1,0.631914,0.229474,[111  27] ; [12  2],[111.67105263  26.32894737] ; [11.32894737  2.67105263],0
a3,1,0.662963,0.189944,[101  37] ; [11  3],[101.68421053  36.31578947] ; [10.31578947  3.68421053],0
s6,1,0.71247,0.135822,[112  25] ; [12  2],[112.50331126  24.49668874] ; [11.49668874  2.50331126],0
v4,1,0.740976,0.109271,[131   7] ; [13  1],[130.73684211   7.26315789] ; [13.26315789  0.73684211],0
n3,1,0.745159,0.105644,[27 12] ; [6 2],[27.38297872 11.61702128] ; [5.61702128 2.38297872],0
r4,1,0.778879,0.078838,[125  13] ; [13  1],[125.28947368  12.71052632] ; [12.71052632  1.28947368],0
v3,1,0.795932,0.066882,[46 88] ; [4 9],[45.57823129 88.42176871] ; [4.42176871 8.57823129],0
p10,1,0.818882,0.052433,[115  23] ; [12  2],[115.30263158  22.69736842] ; [11.69736842  2.30263158],0
n4,1,0.834961,0.043407,[105  33] ; [11  3],[105.31578947  32.68421053] ; [10.68421053  3.31578947],0
a6,1,0.857329,0.032319,[92 46] ; [9 5],[91.69736842 46.30263158] ; [9.30263158 4.69736842],0
p11,1,0.881531,0.02221,[106  32] ; [11  3],[106.22368421  31.77631579] ; [10.77631579  3.22368421],0
a7,1,0.885021,0.020911,[96 42] ; [10  4],[96.23684211 41.76315789] ; [9.76315789 4.23684211],0
r2,1,0.901195,0.015414,[125  11] ; [13  1],[125.12  10.88] ; [12.88  1.12],0
r3,1,0.928827,0.007978,[129   9] ; [13  1],[128.92105263   9.07894737] ; [13.07894737  0.92105263],0
n5,1,0.947099,0.004402,[99 38] ; [10  4],[98.89403974 38.10596026] ; [10.10596026  3.89403974],0
n6,1,0.957351,0.00286,[119  19] ; [12  2],[118.93421053  19.06578947] ; [12.06578947  1.93421053],0
u1,1,0.978575,0.000721,[ 30 108] ; [ 3 11],[ 29.96052632 108.03947368] ; [ 3.03947368 10.96052632],0
