Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.350521,[37 14] ; [41 87],[22.22346369 28.77653631] ; [55.77653631 72.22346369],1
p4,1,2.8e-05,17.531113,[38 13] ; [51 77],[25.3575419 25.6424581] ; [63.6424581 64.3575419],1
p7,1,8.3e-05,15.482403,[41  9] ; [62 63],[29.42857143 20.57142857] ; [73.57142857 51.42857143],1
n3,1,0.000504,12.100887,[3 5] ; [31  3],[6.47619048 1.52380952] ; [27.52380952  6.47619048],1
p1,1,0.003009,8.802278,[ 6 45] ; [  2 125],[ 2.29213483 48.70786517] ; [  5.70786517 121.29213483],0
s8,1,0.003818,8.368305,[22 29] ; [ 28 101],[14.16666667 36.83333333] ; [35.83333333 93.16666667],0
d1,1,0.004924,7.906977,[34 17] ; [56 73],[25.5 25.5] ; [64.5 64.5],0
d2,1,0.006222,7.484972,[30 21] ; [47 82],[21.81666667 29.18333333] ; [55.18333333 73.81666667],0
n5,1,0.007755,7.089159,[42  9] ; [79 49],[34.47486034 16.52513966] ; [86.52513966 41.47486034],0
p11,1,0.012813,6.194796,[45  6] ; [91 38],[38.53333333 12.46666667] ; [97.46666667 31.53333333],0
b1,1,0.039516,4.23854,[25 26] ; [42 87],[18.98333333 32.01666667] ; [48.01666667 80.98333333],0
r4,1,0.041826,4.142241,[49  2] ; [110  19],[45.05  5.95] ; [113.95  15.05],0
d4,1,0.053359,3.732633,[45  6] ; [97 32],[40.23333333 10.76666667] ; [101.76666667  27.23333333],0
p3,1,0.053709,3.721712,[27 24] ; [48 81],[21.25 29.75] ; [53.75 75.25],0
v1,1,0.055078,3.679738,[28 21] ; [50 72],[22.35087719 26.64912281] ; [55.64912281 66.35087719],0
p10,1,0.059505,3.551138,[43  7] ; [93 35],[38.20224719 11.79775281] ; [97.79775281 30.20224719],0
p2,1,0.060125,3.533935,[46  5] ; [100  28],[41.59776536  9.40223464] ; [104.40223464  23.59776536],0
v2,1,0.061765,3.489349,[28 20] ; [50 68],[22.55421687 25.44578313] ; [55.44578313 62.55421687],0
a2,1,0.064712,3.412308,[13 38] ; [ 18 111],[ 8.78333333 42.21666667] ; [ 22.21666667 106.78333333],0
n4,1,0.064851,3.408763,[39 12] ; [80 49],[33.71666667 17.28333333] ; [85.28333333 43.71666667],0
p5,1,0.066945,3.356382,[ 5 46] ; [  4 123],[ 2.57865169 48.42134831] ; [  6.42134831 120.57865169],0
r1,1,0.075829,3.152116,[42  9] ; [88 39],[37.24719101 13.75280899] ; [92.75280899 34.24719101],0
a4,1,0.081224,3.040237,[22 28] ; [39 90],[17.03910615 32.96089385] ; [43.96089385 85.03910615],0
b3,1,0.126315,2.337215,[12 16] ; [18 49],[ 8.84210526 19.15789474] ; [21.15789474 45.84210526],0
b2,1,0.126315,2.337215,[12 16] ; [18 49],[ 8.84210526 19.15789474] ; [21.15789474 45.84210526],0
a5,1,0.145492,2.118889,[36 15] ; [76 53],[31.73333333 19.26666667] ; [80.26666667 48.73333333],0
d3,1,0.145492,2.118889,[36 15] ; [76 53],[31.73333333 19.26666667] ; [80.26666667 48.73333333],0
p12,1,0.194865,1.680446,[ 6 44] ; [  8 121],[ 3.91061453 46.08938547] ; [ 10.08938547 118.91061453],0
n1,1,0.20586,1.600304,[1 6] ; [13 20],[2.45 4.55] ; [11.55 21.45],0
u1,1,0.290845,1.115704,[ 8 43] ; [ 13 116],[ 5.95 45.05] ; [ 15.05 113.95],0
s1,1,0.312979,1.018065,[ 2 47] ; [  2 126],[ 1.10734463 47.89265537] ; [  2.89265537 125.10734463],0
s5,1,0.322374,0.979292,[16 33] ; [31 92],[13.38953488 35.61046512] ; [33.61046512 89.38953488],0
a7,1,0.323722,0.973849,[40 10] ; [94 35],[37.4301676 12.5698324] ; [96.5698324 32.4301676],0
n6,1,0.375504,0.785371,[40 10] ; [95 34],[37.70949721 12.29050279] ; [97.29050279 31.70949721],0
u3,1,0.38609,0.75122,[10 12] ; [31 24],[11.71428571 10.28571429] ; [29.28571429 25.71428571],0
p9,1,0.396942,0.717569,[42  9] ; [98 30],[39.88826816 11.11173184] ; [100.11173184  27.88826816],0
a1,1,0.400173,0.707807,[ 1 50] ; [  6 123],[ 1.98333333 49.01666667] ; [  5.01666667 123.98333333],0
s6,1,0.419083,0.652886,[36 13] ; [86 42],[33.7740113 15.2259887] ; [88.2259887 39.7740113],0
v3,1,0.559686,0.340248,[17 30] ; [40 87],[15.39655172 31.60344828] ; [41.60344828 85.39655172],0
d5,1,0.620017,0.245844,[39 12] ; [94 35],[37.68333333 13.31666667] ; [95.31666667 33.68333333],0
n2,1,0.662418,0.190599,[6 2] ; [27  6],[6.43902439 1.56097561] ; [26.56097561  6.43902439],0
s4,1,0.707765,0.140519,[ 8 41] ; [ 24 104],[ 8.85875706 40.14124294] ; [ 23.14124294 104.85875706],0
u2,1,0.717788,0.130622,[10 12] ; [28 28],[10.71794872 11.28205128] ; [27.28205128 28.71794872],0
b4,1,0.736513,0.113216,[33 18] ; [80 49],[32.01666667 18.98333333] ; [80.98333333 48.01666667],0
r2,1,0.805206,0.060819,[47  3] ; [119   9],[46.62921348  3.37078652] ; [119.37078652   8.62921348],0
s2,1,0.817935,0.052993,[31 20] ; [76 53],[30.31666667 20.68333333] ; [76.68333333 52.31666667],0
b5,1,0.851572,0.035012,[32 19] ; [79 50],[31.45 19.55] ; [79.55 49.45],0
a8,1,0.916493,0.010994,[ 5 44] ; [ 12 112],[ 4.8150289 44.1849711] ; [ 12.1849711 111.8150289],0
v4,1,0.929598,0.007806,[46  5] ; [116  12],[46.15642458  4.84357542] ; [115.84357542  12.15642458],0
a3,1,0.940513,0.005569,[29 22] ; [72 56],[28.77653631 22.22346369] ; [72.22346369 55.77653631],0
a6,1,0.962004,0.002269,[35 16] ; [89 40],[35.13333333 15.86666667] ; [88.86666667 40.13333333],0
