Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.705686,[114  24] ; [30 48],[92. 46.] ; [52. 26.],1
n6,1,1e-06,25.261359,[115  23] ; [40 38],[99.02777778 38.97222222] ; [55.97222222 22.02777778],1
p10,1,0.002516,9.128985,[89 47] ; [34 43],[78.53521127 57.46478873] ; [44.46478873 32.53521127],0
p9,1,0.002773,8.950844,[97 38] ; [39 37],[87.01421801 47.98578199] ; [48.98578199 27.01421801],0
n1,1,0.015535,5.854713,[23 23] ; [ 7 24],[17.92207792 28.07792208] ; [12.07792208 18.92207792],0
a5,1,0.016025,5.80009,[92 46] ; [39 39],[83.69444444 54.30555556] ; [47.30555556 30.69444444],0
p4,1,0.019206,5.482692,[49 88] ; [16 62],[41.41860465 95.58139535] ; [23.58139535 54.41860465],0
a1,1,0.027771,4.842242,[ 12 126] ; [ 1 77],[  8.30555556 129.69444444] ; [ 4.69444444 73.30555556],0
u1,1,0.028413,4.802823,[ 18 120] ; [ 3 75],[ 13.41666667 124.58333333] ; [ 7.58333333 70.41666667],0
n2,1,0.032815,4.555417,[34 14] ; [14 16],[29.53846154 18.46153846] ; [18.46153846 11.53846154],0
d4,1,0.04176,4.144905,[93 44] ; [63 15],[99.40465116 37.59534884] ; [56.59534884 21.40465116],0
a2,1,0.043834,4.062959,[ 29 109] ; [ 8 70],[ 23.63888889 114.36111111] ; [13.36111111 64.63888889],0
p11,1,0.043873,4.061431,[95 43] ; [43 35],[88.16666667 49.83333333] ; [49.83333333 28.16666667],0
p5,1,0.055474,3.667782,[ 10 128] ; [ 1 77],[  7.02777778 130.97222222] ; [ 3.97222222 74.02777778],0
a6,1,0.064571,3.415894,[100  38] ; [47 31],[93.91666667 44.08333333] ; [53.08333333 24.91666667],0
v2,1,0.070501,3.271308,[47 84] ; [37 39],[53.15942029 77.84057971] ; [30.84057971 45.15942029],0
u2,1,0.101964,2.674545,[21 32] ; [18 13],[24.60714286 28.39285714] ; [14.39285714 16.60714286],0
d2,1,0.115672,2.474969,[58 77] ; [25 53],[52.6056338 82.3943662] ; [30.3943662 47.6056338],0
s6,1,0.158673,1.986828,[52 86] ; [22 56],[47.27777778 90.72222222] ; [26.72222222 51.27777778],0
d5,1,0.169338,1.888793,[94 44] ; [60 18],[98.38888889 39.61111111] ; [55.61111111 22.38888889],0
a7,1,0.174909,1.840356,[84 53] ; [55 23],[88.57209302 48.42790698] ; [50.42790698 27.57209302],0
a8,1,0.180212,1.795876,[ 14 115] ; [ 4 71],[ 11.38235294 117.61764706] ; [ 6.61764706 68.38235294],0
p3,1,0.187156,1.739867,[ 34 104] ; [13 64],[ 30.16744186 107.83255814] ; [16.83255814 60.16744186],0
r3,1,0.236871,1.399118,[108  28] ; [67 11],[111.21495327  24.78504673] ; [63.78504673 14.21495327],0
d3,1,0.240552,1.377357,[79 59] ; [51 27],[83.05555556 54.94444444] ; [46.94444444 31.05555556],0
s8,1,0.250798,1.318852,[ 24 114] ; [ 9 69],[ 21.08333333 116.91666667] ; [11.91666667 66.08333333],0
u3,1,0.285447,1.140971,[21 32] ; [16 15],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
a4,1,0.321636,0.982281,[60 76] ; [29 49],[56.56074766 79.43925234] ; [32.43925234 45.56074766],0
r4,1,0.330146,0.948325,[99 39] ; [51 27],[95.83333333 42.16666667] ; [54.16666667 23.83333333],0
p8,1,0.352444,0.864638,[ 32 105] ; [14 64],[ 29.31162791 107.68837209] ; [16.68837209 61.31162791],0
r1,1,0.358916,0.841682,[87 51] ; [54 24],[90.08333333 47.91666667] ; [50.91666667 27.08333333],0
v4,1,0.372664,0.794764,[116  22] ; [61 16],[113.60930233  24.39069767] ; [63.39069767 13.60930233],0
s1,1,0.41073,0.676686,[  4 133] ; [ 4 74],[  5.09767442 131.90232558] ; [ 2.90232558 75.09767442],0
n3,1,0.435487,0.608144,[28 18] ; [15 14],[26.37333333 19.62666667] ; [16.62666667 12.37333333],0
p1,1,0.457547,0.551888,[ 13 125] ; [ 5 72],[ 11.55348837 126.44651163] ; [ 6.44651163 70.55348837],0
r2,1,0.512393,0.429176,[119  19] ; [63 13],[117.36448598  20.63551402] ; [64.63551402 11.36448598],0
b5,1,0.524376,0.405278,[77 61] ; [47 31],[79.22222222 58.77777778] ; [44.77777778 33.22222222],0
b2,1,0.530334,0.393751,[35 42] ; [17 26],[33.36666667 43.63333333] ; [18.63333333 24.36666667],0
b3,1,0.530334,0.393751,[35 42] ; [17 26],[33.36666667 43.63333333] ; [18.63333333 24.36666667],0
v1,1,0.540881,0.373909,[48 88] ; [24 53],[45.97183099 90.02816901] ; [26.02816901 50.97183099],0
s7,1,0.594369,0.283573,[ 28 106] ; [13 60],[ 26.5410628 107.4589372] ; [14.4589372 58.5410628],0
s4,1,0.644067,0.213463,[ 13 123] ; [ 6 72],[ 12.07476636 123.92523364] ; [ 6.92523364 71.07476636],0
u4,1,0.681192,0.168787,[  1 137] ; [ 1 77],[  1.27777778 136.72222222] ; [ 0.72222222 77.27777778],0
a3,1,0.745243,0.105571,[85 51] ; [47 31],[83.88785047 52.11214953] ; [48.11214953 29.88785047],0
s3,1,0.785408,0.074135,[ 27 110] ; [14 63],[ 26.24766355 110.75233645] ; [14.75233645 62.24766355],0
p6,1,0.790061,0.070879,[ 14 123] ; [ 7 70],[ 13.44392523 123.55607477] ; [ 7.55607477 69.44392523],0
s5,1,0.809236,0.05828,[ 18 117] ; [ 9 65],[ 17.44019139 117.55980861] ; [ 9.55980861 64.44019139],0
p2,1,0.885763,0.02064,[81 57] ; [45 33],[80.5 57.5] ; [45.5 32.5],0
b1,1,0.909621,0.012886,[52 86] ; [30 48],[52.38888889 85.61111111] ; [29.61111111 48.38888889],0
d1,1,0.93051,0.007604,[61 77] ; [34 44],[60.69444444 77.30555556] ; [34.30555556 43.69444444],0
v3,1,0.944697,0.004812,[ 36 100] ; [19 54],[ 35.78947368 100.21052632] ; [19.21052632 53.78947368],0
