Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.014139,6.020676,[16 14] ; [ 2 12],[12.27272727 17.72727273] ; [5.72727273 8.27272727],0
b1,1,0.031203,4.641758,[21  9] ; [5 9],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
u2,1,0.09769,2.742857,[2 6] ; [3 1],[3.33333333 4.66666667] ; [1.66666667 2.33333333],0
a8,1,0.100599,2.696021,[ 3 26] ; [4 9],[ 4.83333333 24.16666667] ; [ 2.16666667 10.83333333],0
p5,1,0.1507,2.065153,[ 2 28] ; [ 3 11],[ 3.40909091 26.59090909] ; [ 1.59090909 12.40909091],0
u1,1,0.179441,1.802245,[ 1 29] ; [ 2 12],[ 2.04545455 27.95454545] ; [ 0.95454545 13.04545455],0
n4,1,0.186376,1.746032,[20 10] ; [12  2],[21.81818182  8.18181818] ; [10.18181818  3.81818182],0
p3,1,0.226101,1.465222,[12 18] ; [ 3 11],[10.22727273 19.77272727] ; [4.77272727 9.22727273],0
p11,1,0.255503,1.292959,[16 14] ; [10  4],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
s8,1,0.262193,1.257143,[ 6 24] ; [5 9],[ 7.5 22.5] ; [ 3.5 10.5],0
s6,1,0.273047,1.201373,[11 17] ; [8 6],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
d4,1,0.277462,1.179482,[24  6] ; [13  1],[25.22727273  4.77272727] ; [11.77272727  2.22727273],0
d3,1,0.290269,1.118373,[20 10] ; [7 7],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
b5,1,0.375399,0.785714,[15 15] ; [9 5],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
a5,1,0.420153,0.649888,[20 10] ; [11  3],[21.13636364  8.86363636] ; [9.86363636 4.13636364],0
s3,1,0.430223,0.622222,[14 16] ; [4 8],[12.85714286 17.14285714] ; [5.14285714 6.85714286],0
r1,1,0.517413,0.419048,[16 14] ; [6 8],[15. 15.] ; [7. 7.],0
d1,1,0.532798,0.389053,[18 12] ; [7 7],[17.04545455 12.95454545] ; [7.95454545 6.04545455],0
p8,1,0.566457,0.328646,[ 6 23] ; [ 4 10],[ 6.74418605 22.25581395] ; [ 3.25581395 10.74418605],0
s7,1,0.602773,0.270833,[ 9 18] ; [3 9],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
s5,1,0.619668,0.246334,[ 8 20] ; [ 3 11],[ 7.33333333 20.66666667] ; [ 3.66666667 10.33333333],0
v2,1,0.658617,0.195209,[15 15] ; [8 6],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
p10,1,0.66534,0.187102,[14 16] ; [7 6],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
a6,1,0.679126,0.171111,[17 13] ; [7 7],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
p4,1,0.694469,0.15429,[11 19] ; [6 8],[11.59090909 18.40909091] ; [5.40909091 8.59090909],0
a2,1,0.702871,0.145503,[ 5 25] ; [ 3 11],[ 5.45454545 24.54545455] ; [ 2.54545455 11.45454545],0
v1,1,0.704656,0.143673,[ 9 21] ; [5 9],[ 9.54545455 20.45454545] ; [4.45454545 9.54545455],0
r3,1,0.708597,0.139683,[23  7] ; [10  4],[22.5  7.5] ; [10.5  3.5],0
n6,1,0.721817,0.126758,[17 12] ; [9 5],[17.53488372 11.46511628] ; [8.46511628 5.53488372],0
d2,1,0.721817,0.126758,[17 12] ; [9 5],[17.53488372 11.46511628] ; [8.46511628 5.53488372],0
b3,1,0.732122,0.117172,[ 6 12] ; [3 8],[ 5.5862069 12.4137931] ; [3.4137931 7.5862069],0
b2,1,0.732122,0.117172,[ 6 12] ; [3 8],[ 5.5862069 12.4137931] ; [3.4137931 7.5862069],0
a4,1,0.738514,0.111437,[14 15] ; [6 8],[13.48837209 15.51162791] ; [6.51162791 7.48837209],0
p2,1,0.749993,0.101537,[16 13] ; [7 7],[15.51162791 13.48837209] ; [7.48837209 6.51162791],0
p7,1,0.752102,0.099773,[10 20] ; [ 4 10],[ 9.54545455 20.45454545] ; [4.45454545 9.54545455],0
v3,1,0.754867,0.097487,[ 7 22] ; [ 4 10],[ 7.41860465 21.58139535] ; [ 3.58139535 10.41860465],0
p1,1,0.758798,0.094286,[ 3 27] ; [ 1 13],[ 2.72727273 27.27272727] ; [ 1.27272727 12.72727273],0
p9,1,0.766157,0.08845,[17 13] ; [8 5],[17.44186047 12.55813953] ; [7.55813953 5.44186047],0
n5,1,0.785671,0.07395,[18 12] ; [9 5],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
a7,1,0.785671,0.07395,[18 12] ; [9 5],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
s2,1,0.804308,0.061393,[ 8 22] ; [ 3 10],[ 7.6744186 22.3255814] ; [3.3255814 9.6744186],0
a3,1,0.894876,0.01746,[22  8] ; [10  4],[21.81818182  8.18181818] ; [10.18181818  3.81818182],0
n2,1,0.905581,0.014069,[5 6] ; [1 1],[5.07692308 5.92307692] ; [0.92307692 1.07692308],0
p6,1,0.955491,0.003115,[ 6 23] ; [ 3 11],[ 6.06976744 22.93023256] ; [ 2.93023256 11.06976744],0
