Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.561925,[73 22] ; [ 7 21],[61.78861789 33.21138211] ; [18.21138211  9.78861789],1
r3,1,1.1e-05,19.268656,[81 13] ; [13 15],[72.42622951 21.57377049] ; [21.57377049  6.42622951],1
p2,1,0.000226,13.604191,[58 37] ; [ 6 22],[49.43089431 45.56910569] ; [14.56910569 13.43089431],1
n6,1,0.000278,13.210134,[68 27] ; [ 9 18],[59.95901639 35.04098361] ; [17.04098361  9.95901639],1
r1,1,0.002085,9.472839,[64 30] ; [10 18],[57.01639344 36.98360656] ; [16.98360656 11.01639344],0
p7,1,0.005067,7.855345,[37 58] ; [ 3 25],[30.89430894 64.10569106] ; [ 9.10569106 18.89430894],0
u2,1,0.00622,7.485378,[18 19] ; [ 1 13],[13.78431373 23.21568627] ; [5.21568627 8.78431373],0
r2,1,0.008726,6.878105,[83 12] ; [17  9],[78.51239669 16.48760331] ; [21.48760331  4.51239669],0
u3,1,0.010409,6.563593,[21 18] ; [ 2 12],[16.9245283 22.0754717] ; [6.0754717 7.9245283],0
n2,1,0.013919,6.048352,[26 11] ; [ 5 10],[22.05769231 14.94230769] ; [8.94230769 6.05769231],0
a1,1,0.032115,4.592346,[ 5 90] ; [ 5 23],[ 7.72357724 87.27642276] ; [ 2.27642276 25.72357724],0
p3,1,0.035726,4.41015,[29 66] ; [ 3 25],[24.71544715 70.28455285] ; [ 7.28455285 20.71544715],0
p11,1,0.045059,4.016437,[51 44] ; [ 9 19],[46.34146341 48.65853659] ; [13.65853659 14.34146341],0
n3,1,0.049715,3.851048,[25 11] ; [6 9],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
p6,1,0.074422,3.182686,[21 71] ; [ 2 25],[17.78151261 74.21848739] ; [ 5.21848739 21.78151261],0
s8,1,0.082659,3.011825,[15 77] ; [ 1 27],[12.26666667 79.73333333] ; [ 3.73333333 24.26666667],0
d3,1,0.087503,2.919714,[58 37] ; [12 16],[54.06504065 40.93495935] ; [15.93495935 12.06504065],0
p9,1,0.088183,2.907229,[29 63] ; [ 4 23],[25.51260504 66.48739496] ; [ 7.48739496 19.51260504],0
p4,1,0.108519,2.575654,[32 63] ; [ 5 23],[28.57723577 66.42276423] ; [ 8.42276423 19.57723577],0
p8,1,0.179206,1.804193,[25 69] ; [ 4 24],[22.3442623 71.6557377] ; [ 6.6557377 21.3442623],0
p1,1,0.197052,1.664087,[ 4 90] ; [ 3 25],[ 5.39344262 88.60655738] ; [ 1.60655738 26.39344262],0
v2,1,0.203374,1.617981,[39 54] ; [ 8 20],[36.12396694 56.87603306] ; [10.87603306 17.12396694],0
u1,1,0.209483,1.574992,[11 84] ; [ 1 27],[ 9.26829268 85.73170732] ; [ 2.73170732 25.26829268],0
d4,1,0.240092,1.380054,[68 26] ; [17 11],[65.49180328 28.50819672] ; [19.50819672  8.49180328],0
b5,1,0.261143,1.262687,[62 33] ; [15 13],[59.47154472 35.52845528] ; [17.52845528 10.47154472],0
d5,1,0.326803,0.961525,[67 28] ; [17 11],[64.87804878 30.12195122] ; [19.12195122  8.87804878],0
