Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9e-06,19.639548,[48 91] ; [86 55],[66.52142857 72.47857143] ; [67.47857143 73.52142857],1
s8,1,0.000358,12.741357,[ 37 110] ; [65 79],[51.5257732 95.4742268] ; [50.4742268 93.5257732],1
r2,1,0.000516,12.058579,[120  28] ; [136   8],[129.75342466  18.24657534] ; [126.24657534  17.75342466],1
r4,1,0.003386,8.586796,[111  37] ; [128  17],[120.72354949  27.27645051] ; [118.27645051  26.72354949],0
a3,1,0.004108,8.235564,[72 74] ; [95 49],[84.07586207 61.92413793] ; [82.92413793 61.07586207],0
v3,1,0.004584,8.036566,[ 39 106] ; [62 83],[50.5 94.5] ; [50.5 94.5],0
r1,1,0.005618,7.66879,[92 56] ; [111  33],[102.89041096  45.10958904] ; [100.10958904  43.89041096],0
p9,1,0.006674,7.358715,[105  37] ; [124  19],[114.09824561  27.90175439] ; [114.90175439  28.09824561],0
p2,1,0.010788,6.49991,[105  42] ; [120  23],[114.05172414  32.94827586] ; [110.94827586  32.05172414],0
p10,1,0.013909,6.049691,[103  41] ; [118  23],[111.66315789  32.33684211] ; [109.33684211  31.66315789],0
n6,1,0.015403,5.869804,[116  32] ; [128  16],[123.67123288  24.32876712] ; [120.32876712  23.67123288],0
r3,1,0.01718,5.677857,[123  25] ; [132  11],[129.69072165  18.30927835] ; [125.30927835  17.69072165],0
a2,1,0.018074,5.588917,[  5 143] ; [ 15 130],[ 10.10238908 137.89761092] ; [  9.89761092 135.10238908],0
s7,1,0.02641,4.928969,[53 86] ; [69 65],[62.11721612 76.88278388] ; [59.88278388 74.11721612],0
u3,1,0.041457,4.157243,[30 46] ; [29 21],[35.58730159 40.41269841] ; [23.41269841 26.58730159],0
b5,1,0.049316,3.864575,[75 73] ; [90 55],[83.3447099 64.6552901] ; [81.6552901 63.3447099],0
s2,1,0.054975,3.682831,[54 93] ; [68 74],[62.05536332 84.94463668] ; [59.94463668 82.05536332],0
b1,1,0.083582,2.99384,[72 76] ; [56 89],[64.6552901 83.3447099] ; [63.3447099 81.6552901],0
p4,1,0.099327,2.716309,[68 78] ; [81 63],[75.0137931 70.9862069] ; [73.9862069 70.0137931],0
p7,1,0.102215,2.670641,[81 63] ; [92 48],[87.71830986 56.28169014] ; [85.28169014 54.71830986],0
v4,1,0.103264,2.654392,[128  20] ; [133  11],[132.28767123  15.71232877] ; [128.71232877  15.28767123],0
a8,1,0.104301,2.638512,[ 17 123] ; [ 26 109],[ 21.89090909 118.10909091] ; [ 21.10909091 113.89090909],0
p3,1,0.115608,2.475829,[57 90] ; [69 75],[63.64948454 83.35051546] ; [62.35051546 81.64948454],0
u1,1,0.116096,2.46922,[  3 145] ; [  8 137],[  5.55631399 142.44368601] ; [  5.44368601 139.55631399],0
