Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.533238,[74 13] ; [ 3 10],[66.99 20.01] ; [10.01  2.99],1
n5,1,0.001646,9.9081,[80  7] ; [8 5],[76.56 10.44] ; [11.44  1.56],0
p7,1,0.002868,8.889661,[73 14] ; [5 6],[69.24489796 17.75510204] ; [8.75510204 2.24489796],0
p2,1,0.003532,8.50975,[81  5] ; [9 4],[78.18181818  7.81818182] ; [11.81818182  1.18181818],0
p6,1,0.004496,8.071663,[58 28] ; [3 9],[53.53061224 32.46938776] ; [7.46938776 4.53061224],0
s2,1,0.012678,6.21352,[51 34] ; [ 3 10],[46.83673469 38.16326531] ; [7.16326531 5.83673469],0
r3,1,0.016607,5.737417,[81  4] ; [10  3],[78.92857143  6.07142857] ; [12.07142857  0.92857143],0
r4,1,0.02557,4.984862,[79  8] ; [9 4],[76.56 10.44] ; [11.44  1.56],0
v2,1,0.030159,4.700225,[52 31] ; [4 9],[48.41666667 34.58333333] ; [7.58333333 5.41666667],0
b4,1,0.04409,4.053125,[48 39] ; [11  2],[51.33 35.67] ; [7.67 5.33],0
s3,1,0.045819,3.988232,[54 31] ; [4 8],[50.82474227 34.17525773] ; [7.17525773 4.82474227],0
v3,1,0.05669,3.63166,[49 34] ; [4 9],[45.82291667 37.17708333] ; [7.17708333 5.82291667],0
p1,1,0.069496,3.294887,[28 59] ; [ 1 12],[25.23 61.77] ; [3.77 9.23],0
u3,1,0.075752,3.15377,[13  5] ; [1 3],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
s8,1,0.095687,2.775998,[54 32] ; [5 8],[51.25252525 34.74747475] ; [7.74747475 5.25252525],0
p12,1,0.116077,2.469468,[26 61] ; [ 1 11],[23.72727273 63.27272727] ; [3.27272727 8.72727273],0
d1,1,0.177407,1.819212,[57 30] ; [6 7],[54.81 32.19] ; [8.19 4.81],0
a5,1,0.181834,1.782568,[66 21] ; [12  1],[67.86 19.14] ; [10.14  2.86],0
s1,1,0.203979,1.61365,[ 5 82] ; [ 2 11],[ 6.09 80.91] ; [ 0.91 12.09],0
s6,1,0.209031,1.578124,[67 13] ; [9 4],[65.37634409 14.62365591] ; [10.62365591  2.37634409],0
b5,1,0.228142,1.452408,[38 49] ; [8 5],[40.02 46.98] ; [5.98 7.02],0
d2,1,0.26016,1.267907,[48 39] ; [5 8],[46.11 40.89] ; [6.89 6.11],0
s5,1,0.261504,1.260776,[52 26] ; [6 6],[50.26666667 27.73333333] ; [7.73333333 4.26666667],0
n6,1,0.292705,1.107139,[81  6] ; [11  2],[80.04  6.96] ; [11.96  1.04],0
p8,1,0.298002,1.083112,[71 16] ; [9 4],[69.6 17.4] ; [10.4  2.6],0
r1,1,0.308612,1.036607,[70 16] ; [9 4],[68.62626263 17.37373737] ; [10.37373737  2.62626263],0
r2,1,0.33798,0.918077,[79  7] ; [10  2],[78.10204082  7.89795918] ; [10.89795918  1.10204082],0
b1,1,0.339588,0.911986,[39 48] ; [4 9],[37.41 49.59] ; [5.59 7.41],0
v1,1,0.405268,0.692641,[59 25] ; [7 5],[57.75 26.25] ; [8.25 3.75],0
a3,1,0.413183,0.669622,[69 18] ; [9 4],[67.86 19.14] ; [10.14  2.86],0
n3,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
s7,1,0.522175,0.409594,[57 24] ; [8 5],[56.0106383 24.9893617] ; [8.9893617 4.0106383],0
u2,1,0.530801,0.392857,[12  6] ; [2 2],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
d3,1,0.592339,0.286706,[60 27] ; [8 5],[59.16 27.84] ; [8.84 4.16],0
a2,1,0.594084,0.284012,[19 68] ; [ 2 11],[18.27 68.73] ; [ 2.73 10.27],0
a8,1,0.613621,0.254935,[10 69] ; [2 9],[10.53333333 68.46666667] ; [1.46666667 9.53333333],0
a7,1,0.613853,0.254602,[61 26] ; [10  3],[61.77 25.23] ; [9.23 3.77],0
v4,1,0.648575,0.207701,[81  4] ; [12  1],[80.66326531  4.33673469] ; [12.33673469  0.66326531],0
a4,1,0.666249,0.186021,[39 48] ; [5 8],[38.28 48.72] ; [5.72 7.28],0
a6,1,0.673575,0.177449,[55 32] ; [9 4],[55.68 31.32] ; [8.32 4.68],0
n4,1,0.687232,0.162098,[77 10] ; [11  2],[76.56 10.44] ; [11.44  1.56],0
p11,1,0.687232,0.162098,[77 10] ; [11  2],[76.56 10.44] ; [11.44  1.56],0
d5,1,0.766199,0.088417,[70 17] ; [10  3],[69.6 17.4] ; [10.4  2.6],0
b2,1,0.789189,0.071484,[31 32] ; [4 5],[30.625 32.375] ; [4.375 4.625],0
b3,1,0.789189,0.071484,[31 32] ; [4 5],[30.625 32.375] ; [4.375 4.625],0
d4,1,0.877412,0.023793,[75 12] ; [11  2],[74.82 12.18] ; [11.18  1.82],0
n1,1,0.915605,0.01123,[9 8] ; [2 2],[8.9047619 8.0952381] ; [2.0952381 1.9047619],0
n2,1,0.950458,0.00386,[13  4] ; [3 1],[12.95238095  4.04761905] ; [3.04761905 0.95238095],0
