Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6.7e-05,15.89578,[39 20] ; [139  17],[48.84651163 10.15348837] ; [129.15348837  26.84651163],1
b1,1,7.4e-05,15.69324,[34 26] ; [ 45 116],[21.4479638 38.5520362] ; [ 57.5520362 103.4479638],1
p10,1,0.000148,14.394268,[36 24] ; [132  25],[46.4516129 13.5483871] ; [121.5483871  35.4516129],1
p8,1,0.000171,14.129038,[ 9 51] ; [65 89],[20.74766355 39.25233645] ; [ 53.25233645 100.74766355],1
p7,1,0.000309,13.017944,[18 39] ; [90 61],[29.59615385 27.40384615] ; [78.40384615 72.59615385],1
p11,1,0.004548,8.050989,[36 24] ; [127  34],[44.25339367 15.74660633] ; [118.74660633  42.25339367],0
s1,1,0.005296,7.775516,[ 7 52] ; [  4 154],[ 2.99078341 56.00921659] ; [  8.00921659 149.99078341],0
v4,1,0.017966,5.599457,[54  6] ; [155   4],[57.26027397  2.73972603] ; [151.73972603   7.26027397],0
r3,1,0.027479,4.860435,[53  7] ; [153   6],[56.43835616  3.56164384] ; [149.56164384   9.43835616],0
u4,1,0.029883,4.716026,[ 3 57] ; [  1 160],[ 1.08597285 58.91402715] ; [  2.91402715 158.08597285],0
s4,1,0.036113,4.391766,[19 40] ; [ 30 129],[13.26146789 45.73853211] ; [ 35.73853211 123.26146789],0
a1,1,0.050413,3.827663,[ 5 55] ; [  4 157],[ 2.44343891 57.55656109] ; [  6.55656109 154.44343891],0
r2,1,0.074915,3.171902,[54  6] ; [151   6],[56.68202765  3.31797235] ; [148.31797235   8.68202765],0
p1,1,0.115062,2.483278,[ 6 54] ; [  7 153],[ 3.54545455 56.45454545] ; [  9.45454545 150.54545455],0
d5,1,0.119015,2.430239,[41 18] ; [128  33],[45.32272727 13.67727273] ; [123.67727273  37.32272727],0
v3,1,0.19529,1.677249,[24 30] ; [ 55 104],[20.02816901 33.97183099] ; [ 58.97183099 100.02816901],0
s7,1,0.217864,1.518385,[35 23] ; [82 79],[30.98630137 27.01369863] ; [86.01369863 74.98630137],0
n1,1,0.21812,1.516697,[10  9] ; [17 30],[ 7.77272727 11.22727273] ; [19.22727273 27.77272727],0
p6,1,0.218847,1.511917,[14 46] ; [ 25 130],[10.88372093 49.11627907] ; [ 28.11627907 126.88372093],0
v2,1,0.265307,1.240853,[33 21] ; [79 72],[29.50243902 24.49756098] ; [82.49756098 68.50243902],0
p5,1,0.340661,0.907942,[ 4 55] ; [  6 154],[ 2.69406393 56.30593607] ; [  7.30593607 152.69406393],0
p12,1,0.346645,0.885699,[ 6 54] ; [ 10 149],[ 4.38356164 55.61643836] ; [ 11.61643836 147.38356164],0
a5,1,0.351084,0.869537,[37 23] ; [110  51],[39.90950226 20.09049774] ; [107.09049774  53.90950226],0
n3,1,0.358177,0.844275,[12  7] ; [35 12],[13.53030303  5.46969697] ; [33.46969697 13.53030303],0
b5,1,0.364632,0.821877,[43 17] ; [105  56],[40.18099548 19.81900452] ; [107.81900452  53.18099548],0
a6,1,0.369737,0.804547,[36 23] ; [108  52],[38.79452055 20.20547945] ; [105.20547945  54.79452055],0
d4,1,0.373773,0.791083,[44 15] ; [129  32],[46.39545455 12.60454545] ; [126.60454545  34.39545455],0
a8,1,0.374888,0.787398,[ 7 50] ; [ 25 119],[ 9.07462687 47.92537313] ; [ 22.92537313 121.07462687],0
a3,1,0.377598,0.778507,[38 21] ; [113  47],[40.6803653 18.3196347] ; [110.3196347  49.6803653],0
s2,1,0.40022,0.707665,[38 21] ; [93 67],[35.29223744 23.70776256] ; [95.70776256 64.29223744],0
s3,1,0.419861,0.650706,[38 19] ; [115  44],[40.375 16.625] ; [112.625  46.375],0
a7,1,0.491513,0.473211,[40 20] ; [115  46],[42.08144796 17.91855204] ; [112.91855204  48.08144796],0
n2,1,0.543255,0.369541,[15  4] ; [40  7],[15.83333333  3.16666667] ; [39.16666667  7.83333333],0
d2,1,0.545896,0.364721,[25 34] ; [ 61 100],[23.06363636 35.93636364] ; [62.93636364 98.06363636],0
b4,1,0.558945,0.341534,[38 22] ; [95 66],[36.10859729 23.89140271] ; [96.89140271 64.10859729],0
s8,1,0.611481,0.258024,[31 29] ; [77 84],[29.32126697 30.67873303] ; [78.67873303 82.32126697],0
a4,1,0.644564,0.212822,[24 35] ; [ 60 101],[22.52727273 36.47272727] ; [61.47272727 99.52727273],0
b2,1,0.660806,0.192546,[12 26] ; [31 56],[13.072 24.928] ; [29.928 57.072],0
b3,1,0.660806,0.192546,[12 26] ; [31 56],[13.072 24.928] ; [29.928 57.072],0
r1,1,0.662479,0.190526,[46 14] ; [127  33],[47.18181818 12.81818182] ; [125.81818182  34.18181818],0
p3,1,0.690241,0.158825,[13 47] ; [ 39 122],[14.11764706 45.88235294] ; [ 37.88235294 123.11764706],0
n5,1,0.701898,0.146504,[42 18] ; [107  52],[40.82191781 19.17808219] ; [108.17808219  50.82191781],0
a2,1,0.722437,0.12617,[14 46] ; [ 34 127],[13.03167421 46.96832579] ; [ 34.96832579 126.03167421],0
n6,1,0.765735,0.088779,[48 12] ; [130  29],[48.76712329 11.23287671] ; [129.23287671  29.76712329],0
r4,1,0.784351,0.074886,[53  7] ; [140  21],[52.39819005  7.60180995] ; [140.60180995  20.39819005],0
d3,1,0.789222,0.071461,[34 25] ; [96 65],[34.86363636 24.13636364] ; [95.13636364 65.86363636],0
u3,1,0.823558,0.049716,[13  9] ; [27 21],[12.57142857  9.42857143] ; [27.42857143 20.57142857],0
s5,1,0.829348,0.046456,[21 36] ; [60 96],[21.67605634 35.32394366] ; [59.32394366 96.67605634],0
v1,1,0.830079,0.046053,[30 30] ; [79 74],[30.70422535 29.29577465] ; [78.29577465 74.70422535],0
d1,1,0.878006,0.023562,[28 32] ; [77 84],[28.50678733 31.49321267] ; [76.49321267 84.50678733],0
u1,1,0.893245,0.018009,[ 9 51] ; [ 23 138],[ 8.68778281 51.31221719] ; [ 23.31221719 137.68778281],0
n4,1,0.928517,0.008048,[42 18] ; [111  49],[41.72727273 18.27272727] ; [111.27272727  48.72727273],0
u2,1,0.937762,0.006097,[12 10] ; [25 20],[12.14925373  9.85074627] ; [24.85074627 20.14925373],0
