Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,298.561359,[292  32] ; [ 69 242],[184.19527559 139.80472441] ; [176.80472441 134.19527559],1
s7,1,0.0,121.574415,[229  91] ; [ 81 217],[160.51779935 159.48220065] ; [149.48220065 148.51779935],1
s6,1,0.0,117.125971,[284  37] ; [150 159],[221.13333333  99.86666667] ; [212.86666667  96.13333333],1
s8,1,0.0,86.482608,[212 112] ; [ 90 224],[153.36677116 170.63322884] ; [148.63322884 165.36677116],1
s5,1,0.0,67.484272,[157 157] ; [ 57 249],[108.38064516 205.61935484] ; [105.61935484 200.38064516],1
s4,1,3e-06,21.814861,[ 74 248] ; [ 29 283],[ 52.31230284 269.68769716] ; [ 50.68769716 261.31230284],1
d1,1,3.5e-05,17.151524,[220 106] ; [162 153],[194.27769111 131.72230889] ; [187.72230889 127.27769111],1
d4,1,0.000256,13.369251,[287  37] ; [245  70],[269.74647887  54.25352113] ; [262.25352113  52.74647887],1
p6,1,0.000312,12.995187,[148 175] ; [ 98 210],[125.92393027 197.07606973] ; [120.07606973 187.92393027],1
p12,1,0.000433,12.382521,[ 46 279] ; [ 18 294],[ 32.65306122 292.34693878] ; [ 31.34693878 280.65306122],1
r2,1,0.0027,8.999653,[312  10] ; [283  27],[303.14873418  18.85126582] ; [291.85126582  18.14873418],0
n5,1,0.002988,8.81472,[271  53] ; [231  81],[255.73584906  68.26415094] ; [246.26415094  65.73584906],0
p10,1,0.003143,8.722536,[312  13] ; [281  31],[302.55102041  22.44897959] ; [290.44897959  21.55102041],0
d2,1,0.00447,8.082169,[170 155] ; [129 185],[152.07355243 172.92644757] ; [146.92644757 167.07355243],0
u1,1,0.004674,8.001486,[ 70 256] ; [ 41 274],[ 56.4524181 269.5475819] ; [ 54.5475819 260.4524181],0
p4,1,0.005139,7.829752,[222 102] ; [181 132],[204.97959184 119.02040816] ; [198.02040816 114.97959184],0
a2,1,0.007453,7.160473,[ 89 237] ; [ 58 257],[ 74.76131045 251.23868955] ; [ 72.23868955 242.76131045],0
