Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000272,13.257143,[36 22] ; [ 6 23],[28. 30.] ; [14. 15.],1
d4,1,0.010951,6.473214,[47 11] ; [16 13],[42. 16.] ; [21.  8.],0
b1,1,0.014464,5.980666,[20 38] ; [18 11],[25.33333333 32.66666667] ; [12.66666667 16.33333333],0
d5,1,0.031322,4.635246,[45 13] ; [16 13],[40.66666667 17.33333333] ; [20.33333333  8.66666667],0
p4,1,0.046214,3.973784,[29 29] ; [21  8],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
n3,1,0.081277,3.039183,[9 2] ; [4 5],[7.15 3.85] ; [5.85 3.15],0
p7,1,0.092729,2.826355,[30 26] ; [21  8],[33.6 22.4] ; [17.4 11.6],0
p2,1,0.117472,2.450704,[50  8] ; [21  8],[47.33333333 10.66666667] ; [23.66666667  5.33333333],0
n4,1,0.14027,2.175,[37 21] ; [23  6],[40. 18.] ; [20.  9.],0
p12,1,0.147536,2.097542,[ 3 55] ; [ 4 24],[ 4.72093023 53.27906977] ; [ 2.27906977 25.72093023],0
b4,1,0.172131,1.864286,[33 25] ; [12 17],[30. 28.] ; [15. 14.],0
n2,1,0.202288,1.625782,[9 2] ; [5 4],[7.7 3.3] ; [6.3 2.7],0
b5,1,0.213883,1.54495,[38 20] ; [15 14],[35.33333333 22.66666667] ; [17.66666667 11.33333333],0
d3,1,0.213883,1.54495,[38 20] ; [15 14],[35.33333333 22.66666667] ; [17.66666667 11.33333333],0
d1,1,0.216162,1.52967,[26 32] ; [ 9 20],[23.33333333 34.66666667] ; [11.66666667 17.33333333],0
v3,1,0.217341,1.521842,[25 29] ; [ 9 19],[22.3902439 31.6097561] ; [11.6097561 16.3902439],0
p3,1,0.221417,1.495166,[28 30] ; [10 19],[25.33333333 32.66666667] ; [12.66666667 16.33333333],0
d2,1,0.228844,1.44803,[13 45] ; [10 19],[15.33333333 42.66666667] ; [ 7.66666667 21.33333333],0
v1,1,0.251201,1.316614,[25 30] ; [17 12],[27.5 27.5] ; [14.5 14.5],0
a4,1,0.261487,1.26087,[10 48] ; [ 8 21],[12. 46.] ; [ 6. 23.],0
v2,1,0.270442,1.214504,[31 23] ; [12 15],[28.66666667 25.33333333] ; [14.33333333 12.66666667],0
p11,1,0.30882,1.035714,[44 14] ; [19 10],[42. 16.] ; [21.  8.],0
p8,1,0.360389,0.836538,[30 28] ; [18 11],[32. 26.] ; [16. 13.],0
n1,1,0.390733,0.73666,[4 7] ; [5 4],[4.95 6.05] ; [4.05 4.95],0
a8,1,0.466727,0.529715,[ 9 43] ; [ 3 24],[ 7.89873418 44.10126582] ; [ 4.10126582 22.89873418],0
n5,1,0.502795,0.449032,[40 18] ; [22  7],[41.33333333 16.66666667] ; [20.66666667  8.33333333],0
v4,1,0.536919,0.381281,[54  4] ; [27  1],[54.62790698  3.37209302] ; [26.37209302  1.62790698],0
s7,1,0.538696,0.377962,[38 16] ; [20  6],[39.15 14.85] ; [18.85  7.15],0
s3,1,0.565863,0.329654,[42 15] ; [23  6],[43.08139535 13.91860465] ; [21.91860465  7.08139535],0
b3,1,0.586134,0.296422,[10 26] ; [ 4 15],[ 9.16363636 26.83636364] ; [ 4.83636364 14.16363636],0
b2,1,0.586134,0.296422,[10 26] ; [ 4 15],[ 9.16363636 26.83636364] ; [ 4.83636364 14.16363636],0
s6,1,0.592018,0.287204,[47 11] ; [24  4],[47.88372093 10.11627907] ; [23.11627907  4.88372093],0
u3,1,0.691345,0.157633,[19  8] ; [9 5],[18.43902439  8.56097561] ; [9.56097561 4.43902439],0
p5,1,0.703478,0.144879,[10 47] ; [ 4 24],[ 9.38823529 47.61176471] ; [ 4.61176471 23.38823529],0
u1,1,0.717373,0.131024,[ 3 55] ; [ 1 28],[ 2.66666667 55.33333333] ; [ 1.33333333 27.66666667],0
s4,1,0.727221,0.121678,[14 44] ; [ 8 21],[14.66666667 43.33333333] ; [ 7.33333333 21.66666667],0
r3,1,0.744632,0.106098,[55  3] ; [27  2],[54.66666667  3.33333333] ; [27.33333333  1.66666667],0
r2,1,0.773158,0.083086,[52  5] ; [25  3],[51.63529412  5.36470588] ; [25.36470588  2.63529412],0
p9,1,0.817488,0.053258,[46 11] ; [22  6],[45.6 11.4] ; [22.4  5.6],0
r4,1,0.819562,0.052033,[51  7] ; [25  4],[50.66666667  7.33333333] ; [25.33333333  3.66666667],0
s2,1,0.829704,0.04626,[38 19] ; [20  9],[38.44186047 18.55813953] ; [19.55813953  9.44186047],0
p1,1,0.831603,0.045218,[ 9 49] ; [ 4 25],[ 8.66666667 49.33333333] ; [ 4.33333333 24.66666667],0
p10,1,0.844237,0.038603,[45 11] ; [23  5],[45.33333333 10.66666667] ; [22.66666667  5.33333333],0
n6,1,0.848375,0.036555,[47 11] ; [23  6],[46.66666667 11.33333333] ; [23.33333333  5.66666667],0
a3,1,0.879289,0.023065,[31 27] ; [15 14],[30.66666667 27.33333333] ; [15.33333333 13.66666667],0
r1,1,0.899863,0.015834,[42 15] ; [21  8],[41.75581395 15.24418605] ; [21.24418605  7.75581395],0
u2,1,0.91133,0.012401,[19  7] ; [10  4],[18.85  7.15] ; [10.15  3.85],0
s5,1,0.942041,0.005286,[15 37] ; [ 8 19],[15.13924051 36.86075949] ; [ 7.86075949 19.13924051],0
p6,1,0.982047,0.000506,[21 34] ; [11 18],[20.95238095 34.04761905] ; [11.04761905 17.95238095],0
s1,1,1.0,0.0,[ 4 54] ; [ 2 27],[ 4. 54.] ; [ 2. 27.],0
