Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.027469,4.861111,[2 2] ; [ 2 22],[0.57142857 3.42857143] ; [ 3.42857143 20.57142857],0
v2,1,0.111772,2.528984,[6 6] ; [10 29],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
a3,1,0.119669,2.421652,[8 4] ; [16 23],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
d1,1,0.136191,2.220479,[ 2 10] ; [16 24],[4.15384615 7.84615385] ; [13.84615385 26.15384615],0
s3,1,0.161349,1.961538,[ 2 10] ; [15 24],[4. 8.] ; [13. 26.],0
p2,1,0.167291,1.907051,[7 5] ; [14 25],[4.94117647 7.05882353] ; [16.05882353 22.94117647],0
v3,1,0.181799,1.782857,[3 9] ; [ 4 36],[ 1.61538462 10.38461538] ; [ 5.38461538 34.61538462],0
a2,1,0.183451,1.769444,[ 2 10] ; [ 2 38],[ 0.92307692 11.07692308] ; [ 3.07692308 36.92307692],0
s6,1,0.206994,1.59233,[5 7] ; [ 9 30],[3.29411765 8.70588235] ; [10.70588235 28.29411765],0
r1,1,0.26953,1.219139,[6 6] ; [13 27],[4.38461538 7.61538462] ; [14.61538462 25.38461538],0
p6,1,0.329313,0.951598,[3 9] ; [ 5 33],[ 1.92 10.08] ; [ 6.08 31.92],0
s1,1,0.344806,0.892482,[ 2 10] ; [ 3 37],[ 1.15384615 10.84615385] ; [ 3.84615385 36.15384615],0
p7,1,0.351045,0.869676,[5 7] ; [11 29],[3.69230769 8.30769231] ; [12.30769231 27.69230769],0
p9,1,0.370896,0.800659,[7 5] ; [17 22],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
a4,1,0.379489,0.772356,[5 7] ; [11 28],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
p10,1,0.381571,0.765633,[6 6] ; [14 25],[4.70588235 7.29411765] ; [15.29411765 23.70588235],0
b2,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
b3,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
a7,1,0.417485,0.657383,[7 5] ; [18 22],[5.76923077 6.23076923] ; [19.23076923 20.76923077],0
p4,1,0.44987,0.57098,[5 7] ; [12 28],[3.92307692 8.07692308] ; [13.07692308 26.92307692],0
n5,1,0.44987,0.57098,[7 5] ; [28 12],[8.07692308 3.92307692] ; [26.92307692 13.07692308],0
p8,1,0.475896,0.508253,[4 8] ; [ 9 30],[3.05882353 8.94117647] ; [ 9.94117647 29.05882353],0
r3,1,0.510941,0.432139,[7 4] ; [21 19],[6.03921569 4.96078431] ; [21.96078431 18.03921569],0
