Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2.3e-05,17.935716,[ 3 55] ; [10 13],[ 9.30864198 48.69135802] ; [ 3.69135802 19.30864198],1
p8,1,0.000271,13.260672,[ 9 50] ; [13 11],[15.63855422 43.36144578] ; [ 6.36144578 17.63855422],1
p4,1,0.002503,9.138739,[14 45] ; [14 10],[19.90361446 39.09638554] ; [ 8.09638554 15.90361446],0
p2,1,0.003463,8.545921,[25 34] ; [18  5],[30.93902439 28.06097561] ; [12.06097561 10.93902439],0
v1,1,0.008916,6.839499,[13 44] ; [13 12],[18.07317073 38.92682927] ; [ 7.92682927 17.07317073],0
p3,1,0.025775,4.971072,[ 9 50] ; [ 9 15],[12.79518072 46.20481928] ; [ 5.20481928 18.79518072],0
p10,1,0.025849,4.96612,[23 35] ; [16  8],[27.58536585 30.41463415] ; [11.41463415 12.58536585],0
p11,1,0.035554,4.418378,[23 36] ; [16  9],[27.39285714 31.60714286] ; [11.60714286 13.39285714],0
b4,1,0.038764,4.271186,[38 21] ; [10 15],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
p5,1,0.04019,4.209857,[ 2 57] ; [ 4 21],[ 4.21428571 54.78571429] ; [ 1.78571429 23.21428571],0
s6,1,0.05637,3.641103,[10 49] ; [ 9 16],[13.3452381 45.6547619] ; [ 5.6547619 19.3452381],0
u2,1,0.078183,3.102273,[ 7 21] ; [6 5],[ 9.33333333 18.66666667] ; [3.66666667 7.33333333],0
s4,1,0.097678,2.743051,[ 6 53] ; [ 6 19],[ 8.42857143 50.57142857] ; [ 3.57142857 21.42857143],0
b2,1,0.103225,2.654995,[15 20] ; [ 2 10],[12.65957447 22.34042553] ; [4.34042553 7.65957447],0
b3,1,0.103225,2.654995,[15 20] ; [ 2 10],[12.65957447 22.34042553] ; [4.34042553 7.65957447],0
v2,1,0.113022,2.511451,[17 40] ; [12 13],[20.15853659 36.84146341] ; [ 8.84146341 16.15853659],0
s2,1,0.135872,2.224095,[ 5 54] ; [ 5 20],[ 7.02380952 51.97619048] ; [ 2.97619048 22.02380952],0
d1,1,0.186651,1.743858,[23 36] ; [ 6 19],[20.36904762 38.63095238] ; [ 8.63095238 16.36904762],0
v4,1,0.242086,1.368407,[32 27] ; [17  8],[34.41666667 24.58333333] ; [14.58333333 10.41666667],0
n2,1,0.243525,1.360071,[15 15] ; [9 4],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
n3,1,0.272716,1.203036,[13 17] ; [8 5],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
r1,1,0.273993,1.196644,[16 43] ; [ 4 21],[14.04761905 44.95238095] ; [ 5.95238095 19.04761905],0
b1,1,0.333484,0.935322,[31 28] ; [16  9],[33.01190476 25.98809524] ; [13.98809524 11.01190476],0
n5,1,0.336799,0.922576,[36 23] ; [18  7],[37.92857143 21.07142857] ; [16.07142857  8.92857143],0
n4,1,0.339236,0.913315,[35 24] ; [12 13],[33.01190476 25.98809524] ; [13.98809524 11.01190476],0
a4,1,0.344834,0.892378,[20 38] ; [ 6 19],[18.1686747 39.8313253] ; [ 7.8313253 17.1686747],0
d2,1,0.355522,0.853648,[22 35] ; [ 7 18],[20.15853659 36.84146341] ; [ 8.84146341 16.15853659],0
b5,1,0.36275,0.828351,[29 30] ; [15 10],[30.9047619 28.0952381] ; [13.0952381 11.9047619],0
r2,1,0.363902,0.824384,[28 29] ; [15 10],[29.8902439 27.1097561] ; [13.1097561 11.8902439],0
a5,1,0.390776,0.736527,[32 27] ; [11 14],[30.20238095 28.79761905] ; [12.79761905 12.20238095],0
d4,1,0.39211,0.732387,[36 22] ; [13 12],[34.24096386 23.75903614] ; [14.75903614 10.24096386],0
p9,1,0.469295,0.523636,[26 29] ; [14 11],[27.5 27.5] ; [12.5 12.5],0
a2,1,0.471924,0.517468,[ 8 51] ; [ 2 23],[ 7.02380952 51.97619048] ; [ 2.97619048 22.02380952],0
p12,1,0.514151,0.425611,[ 1 57] ; [ 1 23],[ 1.41463415 56.58536585] ; [ 0.58536585 23.41463415],0
d5,1,0.535254,0.384407,[35 24] ; [13 12],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
s5,1,0.600584,0.274115,[ 7 52] ; [ 2 23],[ 6.32142857 52.67857143] ; [ 2.67857143 22.32142857],0
n6,1,0.605376,0.266963,[35 23] ; [13 11],[33.95121951 24.04878049] ; [14.04878049  9.95121951],0
u1,1,0.605635,0.26658,[ 3 56] ; [ 2 23],[ 3.51190476 55.48809524] ; [ 1.48809524 23.51190476],0
s1,1,0.605635,0.26658,[ 3 56] ; [ 2 23],[ 3.51190476 55.48809524] ; [ 1.48809524 23.51190476],0
a6,1,0.634804,0.225602,[25 34] ; [12 13],[25.98809524 33.01190476] ; [11.01190476 13.98809524],0
r3,1,0.699298,0.149203,[27 30] ; [13 12],[27.80487805 29.19512195] ; [12.19512195 12.80487805],0
a7,1,0.755544,0.096931,[28 30] ; [13 12],[28.65060241 29.34939759] ; [12.34939759 12.65060241],0
u3,1,0.763285,0.090703,[ 8 20] ; [4 8],[ 8.4 19.6] ; [3.6 8.4],0
s8,1,0.804133,0.061505,[ 6 53] ; [ 3 22],[ 6.32142857 52.67857143] ; [ 2.67857143 22.32142857],0
