Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.009639,[102  29] ; [ 5 25],[87.0621118 43.9378882] ; [19.9378882 10.0621118],1
r2,1,0.0,29.844729,[119  11] ; [14 14],[109.43037975  20.56962025] ; [23.56962025  4.43037975],1
r3,1,0.0,27.937839,[110  19] ; [12 18],[98.98113208 30.01886792] ; [23.01886792  6.98113208],1
n6,1,4e-06,21.505957,[95 35] ; [ 8 21],[84.21383648 45.78616352] ; [18.78616352 10.21383648],1
p9,1,3.2e-05,17.310426,[83 42] ; [ 7 22],[73.05194805 51.94805195] ; [16.94805195 12.05194805],1
s6,1,7.4e-05,15.716479,[77 51] ; [ 6 24],[67.24050633 60.75949367] ; [15.75949367 14.24050633],1
p2,1,8.5e-05,15.440625,[90 41] ; [ 9 21],[80.55279503 50.44720497] ; [18.44720497 11.55279503],1
d5,1,0.000184,13.989777,[104  26] ; [14 16],[95.875 34.125] ; [22.125  7.875],1
u3,1,0.00144,10.153689,[25 20] ; [ 1 13],[19.83050847 25.16949153] ; [6.16949153 7.83050847],0
n3,1,0.001721,9.825427,[37 16] ; [ 5 13],[31.35211268 21.64788732] ; [10.64788732  7.35211268],0
s2,1,0.002117,9.445061,[62 69] ; [ 5 25],[54.51552795 76.48447205] ; [12.48447205 17.51552795],0
s7,1,0.003309,8.628941,[54 68] ; [ 4 24],[47.17333333 74.82666667] ; [10.82666667 17.17333333],0
p8,1,0.008373,6.951934,[40 90] ; [ 2 27],[34.33962264 95.66037736] ; [ 7.66037736 21.33962264],0
a1,1,0.008529,6.918933,[  5 126] ; [ 5 25],[  8.13664596 122.86335404] ; [ 1.86335404 28.13664596],0
p10,1,0.009344,6.755812,[69 58] ; [ 8 21],[62.68589744 64.31410256] ; [14.31410256 14.68589744],0
r1,1,0.010762,6.504132,[88 41] ; [13 17],[81.94339623 47.05660377] ; [19.05660377 10.94339623],0
d1,1,0.016795,5.717674,[71 60] ; [ 9 21],[65.0931677 65.9068323] ; [14.9068323 15.0931677],0
a7,1,0.018105,5.585952,[94 36] ; [15 15],[88.5625 41.4375] ; [20.4375  9.5625],0
d3,1,0.022495,5.207106,[81 48] ; [12 18],[75.45283019 53.54716981] ; [17.54716981 12.45283019],0
d4,1,0.022508,5.206117,[101  30] ; [17 13],[96.01242236 34.98757764] ; [21.98757764  8.01242236],0
p7,1,0.02514,5.014245,[64 66] ; [ 8 22],[58.5 71.5] ; [13.5 16.5],0
u2,1,0.041553,4.153309,[20 25] ; [ 2 12],[16.77966102 28.22033898] ; [5.22033898 8.77966102],0
p4,1,0.041639,4.149808,[57 74] ; [ 7 23],[52.07453416 78.92546584] ; [11.92546584 18.07453416],0
v2,1,0.044191,4.04926,[47 81] ; [ 5 24],[42.39490446 85.60509554] ; [ 9.60509554 19.39490446],0
s3,1,0.049878,3.845561,[71 59] ; [10 19],[66.22641509 63.77358491] ; [14.77358491 14.22641509],0
n4,1,0.056738,3.630248,[70 59] ; [22  8],[74.64150943 54.35849057] ; [17.35849057 12.64150943],0
s5,1,0.06025,3.530502,[37 85] ; [ 4 26],[32.90789474 89.09210526] ; [ 8.09210526 21.90789474],0
b5,1,0.064348,3.421626,[85 46] ; [14 16],[80.55279503 50.44720497] ; [18.44720497 11.55279503],0
p3,1,0.077238,3.122077,[48 82] ; [ 6 24],[43.875 86.125] ; [10.125 19.875],0
a4,1,0.07923,3.08062,[59 71] ; [ 8 21],[54.77987421 75.22012579] ; [12.22012579 16.77987421],0
p6,1,0.084463,2.976853,[38 91] ; [ 4 25],[34.29113924 94.70886076] ; [ 7.70886076 21.29113924],0
a6,1,0.090183,2.871098,[79 52] ; [13 17],[74.85714286 56.14285714] ; [17.14285714 12.85714286],0
n2,1,0.093959,2.805195,[36 18] ; [ 8 10],[33. 21.] ; [11.  7.],0
v1,1,0.102533,2.665696,[51 79] ; [ 7 23],[47.125 82.875] ; [10.875 19.125],0
a2,1,0.114352,2.493018,[ 30 101] ; [ 3 27],[ 26.85093168 104.14906832] ; [ 6.14906832 23.85093168],0
s1,1,0.124238,2.363059,[  7 122] ; [ 4 26],[  8.9245283 120.0754717] ; [ 2.0754717 27.9245283],0
s4,1,0.163775,1.939018,[33 98] ; [ 4 26],[ 30.10559006 100.89440994] ; [ 6.89440994 23.10559006],0
a5,1,0.233475,1.419563,[81 50] ; [15 15],[78.11180124 52.88819876] ; [17.88819876 12.11180124],0
a3,1,0.277422,1.179674,[85 44] ; [16 13],[82.46202532 46.53797468] ; [18.53797468 10.46202532],0
b2,1,0.410841,0.676365,[21 44] ; [10 14],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
b3,1,0.410841,0.676365,[21 44] ; [10 14],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
d2,1,0.421686,0.64561,[65 66] ; [12 17],[63.04375 67.95625] ; [13.95625 15.04375],0
p12,1,0.51356,0.426806,[  2 128] ; [ 1 29],[  2.4375 127.5625] ; [ 0.5625 29.4375],0
a8,1,0.515661,0.422564,[ 11 107] ; [ 4 26],[ 11.95945946 106.04054054] ; [ 3.04054054 26.95945946],0
p5,1,0.573939,0.316136,[  8 123] ; [ 1 28],[  7.36875 123.63125] ; [ 1.63125 27.36875],0
n1,1,0.583882,0.3,[25 29] ; [ 7 11],[24. 30.] ; [ 8. 10.],0
n5,1,0.713247,0.135056,[77 52] ; [19 11],[77.88679245 51.11320755] ; [18.11320755 11.88679245],0
p1,1,0.778647,0.079008,[ 11 120] ; [ 3 27],[ 11.39130435 119.60869565] ; [ 2.60869565 27.39130435],0
b1,1,0.806492,0.060003,[71 60] ; [17 13],[71.60248447 59.39751553] ; [16.39751553 13.60248447],0
b4,1,0.850355,0.035595,[63 68] ; [15 15],[63.46583851 67.53416149] ; [14.53416149 15.46583851],0
