Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.174288,[ 6 27] ; [53  7],[20.93548387 12.06451613] ; [38.06451613 21.93548387],1
r3,1,3e-06,22.064526,[15 18] ; [54  6],[24.48387097  8.51612903] ; [44.51612903 15.48387097],1
d5,1,0.000592,11.800655,[18 15] ; [52  8],[24.83870968  8.16129032] ; [45.16129032 14.83870968],1
d4,1,0.001802,9.741061,[14 19] ; [45 15],[20.93548387 12.06451613] ; [38.06451613 21.93548387],0
a5,1,0.002347,9.256136,[13 20] ; [43 17],[19.87096774 13.12903226] ; [36.12903226 23.87096774],0
p3,1,0.002833,8.912023,[ 3 29] ; [23 36],[ 9.14285714 22.85714286] ; [16.85714286 42.14285714],0
v4,1,0.003358,8.601844,[19 14] ; [51  9],[24.83870968  8.16129032] ; [45.16129032 14.83870968],0
v2,1,0.008664,6.8908,[ 9 23] ; [32 24],[14.90909091 17.09090909] ; [26.09090909 29.90909091],0
a3,1,0.011731,6.351087,[16 17] ; [44 15],[21.52173913 11.47826087] ; [38.47826087 20.52173913],0
a7,1,0.013043,6.163319,[17 16] ; [46 14],[22.35483871 10.64516129] ; [40.64516129 19.35483871],0
s4,1,0.014548,5.970401,[ 6 27] ; [ 2 58],[ 2.83870968 30.16129032] ; [ 5.16129032 54.83870968],0
r2,1,0.017569,5.638621,[21 11] ; [52  8],[25.39130435  6.60869565] ; [47.60869565 12.39130435],0
p4,1,0.024503,5.058698,[ 7 25] ; [27 32],[11.95604396 20.04395604] ; [22.04395604 36.95604396],0
p8,1,0.030545,4.678374,[ 7 25] ; [26 32],[11.73333333 20.26666667] ; [21.26666667 36.73333333],0
a1,1,0.032459,4.574101,[ 4 29] ; [ 1 59],[ 1.77419355 31.22580645] ; [ 3.22580645 56.77419355],0
b4,1,0.03928,4.248704,[13 20] ; [37 23],[17.74193548 15.25806452] ; [32.25806452 27.74193548],0
p2,1,0.049726,3.850671,[15 16] ; [41 18],[19.28888889 11.71111111] ; [36.71111111 22.28888889],0
n5,1,0.053722,3.721317,[18 15] ; [20 39],[13.63043478 19.36956522] ; [24.36956522 34.63043478],0
d1,1,0.067506,3.342647,[ 9 24] ; [28 32],[13.12903226 19.87096774] ; [23.87096774 36.12903226],0
p11,1,0.110921,2.541056,[13 20] ; [34 26],[16.67741935 16.32258065] ; [30.32258065 29.67741935],0
u2,1,0.111872,2.527574,[ 7 10] ; [11  5],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
s8,1,0.124182,2.363773,[ 3 30] ; [13 47],[ 5.67741935 27.32258065] ; [10.32258065 49.67741935],0
a8,1,0.135013,2.233896,[ 1 31] ; [ 7 48],[ 2.94252874 29.05747126] ; [ 5.05747126 49.94252874],0
a6,1,0.136124,2.22124,[18 15] ; [42 18],[21.29032258 11.70967742] ; [38.70967742 21.29032258],0
p10,1,0.138875,2.190375,[12 19] ; [32 26],[15.3258427 15.6741573] ; [28.6741573 29.3258427],0
a4,1,0.165899,1.919614,[10 23] ; [27 33],[13.12903226 19.87096774] ; [23.87096774 36.12903226],0
p7,1,0.218978,1.511058,[11 22] ; [27 31],[13.78021978 19.21978022] ; [24.21978022 33.78021978],0
