Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002337,9.26393,[ 4 29] ; [4 2],[ 6.76923077 26.23076923] ; [1.23076923 4.76923077],0
v3,1,0.00587,7.589899,[ 5 28] ; [4 2],[ 7.61538462 25.38461538] ; [1.38461538 4.61538462],0
s6,1,0.021998,5.245924,[11 22] ; [5 1],[13.53846154 19.46153846] ; [2.46153846 3.53846154],0
s5,1,0.026148,4.946226,[ 4 29] ; [3 3],[ 5.92307692 27.07692308] ; [1.07692308 4.92307692],0
d1,1,0.051827,3.781342,[ 5 28] ; [3 3],[ 6.76923077 26.23076923] ; [1.23076923 4.76923077],0
d2,1,0.059709,3.545455,[ 9 24] ; [4 2],[11. 22.] ; [2. 4.],0
p4,1,0.065163,3.400837,[14 19] ; [5 1],[16.07692308 16.92307692] ; [2.92307692 3.07692308],0
p10,1,0.075156,3.166667,[14 18] ; [5 1],[16. 16.] ; [3. 3.],0
p3,1,0.087629,2.917403,[10 23] ; [4 2],[11.84615385 21.15384615] ; [2.15384615 3.84615385],0
p1,1,0.102287,2.669519,[ 3 30] ; [2 4],[ 4.23076923 28.76923077] ; [0.76923077 5.23076923],0
p11,1,0.115238,2.48088,[16 17] ; [5 1],[17.76923077 15.23076923] ; [3.23076923 2.76923077],0
a5,1,0.122636,2.383333,[11 22] ; [4 2],[12.69230769 20.30769231] ; [2.30769231 3.69230769],0
p9,1,0.151122,2.060884,[16 15] ; [5 1],[17.59459459 13.40540541] ; [3.40540541 2.59459459],0
p12,1,0.163623,1.940418,[ 1 32] ; [1 5],[ 1.69230769 31.30769231] ; [0.30769231 5.69230769],0
d5,1,0.1651,1.926877,[12 21] ; [4 2],[13.53846154 19.46153846] ; [2.46153846 3.53846154],0
v2,1,0.215311,1.535354,[ 8 24] ; [3 3],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
r3,1,0.232893,1.423106,[19 14] ; [5 1],[20.30769231 12.69230769] ; [3.69230769 2.30769231],0
u3,1,0.24122,1.373452,[ 3 16] ; [1 1],[ 3.61904762 15.38095238] ; [0.38095238 1.61904762],0
r1,1,0.267201,1.231061,[ 9 24] ; [3 3],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
v1,1,0.267201,1.231061,[ 9 24] ; [3 3],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
a3,1,0.273206,1.200577,[14 19] ; [4 2],[15.23076923 17.76923077] ; [2.76923077 3.23076923],0
n4,1,0.285735,1.13961,[20 13] ; [5 1],[21.15384615 11.84615385] ; [3.84615385 2.15384615],0
a8,1,0.30908,1.034604,[ 2 29] ; [1 4],[ 2.58333333 28.41666667] ; [0.41666667 4.58333333],0
a6,1,0.346465,0.886364,[10 23] ; [3 3],[11. 22.] ; [2. 4.],0
a4,1,0.397852,0.714809,[ 6 27] ; [2 4],[ 6.76923077 26.23076923] ; [1.23076923 4.76923077],0
p7,1,0.412435,0.67177,[16 17] ; [4 2],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
p8,1,0.433714,0.612857,[11 22] ; [3 3],[11.84615385 21.15384615] ; [2.15384615 3.84615385],0
s7,1,0.47824,0.502874,[ 9 20] ; [1 5],[ 8.28571429 20.71428571] ; [1.71428571 4.28571429],0
v4,1,0.493459,0.468975,[17 16] ; [4 2],[17.76923077 15.23076923] ; [3.23076923 2.76923077],0
b2,1,0.532528,0.389565,[ 6 17] ; [2 3],[ 6.57142857 16.42857143] ; [1.42857143 3.57142857],0
b3,1,0.532528,0.389565,[ 6 17] ; [2 3],[ 6.57142857 16.42857143] ; [1.42857143 3.57142857],0
d4,1,0.677091,0.173419,[19 14] ; [4 2],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
s8,1,0.685372,0.164141,[ 8 25] ; [1 5],[ 7.61538462 25.38461538] ; [1.38461538 4.61538462],0
b4,1,0.837224,0.042208,[18 15] ; [3 3],[17.76923077 15.23076923] ; [3.23076923 2.76923077],0
p2,1,0.886814,0.02026,[21 12] ; [4 2],[21.15384615 11.84615385] ; [3.84615385 2.15384615],0
s2,1,0.886814,0.02026,[12 21] ; [2 4],[11.84615385 21.15384615] ; [2.15384615 3.84615385],0
u2,1,0.943494,0.005024,[ 9 10] ; [1 1],[9.04761905 9.95238095] ; [0.95238095 1.04761905],0
b5,1,0.945546,0.004665,[16 17] ; [3 3],[16.07692308 16.92307692] ; [2.92307692 3.07692308],0
p6,1,0.948801,0.004123,[ 5 27] ; [1 5],[ 5.05263158 26.94736842] ; [0.94736842 5.05263158],0
s3,1,0.960637,0.002436,[11 21] ; [2 4],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
d3,1,1.0,0.0,[11 22] ; [2 4],[11. 22.] ; [2. 4.],0
b1,1,1.0,0.0,[22 11] ; [4 2],[22. 11.] ; [4. 2.],0
