Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,28.72211,[105  30] ; [14 28],[90.76271186 44.23728814] ; [28.23728814 13.76271186],1
d3,1,0.0,27.749547,[108  26] ; [16 26],[94.40909091 39.59090909] ; [29.59090909 12.40909091],1
a2,1,0.000938,10.945746,[40 95] ; [ 2 40],[ 32.03389831 102.96610169] ; [ 9.96610169 32.03389831],1
r4,1,0.003364,8.598574,[125  10] ; [32 10],[119.74576271  15.25423729] ; [37.25423729  4.74576271],0
r1,1,0.004589,8.034541,[114  21] ; [27 15],[107.54237288  27.45762712] ; [33.45762712  8.54237288],0
b4,1,0.005798,7.612054,[81 54] ; [15 27],[73.22033898 61.77966102] ; [22.77966102 19.22033898],0
s8,1,0.009699,6.68931,[56 79] ; [27 15],[63.30508475 71.69491525] ; [19.69491525 22.30508475],0
u1,1,0.010233,6.593904,[ 30 105] ; [ 2 40],[ 24.40677966 110.59322034] ; [ 7.59322034 34.40677966],0
d4,1,0.019017,5.499915,[115  20] ; [29 13],[109.83050847  25.16949153] ; [34.16949153  7.83050847],0
b5,1,0.019866,5.423642,[94 41] ; [21 21],[87.71186441 47.28813559] ; [27.28813559 14.71186441],0
p4,1,0.027274,4.873385,[109  26] ; [27 15],[103.72881356  31.27118644] ; [32.27118644  9.72881356],0
s7,1,0.044419,4.040549,[59 70] ; [25 14],[64.5 64.5] ; [19.5 19.5],0
v1,1,0.09001,2.874202,[80 53] ; [18 22],[75.34104046 57.65895954] ; [22.65895954 17.34104046],0
n5,1,0.110968,2.54038,[102  31] ; [37  5],[105.64  27.36] ; [33.36  8.64],0
a4,1,0.166257,1.916376,[66 69] ; [15 26],[62.13068182 72.86931818] ; [18.86931818 22.13068182],0
p3,1,0.186811,1.742593,[83 52] ; [21 21],[79.3220339 55.6779661] ; [24.6779661 17.3220339],0
v2,1,0.201571,1.630955,[83 50] ; [21 20],[79.49425287 53.50574713] ; [24.50574713 16.49425287],0
v3,1,0.217738,1.519215,[48 82] ; [20 22],[51.39534884 78.60465116] ; [16.60465116 25.39534884],0
u2,1,0.2217,1.493333,[27 13] ; [8 8],[25. 15.] ; [10.  6.],0
p2,1,0.238424,1.389888,[124  11] ; [36  6],[122.03389831  12.96610169] ; [37.96610169  4.03389831],0
d1,1,0.255772,1.2915,[84 51] ; [22 20],[80.84745763 54.15254237] ; [25.15254237 16.84745763],0
