Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,30.69052,[56 27] ; [19 60],[38.42592593 44.57407407] ; [36.57407407 42.42592593],1
v3,1,0.00188,9.662841,[44 37] ; [23 54],[34.34810127 46.65189873] ; [32.65189873 44.34810127],0
d3,1,0.002451,9.177005,[63 20] ; [42 37],[53.7962963 29.2037037] ; [51.2037037 27.7962963],0
d1,1,0.00471,7.987737,[59 24] ; [39 40],[50.20987654 32.79012346] ; [47.79012346 31.20987654],0
n5,1,0.010356,6.572603,[67 15] ; [49 28],[59.82389937 22.17610063] ; [56.17610063 20.82389937],0
p5,1,0.020467,5.37164,[17 66] ; [ 6 72],[11.85714286 71.14285714] ; [11.14285714 66.85714286],0
p2,1,0.02375,5.11281,[74  9] ; [59 19],[68.56521739 14.43478261] ; [64.43478261 13.56521739],0
p8,1,0.025332,5.001034,[43 40] ; [26 50],[36.01886792 46.98113208] ; [32.98113208 43.01886792],0
s7,1,0.033275,4.531562,[49 27] ; [37 41],[42.44155844 33.55844156] ; [43.55844156 34.44155844],0
n4,1,0.034527,4.468411,[64 18] ; [49 29],[57.9125 24.0875] ; [55.0875 22.9125],0
r4,1,0.042433,4.11783,[77  6] ; [65 14],[72.75308642 10.24691358] ; [69.24691358  9.75308642],0
p9,1,0.071205,3.255011,[74  9] ; [59 16],[69.86708861 13.13291139] ; [63.13291139 11.86708861],0
p10,1,0.087107,2.927039,[69 13] ; [57 21],[64.575 17.425] ; [61.425 16.575],0
p1,1,0.095513,2.778908,[ 9 74] ; [ 3 74],[ 6.225 76.775] ; [ 5.775 71.225],0
s8,1,0.111826,2.528222,[45 37] ; [33 45],[39.975 42.025] ; [38.025 39.975],0
s6,1,0.112647,2.516683,[71 10] ; [61 17],[67.24528302 13.75471698] ; [64.75471698 13.24528302],0
v4,1,0.1181,2.442341,[80  2] ; [70  6],[77.84810127  4.15189873] ; [72.15189873  3.84810127],0
s4,1,0.131949,2.269418,[14 68] ; [21 57],[17.9375 64.0625] ; [17.0625 60.9375],0
a3,1,0.134307,2.242005,[66 17] ; [54 24],[61.86335404 21.13664596] ; [58.13664596 19.86335404],0
d2,1,0.142162,2.154395,[50 33] ; [38 40],[45.36645963 37.63354037] ; [42.63354037 35.36645963],0
p7,1,0.147815,2.094659,[52 30] ; [39 36],[47.52866242 34.47133758] ; [43.47133758 31.52866242],0
u2,1,0.150904,2.063086,[9 7] ; [ 8 16],[6.8 9.2] ; [10.2 13.8],0
d5,1,0.164278,1.934397,[72 11] ; [62 17],[68.65432099 14.34567901] ; [65.34567901 13.65432099],0
a5,1,0.198136,1.656064,[67 16] ; [57 22],[63.5308642 19.4691358] ; [60.4691358 18.5308642],0
