Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.2e-05,17.315642,[11 45] ; [27 18],[21.06930693 34.93069307] ; [16.93069307 28.06930693],1
p6,1,0.006919,7.293903,[ 9 47] ; [18 27],[14.97029703 41.02970297] ; [12.02970297 32.97029703],0
p2,1,0.01425,6.006899,[29 27] ; [34 11],[34.93069307 21.06930693] ; [28.06930693 16.93069307],0
d2,1,0.015629,5.844156,[34 22] ; [16 28],[28. 28.] ; [22. 22.],0
p4,1,0.047371,3.932152,[25 31] ; [29 16],[29.94059406 26.05940594] ; [24.05940594 20.94059406],0
p3,1,0.053682,3.722558,[18 38] ; [23 22],[22.73267327 33.26732673] ; [18.26732673 26.73267327],0
n2,1,0.055571,3.664855,[14  9] ; [11  1],[16.42857143  6.57142857] ; [8.57142857 3.42857143],0
v4,1,0.062283,3.475529,[47  9] ; [43  2],[49.9009901  6.0990099] ; [40.0990099  4.9009901],0
n5,1,0.074119,3.189367,[31 25] ; [32 12],[35.28 20.72] ; [27.72 16.28],0
s1,1,0.094885,2.789475,[ 6 50] ; [ 1 44],[ 3.88118812 52.11881188] ; [ 3.11881188 41.88118812],0
d1,1,0.094975,2.787954,[33 23] ; [19 26],[28.83168317 27.16831683] ; [23.16831683 21.83168317],0
s3,1,0.126001,2.341091,[33 21] ; [34 11],[36.54545455 17.45454545] ; [30.45454545 14.54545455],0
n6,1,0.150305,2.069155,[43 13] ; [28 16],[39.76 16.24] ; [31.24 12.76],0
a8,1,0.218501,1.514186,[ 6 43] ; [ 9 32],[ 8.16666667 40.83333333] ; [ 6.83333333 34.16666667],0
b1,1,0.25667,1.286629,[26 30] ; [26 19],[28.83168317 27.16831683] ; [23.16831683 21.83168317],0
p1,1,0.259018,1.273998,[ 6 50] ; [ 2 42],[ 4.48 51.52] ; [ 3.52 40.48],0
p5,1,0.287217,1.132619,[ 3 53] ; [ 5 40],[ 4.43564356 51.56435644] ; [ 3.56435644 41.43564356],0
a3,1,0.297337,1.086099,[35 20] ; [24 21],[32.45 22.55] ; [26.55 18.45],0
s5,1,0.332463,0.939279,[15 40] ; [16 28],[17.22222222 37.77777778] ; [13.77777778 30.22222222],0
u2,1,0.342178,0.902256,[11  9] ; [ 8 12],[ 9.5 10.5] ; [ 9.5 10.5],0
u4,1,0.422022,0.644679,[ 3 53] ; [ 1 44],[ 2.21782178 53.78217822] ; [ 1.78217822 43.21782178],0
