Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.882353,[14 36] ; [67 18],[30. 20.] ; [51. 34.],1
u1,1,0.004494,8.072534,[ 2 48] ; [19 66],[ 7.77777778 42.22222222] ; [13.22222222 71.77777778],0
n6,1,0.016644,5.733529,[27 23] ; [63 22],[33.33333333 16.66666667] ; [56.66666667 28.33333333],0
s8,1,0.032284,4.583357,[ 9 41] ; [30 55],[14.44444444 35.55555556] ; [24.55555556 60.44444444],0
b5,1,0.032957,4.548017,[33 17] ; [40 45],[27.03703704 22.96296296] ; [45.96296296 39.03703704],0
p3,1,0.044903,4.022285,[ 6 43] ; [23 62],[10.60447761 38.39552239] ; [18.39552239 66.60447761],0
n1,1,0.047693,3.920766,[ 9 18] ; [20 14],[12.83606557 14.16393443] ; [16.16393443 17.83606557],0
u3,1,0.078983,3.085714,[13  7] ; [11 17],[10. 10.] ; [14. 14.],0
a5,1,0.08576,2.952213,[28 22] ; [60 25],[32.59259259 17.40740741] ; [55.40740741 29.59259259],0
p11,1,0.086107,2.945695,[20 30] ; [47 38],[24.81481481 25.18518519] ; [42.18518519 42.81481481],0
p12,1,0.100642,2.695343,[ 1 48] ; [ 8 77],[ 3.29104478 45.70895522] ; [ 5.70895522 79.29104478],0
n2,1,0.113609,2.503288,[14 13] ; [25 10],[16.98387097 10.01612903] ; [22.01612903 12.98387097],0
a6,1,0.123377,2.373916,[25 25] ; [54 31],[29.25925926 20.74074074] ; [49.74074074 35.25925926],0
a8,1,0.125165,2.351472,[ 1 48] ; [ 7 73],[ 3.03875969 45.96124031] ; [ 4.96124031 75.03875969],0
a1,1,0.147257,2.100441,[ 3 47] ; [12 73],[ 5.55555556 44.44444444] ; [ 9.44444444 75.55555556],0
d5,1,0.165662,1.921765,[37 13] ; [53 32],[33.33333333 16.66666667] ; [56.66666667 28.33333333],0
r3,1,0.181451,1.785703,[41  9] ; [61 24],[37.77777778 12.22222222] ; [64.22222222 20.77777778],0
v2,1,0.185321,1.754426,[21 25] ; [27 53],[17.52380952 28.47619048] ; [30.47619048 49.52380952],0
s1,1,0.217417,1.521336,[ 6 44] ; [ 5 79],[ 4.10447761 45.89552239] ; [ 6.89552239 77.10447761],0
n3,1,0.229529,1.443781,[13 13] ; [21 11],[15.24137931 10.75862069] ; [18.75862069 13.24137931],0
p8,1,0.252765,1.307958,[ 8 42] ; [ 8 77],[ 5.92592593 44.07407407] ; [10.07407407 74.92592593],0
s7,1,0.260375,1.266764,[12 34] ; [29 52],[14.8503937 31.1496063] ; [26.1496063 54.8503937],0
v3,1,0.275057,1.191355,[13 34] ; [29 49],[15.792 31.208] ; [26.208 51.792],0
p5,1,0.28848,1.126699,[ 1 48] ; [ 5 78],[ 2.22727273 46.77272727] ; [ 3.77272727 79.22727273],0
a3,1,0.308324,1.037843,[30 20] ; [57 26],[32.70676692 17.29323308] ; [54.29323308 28.70676692],0
s4,1,0.315065,1.009322,[12 38] ; [14 69],[ 9.77443609 40.22556391] ; [16.22556391 66.77443609],0
b1,1,0.334524,0.931306,[21 29] ; [43 42],[23.7037037 26.2962963] ; [40.2962963 44.7037037],0
