Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.6e-05,15.658597,[73 54] ; [ 9 32],[61.98809524 65.01190476] ; [20.01190476 20.98809524],1
b1,1,0.002347,9.255986,[42 89] ; [24 17],[50.26744186 80.73255814] ; [15.73255814 25.26744186],0
p9,1,0.002529,9.11962,[117  11] ; [30 11],[111.33727811  16.66272189] ; [35.66272189  5.33727811],0
p10,1,0.003127,8.73192,[116  14] ; [28 12],[110.11764706  19.88235294] ; [33.88235294  6.11764706],0
n6,1,0.015066,5.908747,[114  15] ; [29 11],[109.15384615  19.84615385] ; [33.84615385  6.15384615],0
p7,1,0.016897,5.706999,[92 33] ; [22 19],[85.84337349 39.15662651] ; [28.15662651 12.84337349],0
p2,1,0.01743,5.652529,[115  15] ; [30 11],[110.23391813  19.76608187] ; [34.76608187  6.23391813],0
p5,1,0.022202,5.229916,[ 21 109] ; [ 1 40],[ 16.7251462 113.2748538] ; [ 5.2748538 35.7251462],0
n4,1,0.033334,4.52853,[100  31] ; [23 16],[94.78235294 36.21764706] ; [28.21764706 10.78235294],0
b3,1,0.076062,3.147107,[39 51] ; [ 5 17],[35.35714286 54.64285714] ; [ 8.64285714 13.35714286],0
b2,1,0.076062,3.147107,[39 51] ; [ 5 17],[35.35714286 54.64285714] ; [ 8.64285714 13.35714286],0
p4,1,0.076272,3.142613,[80 49] ; [19 22],[75.12352941 53.87647059] ; [23.87647059 17.12352941],0
p6,1,0.083414,2.997088,[64 65] ; [14 27],[59.18823529 69.81176471] ; [18.81176471 22.18823529],0
d2,1,0.086607,2.93633,[63 68] ; [26 15],[67.78488372 63.21511628] ; [21.21511628 19.78488372],0
p3,1,0.100465,2.698143,[73 57] ; [17 24],[68.42105263 61.57894737] ; [21.57894737 19.42105263],0
n5,1,0.117484,2.450541,[97 32] ; [25 15],[93.12426036 35.87573964] ; [28.87573964 11.12426036],0
s8,1,0.17043,1.879161,[57 73] ; [23 18],[60.81871345 69.18128655] ; [19.18128655 21.81871345],0
r4,1,0.212645,1.553324,[118  13] ; [34  7],[115.76744186  15.23255814] ; [36.23255814  4.76744186],0
r1,1,0.216351,1.528409,[106  24] ; [29 11],[103.23529412  26.76470588] ; [31.76470588  8.23529412],0
b5,1,0.235621,1.406603,[66 65] ; [25 16],[69.30813953 61.69186047] ; [21.69186047 19.30813953],0
u3,1,0.260262,1.267363,[24 13] ; [4 5],[22.52173913 14.47826087] ; [5.47826087 3.52173913],0
d5,1,0.265936,1.237588,[105  26] ; [36  5],[107.38953488  23.61046512] ; [33.61046512  7.38953488],0
a3,1,0.300019,1.074111,[94 37] ; [32  8],[96.52631579 34.47368421] ; [29.47368421 10.52631579],0
v1,1,0.305543,1.049845,[70 59] ; [18 22],[67.17159763 61.82840237] ; [20.82840237 19.17159763],0
v4,1,0.326248,0.963733,[122   7] ; [37  4],[120.65294118   8.34705882] ; [38.34705882  2.65294118],0
u2,1,0.412886,0.670476,[17 18] ; [3 6],[15.90909091 19.09090909] ; [4.09090909 4.90909091],0
s4,1,0.48005,0.498751,[36 91] ; [14 27],[37.79761905 89.20238095] ; [12.20238095 28.79761905],0
a2,1,0.515586,0.422715,[32 99] ; [ 8 33],[ 30.46511628 100.53488372] ; [ 9.53488372 31.46511628],0
s3,1,0.543267,0.369518,[82 48] ; [28 13],[83.62573099 46.37426901] ; [26.37426901 14.62573099],0
a4,1,0.602525,0.271205,[61 70] ; [21 20],[62.45348837 68.54651163] ; [19.54651163 21.45348837],0
a8,1,0.615732,0.251912,[ 19 104] ; [ 7 30],[ 19.9875 103.0125] ; [ 6.0125 30.9875],0
a6,1,0.632205,0.229083,[79 52] ; [23 18],[77.68604651 53.31395349] ; [24.31395349 16.68604651],0
p1,1,0.674299,0.176615,[ 10 120] ; [ 4 37],[ 10.64327485 119.35672515] ; [ 3.35672515 37.64327485],0
a5,1,0.680554,0.169503,[100  31] ; [30 11],[99.01162791 31.98837209] ; [30.98837209 10.01162791],0
v2,1,0.710807,0.137473,[52 76] ; [18 23],[53.01775148 74.98224852] ; [16.98224852 24.01775148],0
n2,1,0.719831,0.128655,[20  5] ; [16  3],[20.45454545  4.54545455] ; [15.54545455  3.45454545],0
u1,1,0.772773,0.083376,[ 25 106] ; [ 7 34],[ 24.37209302 106.62790698] ; [ 7.62790698 33.37209302],0
b4,1,0.787486,0.072672,[80 51] ; [26 15],[80.73255814 50.26744186] ; [25.26744186 15.73255814],0
d1,1,0.802663,0.062451,[77 54] ; [25 16],[77.68604651 53.31395349] ; [24.31395349 16.68604651],0
d3,1,0.823349,0.049836,[87 44] ; [28 13],[87.5872093 43.4127907] ; [27.4127907 13.5872093],0
n1,1,0.824104,0.049404,[14 11] ; [10  9],[13.63636364 11.36363636] ; [10.36363636  8.63636364],0
s6,1,0.83978,0.040875,[110  17] ; [35  6],[109.61309524  17.38690476] ; [35.38690476  5.61309524],0
s7,1,0.860676,0.030805,[72 55] ; [21 15],[72.4601227 54.5398773] ; [20.5398773 15.4601227],0
d4,1,0.895905,0.017118,[114  17] ; [36  5],[114.24418605  16.75581395] ; [35.75581395  5.24418605],0
r3,1,0.900861,0.015519,[121   9] ; [37  3],[120.82352941   9.17647059] ; [37.17647059  2.82352941],0
a7,1,0.909622,0.012886,[85 46] ; [27 14],[85.30232558 45.69767442] ; [26.69767442 14.30232558],0
s1,1,0.919987,0.01009,[  6 124] ; [ 2 38],[  6.11764706 123.88235294] ; [ 1.88235294 38.11764706],0
n3,1,0.93637,0.006373,[16  7] ; [13  6],[15.88095238  7.11904762] ; [13.11904762  5.88095238],0
a1,1,0.936995,0.006249,[  6 125] ; [ 2 39],[  6.09302326 124.90697674] ; [ 1.90697674 39.09302326],0
s2,1,0.980766,0.000581,[86 45] ; [27 14],[86.06395349 44.93604651] ; [26.93604651 14.06395349],0
