Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,137.715851,[126  20] ; [ 37 141],[73.45061728 72.54938272] ; [89.54938272 88.45061728],1
s6,1,0.0,70.955758,[129  18] ; [ 76 103],[92.43865031 54.56134969] ; [112.56134969  66.43865031],1
s7,1,0.0,68.201695,[101  46] ; [ 39 133],[64.51410658 82.48589342] ; [75.48589342 96.51410658],1
s8,1,0.0,41.953757,[84 65] ; [ 39 141],[55.70516717 93.29483283] ; [ 67.29483283 112.70516717],1
s5,1,0.0,40.978388,[67 76] ; [ 25 151],[ 41.24137931 101.75862069] ; [ 50.75862069 125.24137931],1
p9,1,4.9e-05,16.469502,[131  17] ; [123  53],[116.02469136  31.97530864] ; [137.97530864  38.02469136],1
p10,1,0.000346,12.801909,[124  25] ; [117  61],[109.81345566  39.18654434] ; [131.18654434  46.81345566],1
v4,1,0.000508,12.086609,[145   3] ; [157  22],[136.68501529  11.31498471] ; [165.31498471  13.68501529],1
s4,1,0.001061,10.717948,[ 32 115] ; [ 16 164],[ 21.57798165 125.42201835] ; [ 26.42201835 153.57798165],0
r2,1,0.001177,10.526356,[144   3] ; [156  20],[136.53250774  10.46749226] ; [163.46749226  12.53250774],0
r4,1,0.001621,9.936219,[138  12] ; [145  37],[127.86144578  22.13855422] ; [155.13855422  26.86144578],0
p6,1,0.001702,9.846436,[ 45 103] ; [ 28 149],[ 33.24307692 114.75692308] ; [ 39.75692308 137.24307692],0
v2,1,0.003681,8.434928,[86 55] ; [78 97],[73.17721519 67.82278481] ; [90.82278481 84.17721519],0
v1,1,0.005426,7.731769,[82 63] ; [ 73 105],[69.58204334 75.41795666] ; [85.41795666 92.58204334],0
v3,1,0.007191,7.224557,[59 83] ; [ 47 126],[47.78412698 94.21587302] ; [ 58.21587302 114.78412698],0
a8,1,0.009761,6.677916,[ 28 107] ; [ 17 151],[ 20.04950495 114.95049505] ; [ 24.95049505 143.04950495],0
p4,1,0.017531,5.642432,[70 79] ; [ 61 118],[59.50914634 89.49085366] ; [ 71.49085366 107.50914634],0
d1,1,0.028828,4.777842,[104  46] ; [105  77],[94.42771084 55.57228916] ; [114.57228916  67.42771084],0
n6,1,0.029459,4.74058,[126  21] ; [137  43],[118.2293578  28.7706422] ; [144.7706422  35.2293578],0
r3,1,0.033633,4.513246,[142   7] ; [159  20],[136.7347561  12.2652439] ; [164.2652439  14.7347561],0
u1,1,0.04826,3.900923,[ 34 116] ; [ 26 156],[ 27.10843373 122.89156627] ; [ 32.89156627 149.10843373],0
p2,1,0.0628,3.461841,[120  30] ; [128  52],[112.72727273  37.27272727] ; [135.27272727  44.72727273],0
p7,1,0.093108,2.819793,[76 66] ; [78 99],[68.55172414 73.44827586] ; [85.44827586 91.55172414],0
r1,1,0.126361,2.336648,[125  23] ; [140  40],[119.57317073  28.42682927] ; [145.42682927  34.57317073],0
s1,1,0.13367,2.249358,[  8 139] ; [  4 172],[  5.46130031 141.53869969] ; [  6.53869969 169.46130031],0
a2,1,0.138046,2.199611,[ 49 101] ; [ 46 136],[ 42.92168675 107.07831325] ; [ 52.07831325 129.92168675],0
n3,1,0.146954,2.103591,[33 10] ; [38 22],[29.6407767 13.3592233] ; [41.3592233 18.6407767],0
