Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000159,14.2684,[ 6 87] ; [140 450],[19.87994143 73.12005857] ; [126.12005857 463.87994143],1
a2,1,0.000756,11.346605,[12 81] ; [175 415],[25.46266471 67.53733529] ; [161.53733529 428.46266471],1
d1,1,0.001534,10.037715,[53 40] ; [431 159],[65.9033675 27.0966325] ; [418.0966325 171.9033675],0
a5,1,0.002101,9.45873,[61 32] ; [471 119],[72.43923865 20.56076135] ; [459.56076135 130.43923865],0
d4,1,0.007353,7.184633,[76 17] ; [536  54],[83.33235725  9.66764275] ; [528.66764275  61.33235725],0
a6,1,0.012245,6.275061,[54 39] ; [418 171],[64.36363636 28.63636364] ; [407.63636364 181.36363636],0
r2,1,0.014343,5.99547,[87  5] ; [578   9],[90.10309278  1.89690722] ; [574.89690722  12.10309278],0
d3,1,0.015407,5.869335,[60 33] ; [450 140],[69.44363104 23.55636896] ; [440.55636896 149.44363104],0
v4,1,0.020809,5.342751,[87  6] ; [576  13],[90.40909091  2.59090909] ; [572.59090909  16.40909091],0
p4,1,0.027182,4.879186,[48 44] ; [376 210],[57.5339233 34.4660767] ; [366.4660767 219.5339233],0
s6,1,0.02953,4.73642,[53 35] ; [414 164],[61.70570571 26.29429429] ; [405.29429429 172.70570571],0
u3,1,0.031153,4.644536,[13 16] ; [90 46],[18.1030303 10.8969697] ; [84.8969697 51.1030303],0
s7,1,0.032224,4.586529,[35 53] ; [292 269],[44.33898305 43.66101695] ; [282.66101695 278.33898305],0
s8,1,0.037536,4.325946,[35 58] ; [288 297],[44.30530973 48.69469027] ; [278.69469027 306.30530973],0
v2,1,0.054858,3.686406,[45 45] ; [343 222],[53.3129771 36.6870229] ; [334.6870229 230.3129771],0
b4,1,0.061039,3.50892,[63 30] ; [339 251],[54.73792094 38.26207906] ; [347.26207906 242.73792094],0
d2,1,0.067548,3.341632,[42 50] ; [329 260],[50.12041116 41.87958884] ; [320.87958884 268.12041116],0
n4,1,0.069498,3.294843,[67 26] ; [472 116],[73.60792952 19.39207048] ; [465.39207048 122.60792952],0
