Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.843907,[112  13] ; [4 7],[106.61764706  18.38235294] ; [9.38235294 1.61764706],1
n5,1,1.6e-05,18.59449,[109  16] ; [4 7],[103.86029412  21.13970588] ; [9.13970588 1.86029412],1
p10,1,0.000532,12.000641,[121   4] ; [8 3],[118.56617647   6.43382353] ; [10.43382353  0.56617647],1
p9,1,0.000532,12.000641,[121   4] ; [8 3],[118.56617647   6.43382353] ; [10.43382353  0.56617647],1
a5,1,0.000813,11.212052,[107  18] ; [5 6],[102.94117647  22.05882353] ; [9.05882353 1.94117647],1
s4,1,0.001677,9.872983,[33 89] ; [8 3],[37.60902256 84.39097744] ; [3.39097744 7.60902256],0
r2,1,0.007662,7.110733,[122   3] ; [9 2],[120.40441176   4.59558824] ; [10.59558824  0.40441176],0
r4,1,0.007662,7.110733,[122   3] ; [9 2],[120.40441176   4.59558824] ; [10.59558824  0.40441176],0
p11,1,0.01561,5.846329,[105  20] ; [6 5],[102.02205882  22.97794118] ; [8.97794118 2.02205882],0
a7,1,0.01721,5.674869,[89 36] ; [4 7],[85.47794118 39.52205882] ; [7.52205882 3.47794118],0
s2,1,0.050942,3.810177,[100  25] ; [6 5],[97.42647059 27.57352941] ; [8.57352941 2.42647059],0
s6,1,0.056891,3.625777,[112  11] ; [8 3],[110.14925373  12.85074627] ; [9.85074627 1.14925373],0
r1,1,0.072625,3.222671,[106  19] ; [7 4],[103.86029412  21.13970588] ; [9.13970588 1.86029412],0
p7,1,0.075133,3.167155,[112  12] ; [8 3],[110.22222222  13.77777778] ; [9.77777778 1.22222222],0
n1,1,0.137916,2.201058,[13 13] ; [5 1],[14.625 11.375] ; [3.375 2.625],0
s8,1,0.145964,2.113931,[84 41] ; [5 6],[81.80147059 43.19852941] ; [7.19852941 3.80147059],0
p5,1,0.146134,2.11215,[37 88] ; [ 1 10],[34.92647059 90.07352941] ; [3.07352941 7.92647059],0
v3,1,0.146393,2.109435,[54 70] ; [2 8],[51.82089552 72.17910448] ; [4.17910448 5.82089552],0
a2,1,0.159067,1.983069,[36 89] ; [ 1 10],[34.00735294 90.99264706] ; [2.99264706 8.00735294],0
a3,1,0.209839,1.572534,[99 25] ; [7 4],[97.36296296 26.63703704] ; [8.63703704 2.36296296],0
u3,1,0.256978,1.284965,[20  6] ; [2 2],[19.06666667  6.93333333] ; [2.93333333 1.06666667],0
d3,1,0.295232,1.095608,[97 28] ; [7 4],[95.58823529 29.41176471] ; [8.41176471 2.58823529],0
p4,1,0.297195,1.086738,[106  19] ; [8 3],[104.77941176  20.22058824] ; [9.22058824 1.77941176],0
v4,1,0.319559,0.990752,[121   4] ; [10  1],[120.40441176   4.59558824] ; [10.59558824  0.40441176],0
b1,1,0.320122,0.988447,[49 76] ; [6 5],[50.55147059 74.44852941] ; [4.44852941 6.55147059],0
b3,1,0.325088,0.968367,[35 44] ; [5 3],[36.32183908 42.67816092] ; [3.67816092 4.32183908],0
b2,1,0.325088,0.968367,[35 44] ; [5 3],[36.32183908 42.67816092] ; [3.67816092 4.32183908],0
s7,1,0.344446,0.893812,[91 28] ; [7 4],[89.70769231 29.29230769] ; [8.29230769 2.70769231],0
d1,1,0.363241,0.826658,[85 40] ; [6 5],[83.63970588 41.36029412] ; [7.36029412 3.63970588],0
v2,1,0.431371,0.61913,[71 52] ; [5 6],[69.76119403 53.23880597] ; [6.23880597 4.76119403],0
p1,1,0.473093,0.514742,[ 23 102] ; [3 8],[ 23.89705882 101.10294118] ; [2.10294118 8.89705882],0
u2,1,0.510671,0.432692,[15 11] ; [3 1],[15.6 10.4] ; [2.4 1.6],0
n3,1,0.527225,0.399737,[16  9] ; [3 3],[15.32258065  9.67741935] ; [3.67741935 2.32258065],0
p2,1,0.552281,0.353247,[110  15] ; [9 2],[109.375  15.625] ; [9.625 1.375],0
a4,1,0.568396,0.325374,[68 57] ; [5 6],[67.09558824 57.90441176] ; [5.90441176 5.09558824],0
d4,1,0.621598,0.243627,[108  16] ; [9 2],[107.46666667  16.53333333] ; [9.53333333 1.46666667],0
a6,1,0.621845,0.243283,[77 47] ; [6 5],[76.23703704 47.76296296] ; [6.76296296 4.23703704],0
u1,1,0.623504,0.240973,[31 94] ; [2 9],[30.33088235 94.66911765] ; [2.66911765 8.33088235],0
s3,1,0.651977,0.203417,[87 37] ; [7 4],[86.34074074 37.65925926] ; [7.65925926 3.34074074],0
v1,1,0.668962,0.182819,[83 42] ; [8 3],[83.63970588 41.36029412] ; [7.36029412 3.63970588],0
d2,1,0.677097,0.173412,[65 60] ; [5 6],[64.33823529 60.66176471] ; [5.66176471 5.33823529],0
b5,1,0.677097,0.173412,[65 60] ; [5 6],[64.33823529 60.66176471] ; [5.66176471 5.33823529],0
p8,1,0.903168,0.014801,[93 32] ; [8 3],[92.83088235 32.16911765] ; [8.16911765 2.83088235],0
p3,1,0.914488,0.01153,[89 36] ; [8 3],[89.15441176 35.84558824] ; [7.84558824 3.15441176],0
b4,1,0.980786,0.00058,[80 45] ; [7 4],[79.96323529 45.03676471] ; [7.03676471 3.96323529],0
