Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9.9e-05,15.159967,[53  2] ; [5 4],[49.84375  5.15625] ; [8.15625 0.84375],1
p7,1,0.000505,12.098864,[41 14] ; [1 7],[36.66666667 18.33333333] ; [5.33333333 2.66666667],1
v2,1,0.001354,10.268023,[41 13] ; [2 7],[36.85714286 17.14285714] ; [6.14285714 2.85714286],0
s4,1,0.007815,7.075444,[ 3 52] ; [3 6],[ 5.15625 49.84375] ; [0.84375 8.15625],0
r1,1,0.014141,6.020477,[45 10] ; [4 5],[42.109375 12.890625] ; [6.890625 2.109375],0
v3,1,0.01506,5.909411,[34 18] ; [2 7],[30.68852459 21.31147541] ; [5.31147541 3.68852459],0
v1,1,0.019692,5.438974,[35 20] ; [2 7],[31.796875 23.203125] ; [5.203125 3.796875],0
p3,1,0.026433,4.927497,[34 21] ; [2 7],[30.9375 24.0625] ; [5.0625 3.9375],0
d5,1,0.033639,4.512954,[43 12] ; [4 5],[40.390625 14.609375] ; [6.609375 2.390625],0
a6,1,0.086174,2.944424,[35 20] ; [3 6],[32.65625 22.34375] ; [5.34375 3.65625],0
a5,1,0.108531,2.57548,[44 11] ; [5 4],[42.109375 12.890625] ; [6.890625 2.109375],0
p2,1,0.114496,2.491044,[48  7] ; [6 3],[46.40625  8.59375] ; [7.59375 1.40625],0
p11,1,0.114496,2.491044,[48  7] ; [6 3],[46.40625  8.59375] ; [7.59375 1.40625],0
b3,1,0.127432,2.323513,[25 17] ; [2 5],[23.14285714 18.85714286] ; [3.85714286 3.14285714],0
b2,1,0.127432,2.323513,[25 17] ; [2 5],[23.14285714 18.85714286] ; [3.85714286 3.14285714],0
s1,1,0.147589,2.096995,[ 1 52] ; [1 8],[ 1.70967742 51.29032258] ; [0.29032258 8.70967742],0
d1,1,0.148978,2.08268,[38 17] ; [4 5],[36.09375 18.90625] ; [5.90625 3.09375],0
a3,1,0.226611,1.462005,[46  9] ; [6 3],[44.6875 10.3125] ; [7.3125 1.6875],0
n4,1,0.226611,1.462005,[46  9] ; [6 3],[44.6875 10.3125] ; [7.3125 1.6875],0
s7,1,0.239291,1.384768,[28 25] ; [6 2],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
a7,1,0.295904,1.092563,[40 15] ; [5 4],[38.671875 16.328125] ; [6.328125 2.671875],0
u2,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
b5,1,0.328041,0.956616,[28 27] ; [3 6],[26.640625 28.359375] ; [4.359375 4.640625],0
b1,1,0.354947,0.855692,[21 34] ; [2 7],[19.765625 35.234375] ; [3.234375 5.765625],0
d3,1,0.35694,0.848632,[39 16] ; [5 4],[37.8125 17.1875] ; [6.1875 2.8125],0
n1,1,0.390636,0.736961,[3 4] ; [4 2],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
s2,1,0.447887,0.575994,[21 33] ; [2 6],[20.03225806 33.96774194] ; [2.96774194 5.03225806],0
a4,1,0.505478,0.443417,[24 31] ; [5 4],[24.921875 30.078125] ; [4.078125 4.921875],0
p1,1,0.515763,0.422357,[ 3 52] ; [1 8],[ 3.4375 51.5625] ; [0.5625 8.4375],0
p6,1,0.601414,0.272869,[23 31] ; [3 6],[22.28571429 31.71428571] ; [3.71428571 5.28571429],0
u1,1,0.602213,0.27167,[10 45] ; [1 8],[ 9.453125 45.546875] ; [1.546875 7.453125],0
p10,1,0.61373,0.254779,[44 11] ; [7 1],[44.52380952 10.47619048] ; [6.47619048 1.52380952],0
d4,1,0.665837,0.18651,[46  9] ; [7 2],[45.546875  9.453125] ; [7.453125 1.546875],0
n3,1,0.706879,0.141414,[6 2] ; [5 1],[6.28571429 1.71428571] ; [4.71428571 1.28571429],0
p4,1,0.721105,0.127436,[34 21] ; [5 4],[33.515625 21.484375] ; [5.484375 3.515625],0
u3,1,0.735317,0.114286,[5 4] ; [2 1],[5.25 3.75] ; [1.75 1.25],0
n6,1,0.78351,0.075486,[47  8] ; [8 1],[47.265625  7.734375] ; [7.734375 1.265625],0
b4,1,0.801296,0.063338,[33 22] ; [5 4],[32.65625 22.34375] ; [5.34375 3.65625],0
p8,1,0.801296,0.063338,[33 22] ; [5 4],[32.65625 22.34375] ; [5.34375 3.65625],0
s3,1,0.861562,0.03041,[22 32] ; [3 5],[21.77419355 32.22580645] ; [3.22580645 4.77419355],0
p9,1,0.877232,0.023864,[47  8] ; [7 1],[47.14285714  7.85714286] ; [6.85714286 1.14285714],0
a2,1,0.877916,0.023596,[11 44] ; [2 7],[11.171875 43.828125] ; [1.828125 7.171875],0
d2,1,0.963867,0.002052,[31 24] ; [5 4],[30.9375 24.0625] ; [5.0625 3.9375],0
p5,1,0.98534,0.000338,[ 6 47] ; [1 8],[ 5.98387097 47.01612903] ; [1.01612903 7.98387097],0
n5,1,1.0,0.0,[42 12] ; [7 2],[42. 12.] ; [7. 2.],0
