Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,25.106986,[50 53] ; [ 3 44],[36.39333333 66.60666667] ; [16.60666667 30.39333333],1
p10,1,1.7e-05,18.539059,[67 36] ; [12 33],[54.97972973 48.02027027] ; [24.02027027 20.97972973],1
v4,1,5e-05,16.465897,[99  6] ; [33 14],[91.18421053 13.81578947] ; [40.81578947  6.18421053],1
p9,1,0.000269,13.274387,[75 27] ; [19 26],[65.2244898 36.7755102] ; [28.7755102 16.2244898],1
s7,1,0.000469,12.235186,[53 43] ; [10 33],[43.51079137 52.48920863] ; [19.48920863 23.51079137],1
r4,1,0.000485,12.174374,[91 14] ; [29 18],[82.89473684 22.10526316] ; [37.10526316  9.89473684],1
p2,1,0.000808,11.222918,[71 33] ; [18 28],[61.70666667 42.29333333] ; [27.29333333 18.70666667],1
n5,1,0.001066,10.709908,[75 30] ; [20 26],[66.05960265 38.94039735] ; [28.94039735 17.05960265],0
s6,1,0.00182,9.723073,[72 29] ; [21 26],[63.46621622 37.53378378] ; [29.53378378 17.46621622],0
r2,1,0.005481,7.713538,[101   2] ; [40  6],[97.46979866  5.53020134] ; [43.53020134  2.46979866],0
u1,1,0.008267,6.974594,[29 76] ; [ 4 43],[22.79605263 82.20394737] ; [10.20394737 36.79605263],0
p7,1,0.010113,6.614958,[58 45] ; [15 30],[50.80405405 52.19594595] ; [22.19594595 22.80405405],0
s5,1,0.010751,6.506038,[41 58] ; [ 8 34],[34.40425532 64.59574468] ; [14.59574468 27.40425532],0
s2,1,0.024077,5.089052,[56 48] ; [16 31],[49.58940397 54.41059603] ; [22.41059603 24.58940397],0
p6,1,0.02505,5.020419,[38 65] ; [ 8 36],[32.23129252 70.76870748] ; [13.76870748 30.23129252],0
r3,1,0.027537,4.856839,[93 12] ; [35 12],[88.42105263 16.57894737] ; [39.57894737  7.42105263],0
n4,1,0.030016,4.708398,[78 26] ; [27 20],[72.31788079 31.68211921] ; [32.68211921 14.31788079],0
v1,1,0.030509,4.680403,[51 54] ; [14 33],[44.90131579 60.09868421] ; [20.09868421 26.90131579],0
n2,1,0.033878,4.500844,[29  8] ; [12 11],[25.28333333 11.71666667] ; [15.71666667  7.28333333],0
b5,1,0.038164,4.297715,[70 35] ; [23 24],[64.24342105 40.75657895] ; [28.75657895 18.24342105],0
p4,1,0.080686,3.051028,[54 49] ; [17 29],[49.08053691 53.91946309] ; [21.91946309 24.08053691],0
n1,1,0.095504,2.779059,[20 15] ; [ 8 15],[16.89655172 18.10344828] ; [11.10344828 11.89655172],0
d1,1,0.141863,2.157633,[69 36] ; [25 22],[64.93421053 40.06578947] ; [29.06578947 17.93421053],0
a1,1,0.176818,1.824165,[  5 100] ; [ 5 42],[ 6.90789474 98.09210526] ; [ 3.09210526 43.90789474],0
p8,1,0.208987,1.578429,[37 67] ; [11 33],[33.72972973 70.27027027] ; [14.27027027 29.72972973],0
d5,1,0.249446,1.326406,[92 13] ; [37  9],[89.70198675 15.29801325] ; [39.29801325  6.70198675],0
r1,1,0.262256,1.256809,[81 22] ; [33 14],[78.28 24.72] ; [35.72 11.28],0
p5,1,0.27297,1.201761,[ 7 97] ; [ 1 43],[ 5.62162162 98.37837838] ; [ 2.37837838 41.62162162],0
a4,1,0.320183,0.988197,[62 42] ; [32 15],[64.74172185 39.25827815] ; [29.25827815 17.74172185],0
d4,1,0.331031,0.94486,[87 18] ; [35 11],[84.83443709 20.16556291] ; [37.16556291  8.83443709],0
s4,1,0.333998,0.933336,[25 79] ; [ 8 39],[22.72847682 81.27152318] ; [10.27152318 36.72847682],0
s3,1,0.350545,0.871484,[55 49] ; [21 26],[52.34437086 51.65562914] ; [23.65562914 23.34437086],0
a3,1,0.368419,0.808989,[85 20] ; [40  6],[86.9205298 18.0794702] ; [38.0794702  7.9205298],0
u2,1,0.373195,0.792998,[ 5 15] ; [3 4],[ 5.92592593 14.07407407] ; [2.07407407 4.92592593],0
v2,1,0.408594,0.682888,[55 49] ; [20 24],[52.7027027 51.2972973] ; [22.2972973 21.7027027],0
n3,1,0.418886,0.653439,[26 10] ; [13  8],[24.63157895 11.36842105] ; [14.36842105  6.63157895],0
s1,1,0.530517,0.393402,[ 6 98] ; [ 4 43],[ 6.88741722 97.11258278] ; [ 3.11258278 43.88741722],0
p3,1,0.57885,0.308097,[42 62] ; [16 29],[40.48322148 63.51677852] ; [17.51677852 27.48322148],0
b1,1,0.58072,0.305072,[53 52] ; [26 21],[54.57236842 50.42763158] ; [24.42763158 22.57236842],0
d3,1,0.634354,0.226202,[77 28] ; [32 14],[75.79470199 29.20529801] ; [33.20529801 12.79470199],0
u3,1,0.663674,0.189091,[ 8 12] ; [3 3],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
b2,1,0.691325,0.157654,[18 33] ; [ 8 18],[17.22077922 33.77922078] ; [ 8.77922078 17.22077922],0
b3,1,0.691325,0.157654,[18 33] ; [ 8 18],[17.22077922 33.77922078] ; [ 8.77922078 17.22077922],0
a8,1,0.745363,0.105469,[12 79] ; [ 7 39],[12.62043796 78.37956204] ; [ 6.37956204 39.62043796],0
v3,1,0.767117,0.087704,[37 66] ; [14 28],[36.22758621 66.77241379] ; [14.77241379 27.22758621],0
a2,1,0.821728,0.05077,[36 69] ; [17 30],[36.61184211 68.38815789] ; [16.38815789 30.61184211],0
b4,1,0.840653,0.040425,[54 51] ; [25 22],[54.57236842 50.42763158] ; [24.42763158 22.57236842],0
p1,1,0.850565,0.035494,[ 8 97] ; [ 4 43],[ 8.28947368 96.71052632] ; [ 3.71052632 43.28947368],0
a6,1,0.90338,0.014736,[72 33] ; [32 14],[72.31788079 32.68211921] ; [31.68211921 14.31788079],0
a7,1,0.919292,0.010267,[79 26] ; [35 12],[78.75 26.25] ; [35.25 11.75],0
d2,1,0.960925,0.0024,[66 38] ; [29 17],[65.86666667 38.13333333] ; [29.13333333 16.86666667],0
