Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.511789,[20  6] ; [37 88],[ 9.81456954 16.18543046] ; [47.18543046 77.81456954],1
s2,1,3.5e-05,17.151916,[16  9] ; [28 96],[ 7.38255034 17.61744966] ; [36.61744966 87.38255034],1
s7,1,0.001249,10.416013,[12 12] ; [22 94],[ 5.82857143 18.17142857] ; [28.17142857 87.82857143],0
r4,1,0.002469,9.16354,[24  2] ; [77 48],[17.39072848  8.60927152] ; [83.60927152 41.39072848],0
p4,1,0.003797,8.378252,[16 10] ; [39 85],[ 9.53333333 16.46666667] ; [45.46666667 78.53333333],0
u3,1,0.009155,6.792364,[10  1] ; [28 30],[6.05797101 4.94202899] ; [31.94202899 26.05797101],0
u2,1,0.021152,5.314195,[9 2] ; [25 32],[5.5 5.5] ; [28.5 28.5],0
s3,1,0.022223,5.228261,[15 10] ; [44 80],[ 9.89932886 15.10067114] ; [49.10067114 74.89932886],0
p10,1,0.02584,4.966683,[10 16] ; [ 23 101],[ 5.72 20.28] ; [27.28 96.72],0
p2,1,0.028952,4.770453,[19  7] ; [62 63],[13.94701987 12.05298013] ; [67.05298013 57.94701987],0
p11,1,0.03249,4.572479,[17  9] ; [53 72],[12.05298013 13.94701987] ; [57.94701987 67.05298013],0
d5,1,0.034763,4.456775,[22  4] ; [79 46],[17.39072848  8.60927152] ; [83.60927152 41.39072848],0
v3,1,0.05173,3.784483,[11 14] ; [30 91],[ 7.02054795 17.97945205] ; [33.97945205 87.02054795],0
r3,1,0.052744,3.752017,[24  2] ; [93 31],[20.28  5.72] ; [96.72 27.28],0
a4,1,0.059902,3.540098,[ 4 22] ; [42 81],[ 8.02684564 17.97315436] ; [37.97315436 85.02684564],0
v4,1,0.06737,3.345965,[24  2] ; [93 29],[20.55405405  5.44594595] ; [96.44594595 25.55405405],0
n6,1,0.068112,3.327938,[20  6] ; [71 52],[15.87919463 10.12080537] ; [75.12080537 47.87919463],0
n5,1,0.100855,2.691969,[18  8] ; [64 60],[14.21333333 11.78666667] ; [67.78666667 56.21333333],0
b4,1,0.107298,2.593569,[19  7] ; [70 55],[15.32450331 10.67549669] ; [73.67549669 51.32450331],0
p7,1,0.138915,2.189938,[15 11] ; [51 71],[11.59459459 14.40540541] ; [54.40540541 67.59459459],0
r2,1,0.145004,2.124039,[24  2] ; [98 24],[21.43243243  4.56756757] ; [100.56756757  21.43243243],0
p8,1,0.156828,2.004549,[11 15] ; [35 89],[ 7.97333333 18.02666667] ; [38.02666667 85.97333333],0
r1,1,0.164264,1.934527,[21  5] ; [83 41],[18.02666667  7.97333333] ; [85.97333333 38.02666667],0
n2,1,0.172258,1.863184,[6 2] ; [23 24],[4.21818182 3.78181818] ; [24.78181818 22.21818182],0
d1,1,0.193636,1.689738,[14 12] ; [50 75],[11.01986755 14.98013245] ; [52.98013245 72.01986755],0
b1,1,0.212568,1.55385,[17  9] ; [65 60],[14.1192053 11.8807947] ; [67.8807947 57.1192053],0
v2,1,0.229923,1.441339,[12 13] ; [43 79],[ 9.3537415 15.6462585] ; [45.6462585 76.3537415],0
a1,1,0.267912,1.227408,[ 3 23] ; [  7 118],[ 1.7218543 24.2781457] ; [  8.2781457 116.7218543],0
a2,1,0.274632,1.193462,[ 2 24] ; [ 20 105],[ 3.78807947 22.21192053] ; [ 18.21192053 106.78807947],0
s4,1,0.397875,0.714739,[ 5 21] ; [ 16 108],[ 3.64 22.36] ; [ 17.36 106.64],0
