Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00159,9.97126,[ 2 31] ; [11 17],[ 7.03278689 25.96721311] ; [ 5.96721311 22.03278689],0
p10,1,0.014138,6.020795,[21 12] ; [27  3],[25.14285714  7.85714286] ; [22.85714286  7.14285714],0
p9,1,0.014138,6.020795,[21 12] ; [27  3],[25.14285714  7.85714286] ; [22.85714286  7.14285714],0
d3,1,0.025451,4.992944,[17 15] ; [24  6],[21.16129032 10.83870968] ; [19.83870968 10.16129032],0
p2,1,0.055551,3.665455,[27  6] ; [18 12],[23.57142857  9.42857143] ; [21.42857143  8.57142857],0
n6,1,0.0639,3.433148,[25  8] ; [27  2],[27.67741935  5.32258065] ; [24.32258065  4.67741935],0
p11,1,0.108408,2.577273,[19 14] ; [23  7],[22. 11.] ; [20. 10.],0
a7,1,0.11128,2.535949,[21 11] ; [25  5],[23.74193548  8.25806452] ; [22.25806452  7.74193548],0
d4,1,0.129053,2.303856,[22 11] ; [25  5],[24.61904762  8.38095238] ; [22.38095238  7.61904762],0
p3,1,0.179599,1.800936,[11 22] ; [15 15],[13.61904762 19.38095238] ; [12.38095238 17.61904762],0
n3,1,0.254524,1.298302,[9 4] ; [2 3],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
a4,1,0.284503,1.145455,[ 9 24] ; [12 18],[11. 22.] ; [10. 20.],0
r1,1,0.284503,1.145455,[20 13] ; [22  8],[22. 11.] ; [20. 10.],0
d5,1,0.338465,0.916235,[21 11] ; [23  7],[22.70967742  9.29032258] ; [21.29032258  8.70967742],0
v4,1,0.349278,0.876079,[30  3] ; [29  1],[30.9047619  2.0952381] ; [28.0952381  1.9047619],0
b1,1,0.380217,0.77,[11 22] ; [ 7 23],[ 9.42857143 23.57142857] ; [ 8.57142857 21.42857143],0
d1,1,0.397489,0.715909,[13 20] ; [15 15],[14.66666667 18.33333333] ; [13.33333333 16.66666667],0
s2,1,0.45935,0.547477,[14 18] ; [10 19],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
n4,1,0.479197,0.50069,[18 15] ; [19 11],[19.38095238 13.61904762] ; [17.61904762 12.38095238],0
v1,1,0.481564,0.49532,[13 20] ; [14 15],[14.37096774 18.62903226] ; [12.62903226 16.37096774],0
a3,1,0.532149,0.390286,[15 18] ; [16 14],[16.23809524 16.76190476] ; [14.76190476 15.23809524],0
p7,1,0.532149,0.390286,[15 18] ; [16 14],[16.23809524 16.76190476] ; [14.76190476 15.23809524],0
u2,1,0.542129,0.371607,[ 7 11] ; [ 4 10],[ 6.1875 11.8125] ; [4.8125 9.1875],0
a6,1,0.560179,0.339394,[20 13] ; [16 14],[18.85714286 14.14285714] ; [17.14285714 12.85714286],0
d2,1,0.59256,0.286364,[12 21] ; [ 9 21],[11. 22.] ; [10. 20.],0
s3,1,0.599058,0.276419,[17 16] ; [13 16],[15.96774194 17.03225806] ; [14.03225806 14.96774194],0
p6,1,0.607119,0.264392,[ 8 25] ; [ 9 21],[ 8.9047619 24.0952381] ; [ 8.0952381 21.9047619],0
b4,1,0.617772,0.249012,[20 13] ; [20 10],[20.95238095 12.04761905] ; [19.04761905 10.95238095],0
r2,1,0.622601,0.242229,[29  3] ; [26  4],[28.38709677  3.61290323] ; [26.61290323  3.38709677],0
n1,1,0.647743,0.208757,[4 9] ; [1 4],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
p8,1,0.6858,0.163669,[12 21] ; [12 17],[12.77419355 20.22580645] ; [11.22580645 17.77419355],0
s6,1,0.69312,0.155729,[21 10] ; [21  8],[21.7  9.3] ; [20.3  8.7],0
p4,1,0.700646,0.147801,[16 17] ; [16 14],[16.76190476 16.23809524] ; [15.23809524 14.76190476],0
n2,1,0.709815,0.138462,[9 4] ; [3 2],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
u1,1,0.7222,0.126395,[ 3 30] ; [ 2 28],[ 2.61904762 30.38095238] ; [ 2.38095238 27.61904762],0
n5,1,0.749659,0.101818,[23 10] ; [22  8],[23.57142857  9.42857143] ; [21.42857143  8.57142857],0
b5,1,0.766591,0.088112,[21 12] ; [18 12],[20.42857143 12.57142857] ; [18.57142857 11.42857143],0
a2,1,0.789034,0.071591,[ 4 29] ; [ 3 27],[ 3.66666667 29.33333333] ; [ 3.33333333 26.66666667],0
r3,1,0.789034,0.071591,[29  4] ; [27  3],[29.33333333  3.66666667] ; [26.66666667  3.33333333],0
a5,1,0.823826,0.049563,[20 13] ; [19 11],[20.42857143 12.57142857] ; [18.57142857 11.42857143],0
s8,1,0.839714,0.040909,[ 7 26] ; [ 7 23],[ 7.33333333 25.66666667] ; [ 6.66666667 23.33333333],0
s5,1,0.860081,0.031071,[ 9 21] ; [ 9 19],[ 9.31034483 20.68965517] ; [ 8.68965517 19.31034483],0
r4,1,0.869445,0.027015,[28  5] ; [25  5],[27.76190476  5.23809524] ; [25.23809524  4.76190476],0
p5,1,0.921515,0.009707,[ 2 31] ; [ 2 28],[ 2.0952381 30.9047619] ; [ 1.9047619 28.0952381],0
u3,1,0.928453,0.008062,[10  8] ; [8 6],[10.125  7.875] ; [7.875 6.125],0
b2,1,0.92985,0.00775,[ 3 13] ; [ 3 12],[ 3.09677419 12.90322581] ; [ 2.90322581 12.09677419],0
b3,1,0.92985,0.00775,[ 3 13] ; [ 3 12],[ 3.09677419 12.90322581] ; [ 2.90322581 12.09677419],0
