Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000465,12.25,[17  8] ; [13 37],[10. 15.] ; [20. 30.],1
s6,1,0.000705,11.476613,[18  7] ; [15 34],[11.14864865 13.85135135] ; [21.85135135 27.14864865],1
p3,1,0.001919,9.625764,[13 12] ; [ 9 42],[ 7.23684211 17.76315789] ; [14.76315789 36.23684211],0
p7,1,0.008684,6.886657,[19  6] ; [22 28],[13.66666667 11.33333333] ; [27.33333333 22.66666667],0
p6,1,0.014009,6.036959,[ 9 14] ; [ 7 44],[ 4.97297297 18.02702703] ; [11.02702703 39.97297297],0
a4,1,0.019134,5.48924,[ 4 21] ; [22 29],[ 8.55263158 16.44736842] ; [17.44736842 33.55263158],0
p2,1,0.02706,4.886971,[18  7] ; [23 28],[13.48684211 11.51315789] ; [27.51315789 23.48684211],0
a5,1,0.041609,4.151027,[17  8] ; [22 29],[12.82894737 12.17105263] ; [26.17105263 24.82894737],0
p10,1,0.04986,3.846154,[17  8] ; [22 28],[13. 12.] ; [26. 24.],0
d3,1,0.117773,2.446686,[13 12] ; [17 34],[ 9.86842105 15.13157895] ; [20.13157895 30.86842105],0
a3,1,0.189479,1.721664,[11 14] ; [30 20],[13.66666667 11.33333333] ; [27.33333333 22.66666667],0
n1,1,0.19765,1.659652,[4 4] ; [ 7 20],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
u2,1,0.214006,1.544118,[9 5] ; [ 9 12],[7.2 6.8] ; [10.8 10.2],0
s8,1,0.251349,1.315789,[ 8 17] ; [10 40],[ 6. 19.] ; [12. 38.],0
d2,1,0.263216,1.251765,[ 7 18] ; [21 30],[ 9.21052632 15.78947368] ; [18.78947368 32.21052632],0
s5,1,0.271315,1.210084,[ 9 15] ; [12 36],[ 7. 17.] ; [14. 34.],0
a1,1,0.27142,1.209558,[ 1 24] ; [ 6 45],[ 2.30263158 22.69736842] ; [ 4.69736842 46.30263158],0
d5,1,0.283497,1.150248,[16  9] ; [26 25],[13.81578947 11.18421053] ; [28.18421053 22.81578947],0
b1,1,0.288926,1.124618,[10 15] ; [27 24],[12.17105263 12.82894737] ; [24.82894737 26.17105263],0
v1,1,0.317311,1.0,[ 8 17] ; [22 28],[10. 15.] ; [20. 30.],0
d1,1,0.342529,0.900941,[ 9 16] ; [13 38],[ 7.23684211 17.76315789] ; [14.76315789 36.23684211],0
p1,1,0.352772,0.863462,[ 3 22] ; [ 3 48],[ 1.97368421 23.02631579] ; [ 4.02631579 46.97368421],0
b4,1,0.372611,0.794938,[12 13] ; [30 21],[13.81578947 11.18421053] ; [28.18421053 22.81578947],0
s2,1,0.398653,0.712386,[11 14] ; [17 33],[ 9.33333333 15.66666667] ; [18.66666667 31.33333333],0
s4,1,0.409446,0.680409,[ 7 18] ; [10 41],[ 5.59210526 19.40789474] ; [11.40789474 39.59210526],0
s7,1,0.416518,0.660118,[ 7 18] ; [ 9 37],[ 5.63380282 19.36619718] ; [10.36619718 35.63380282],0
b2,1,0.439391,0.597871,[4 7] ; [ 7 22],[3.025 7.975] ; [ 7.975 21.025],0
b3,1,0.439391,0.597871,[4 7] ; [ 7 22],[3.025 7.975] ; [ 7.975 21.025],0
d4,1,0.488422,0.48,[18  7] ; [32 18],[16.66666667  8.33333333] ; [33.33333333 16.66666667],0
v4,1,0.504036,0.446429,[22  3] ; [41  9],[21.  4.] ; [42.  8.],0
n5,1,0.507179,0.439883,[ 9 16] ; [22 28],[10.33333333 14.66666667] ; [20.66666667 29.33333333],0
a8,1,0.525388,0.403304,[ 1 23] ; [ 4 45],[ 1.64383562 22.35616438] ; [ 3.35616438 45.64383562],0
p11,1,0.540082,0.375387,[17  8] ; [31 20],[15.78947368  9.21052632] ; [32.21052632 18.78947368],0
r4,1,0.638389,0.220855,[18  7] ; [34 17],[17.10526316  7.89473684] ; [34.89473684 16.10526316],0
s3,1,0.673548,0.177479,[10 15] ; [23 28],[10.85526316 14.14473684] ; [22.14473684 28.85526316],0
u3,1,0.677726,0.172697,[7 7] ; [12  9],[7.6 6.4] ; [11.4  9.6],0
r3,1,0.703057,0.145311,[21  4] ; [41 10],[20.39473684  4.60526316] ; [41.60526316  9.39473684],0
v2,1,0.770348,0.085217,[ 8 17] ; [17 31],[ 8.56164384 16.43835616] ; [16.43835616 31.56164384],0
r2,1,0.803665,0.061805,[20  5] ; [42  9],[20.39473684  4.60526316] ; [41.60526316  9.39473684],0
r1,1,0.811519,0.056866,[13 12] ; [28 23],[13.48684211 11.51315789] ; [27.51315789 23.48684211],0
n6,1,0.814802,0.054866,[14 11] ; [30 21],[14.47368421 10.52631579] ; [29.52631579 21.47368421],0
a6,1,0.816959,0.053573,[10 15] ; [19 32],[ 9.53947368 15.46052632] ; [19.46052632 31.53947368],0
n2,1,0.830324,0.045918,[6 2] ; [22  6],[6.22222222 1.77777778] ; [21.77777778  6.22222222],0
v3,1,0.872443,0.025778,[ 4 21] ; [ 7 41],[ 3.76712329 21.23287671] ; [ 7.23287671 40.76712329],0
b5,1,0.93846,0.005961,[13 12] ; [27 24],[13.15789474 11.84210526] ; [26.84210526 24.15789474],0
p9,1,0.946065,0.004576,[15 10] ; [29 20],[14.86486486 10.13513514] ; [29.13513514 19.86486486],0
n3,1,0.98101,0.000567,[5 3] ; [17 10],[5.02857143 2.97142857] ; [16.97142857 10.02857143],0
