Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000614,11.733548,[177 155] ; [16 40],[165.1443299 166.8556701] ; [27.8556701 28.1443299],1
r2,1,0.000813,11.211342,[304  24] ; [44 12],[297.25  30.75] ; [50.75  5.25],1
p3,1,0.001418,10.182288,[151 177] ; [13 43],[140.08333333 187.91666667] ; [23.91666667 32.08333333],0
n6,1,0.002204,9.371122,[287  43] ; [39 16],[279.42857143  50.57142857] ; [46.57142857  8.42857143],0
p4,1,0.003126,8.732195,[187 141] ; [20 36],[176.8125 151.1875] ; [30.1875 25.8125],0
s4,1,0.004568,8.042797,[ 40 284] ; [15 41],[ 46.89473684 277.10526316] ; [ 8.10526316 47.89473684],0
s5,1,0.004929,7.905319,[ 86 237] ; [ 5 50],[ 77.75925926 245.24074074] ; [13.24074074 41.75925926],0
a5,1,0.00504,7.864906,[234  97] ; [29 27],[224.94315245 106.05684755] ; [38.05684755 17.94315245],0
d2,1,0.005314,7.769429,[153 174] ; [15 41],[143.43603133 183.56396867] ; [24.56396867 31.43603133],0
r1,1,0.013585,6.091255,[247  83] ; [33 23],[239.37823834  90.62176166] ; [40.62176166 15.37823834],0
r4,1,0.01555,5.853054,[281  51] ; [40 16],[274.67010309  57.32989691] ; [46.32989691  9.67010309],0
a8,1,0.018607,5.538058,[ 48 252] ; [ 2 51],[ 42.49291785 257.50708215] ; [ 7.50708215 45.49291785],0
v3,1,0.020135,5.400125,[116 206] ; [11 44],[108.47214854 213.52785146] ; [18.52785146 36.47214854],0
a7,1,0.023792,5.109704,[238  92] ; [32 24],[230.82901554  99.17098446] ; [39.17098446 16.82901554],0
r3,1,0.025951,4.959282,[296  32] ; [44 11],[291.17493473  36.82506527] ; [48.82506527  6.17493473],0
p1,1,0.035846,4.404433,[ 35 295] ; [ 1 55],[ 30.77720207 299.22279793] ; [ 5.22279793 50.77720207],0
d5,1,0.040985,4.176627,[255  76] ; [36 20],[248.89147287  82.10852713] ; [42.10852713 13.89147287],0
s7,1,0.044238,4.047441,[ 89 226] ; [ 8 45],[ 83.0298913 231.9701087] ; [13.9701087 39.0298913],0
p8,1,0.045199,4.011216,[156 169] ; [18 36],[149.20844327 175.79155673] ; [24.79155673 29.20844327],0
s6,1,0.046972,3.946379,[179 144] ; [23 33],[172.1530343 150.8469657] ; [29.8469657 26.1530343],0
a4,1,0.058157,3.589182,[150 178] ; [18 38],[143.5 184.5] ; [24.5 31.5],0
p10,1,0.05883,3.57007,[257  69] ; [37 18],[251.55905512  74.44094488] ; [42.44094488 12.55905512],0
n1,1,0.095148,2.785044,[31 39] ; [ 6 18],[27.55319149 42.44680851] ; [ 9.44680851 14.55319149],0
s2,1,0.099326,2.71633,[115 214] ; [13 42],[109.66666667 219.33333333] ; [18.33333333 36.66666667],0
p6,1,0.120594,2.409588,[ 98 226] ; [11 44],[ 93.18205805 230.81794195] ; [15.81794195 39.18205805],0
p2,1,0.122882,2.380194,[264  64] ; [40 16],[259.66666667  68.33333333] ; [44.33333333 11.66666667],0
a2,1,0.124875,2.355091,[ 78 254] ; [ 8 48],[ 73.58762887 258.41237113] ; [12.41237113 43.58762887],0
b2,1,0.141032,2.166659,[ 67 126] ; [ 5 20],[ 63.74311927 129.25688073] ; [ 8.25688073 16.74311927],0
b3,1,0.141032,2.166659,[ 67 126] ; [ 5 20],[ 63.74311927 129.25688073] ; [ 8.25688073 16.74311927],0
a1,1,0.155897,2.013585,[ 22 310] ; [ 1 55],[ 19.68041237 312.31958763] ; [ 3.31958763 52.68041237],0
u1,1,0.157272,2.00026,[ 54 278] ; [ 5 51],[ 50.48453608 281.51546392] ; [ 8.51546392 47.48453608],0
a3,1,0.161778,1.95753,[219 109] ; [32 24],[214.39583333 113.60416667] ; [36.60416667 19.39583333],0
p7,1,0.182558,1.776676,[190 133] ; [26 27],[185.55319149 137.44680851] ; [30.44680851 22.55319149],0
p11,1,0.206195,1.59794,[257  75] ; [39 17],[253.27835052  78.72164948] ; [42.72164948 13.27835052],0
