Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.055911,[67 15] ; [ 3 24],[52.66055046 29.33944954] ; [17.33944954  9.66055046],1
r3,1,0.0,38.988962,[72 10] ; [ 7 20],[59.43119266 22.56880734] ; [19.56880734  7.43119266],1
r2,1,1.1e-05,19.268224,[75  7] ; [14 12],[67.57407407 14.42592593] ; [21.42592593  4.57407407],1
p2,1,8.2e-05,15.510933,[51 31] ; [ 5 22],[42.12844037 39.87155963] ; [13.87155963 13.12844037],1
r1,1,0.000241,13.478154,[62 20] ; [10 17],[54.16513761 27.83486239] ; [17.83486239  9.16513761],1
u3,1,0.000872,11.080586,[24 12] ; [ 2 12],[18.72 17.28] ; [7.28 6.72],1
n6,1,0.00147,10.115543,[57 25] ; [ 9 17],[50.11111111 31.88888889] ; [15.88888889 10.11111111],0
p11,1,0.002074,9.483261,[43 39] ; [ 5 22],[36.11009174 45.88990826] ; [11.88990826 15.11009174],0
d5,1,0.002161,9.407101,[60 22] ; [11 16],[53.41284404 28.58715596] ; [17.58715596  9.41284404],0
s6,1,0.002182,9.389624,[39 42] ; [ 4 23],[32.25 48.75] ; [10.75 16.25],0
n2,1,0.008408,6.944457,[22 10] ; [ 5 12],[17.63265306 14.36734694] ; [9.36734694 7.63265306],0
p4,1,0.010486,6.550376,[34 47] ; [ 4 23],[28.5 52.5] ; [ 9.5 17.5],0
a7,1,0.022372,5.216608,[51 31] ; [10 17],[45.88990826 36.11009174] ; [15.11009174 11.88990826],0
a5,1,0.039893,4.222434,[49 33] ; [10 17],[44.3853211 37.6146789] ; [14.6146789 12.3853211],0
u2,1,0.044952,4.020434,[19 17] ; [ 3 11],[15.84 20.16] ; [6.16 7.84],0
s8,1,0.047354,3.932773,[16 65] ; [ 1 26],[12.75 68.25] ; [ 4.25 22.75],0
p10,1,0.050487,3.825213,[20 60] ; [ 2 25],[16.44859813 63.55140187] ; [ 5.55140187 21.44859813],0
p7,1,0.055405,3.669841,[38 43] ; [ 7 20],[33.75 47.25] ; [11.25 15.75],0
s3,1,0.063686,3.438685,[39 43] ; [ 7 19],[34.92592593 47.07407407] ; [11.07407407 14.92592593],0
n3,1,0.079304,3.079108,[18 11] ; [ 6 11],[15.13043478 13.86956522] ; [8.86956522 8.13043478],0
a1,1,0.085928,2.949055,[ 4 78] ; [ 4 23],[ 6.01834862 75.98165138] ; [ 1.98165138 25.01834862],0
s1,1,0.098301,2.732896,[ 6 75] ; [ 5 22],[ 8.25 72.75] ; [ 2.75 24.25],0
p6,1,0.102905,2.659935,[18 64] ; [ 2 24],[15.18518519 66.81481481] ; [ 4.81481481 21.18518519],0
s7,1,0.111182,2.53734,[22 55] ; [ 3 21],[19.05940594 57.94059406] ; [ 5.94059406 18.05940594],0
p8,1,0.129994,2.292573,[25 57] ; [ 4 22],[22.01851852 59.98148148] ; [ 6.98148148 19.01851852],0
v3,1,0.197617,1.659902,[18 62] ; [ 3 24],[15.70093458 64.29906542] ; [ 5.29906542 21.70093458],0
p3,1,0.214847,1.538462,[25 56] ; [ 5 22],[22.5 58.5] ; [ 7.5 19.5],0
a2,1,0.218345,1.515212,[14 68] ; [ 2 25],[12.03669725 69.96330275] ; [ 3.96330275 23.03669725],0
