Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,28.0,[ 6 24] ; [57 18],[18. 12.] ; [45. 30.],1
d1,1,0.0,26.448426,[ 1 30] ; [43 32],[12.86792453 18.13207547] ; [31.13207547 43.86792453],1
n5,1,0.000303,13.054755,[21 10] ; [22 52],[12.6952381 18.3047619] ; [30.3047619 43.6952381],1
d5,1,0.001246,10.420167,[14 17] ; [58 17],[21.05660377  9.94339623] ; [50.94339623 24.05660377],0
s3,1,0.003772,8.390346,[ 8 23] ; [42 32],[14.76190476 16.23809524] ; [35.23809524 38.76190476],0
r3,1,0.006299,7.462779,[19 12] ; [64 11],[24.27358491  6.72641509] ; [58.72641509 16.27358491],0
r4,1,0.008765,6.870045,[14 17] ; [54 21],[19.88679245 11.11320755] ; [48.11320755 26.88679245],0
r1,1,0.010062,6.623917,[14 17] ; [53 21],[19.78095238 11.21904762] ; [47.21904762 26.78095238],0
a7,1,0.013625,6.08609,[15 16] ; [55 20],[20.47169811 10.52830189] ; [49.52830189 25.47169811],0
b4,1,0.033288,4.530907,[12 19] ; [46 29],[16.96226415 14.03773585] ; [41.03773585 33.96226415],0
p10,1,0.036586,4.369591,[10 19] ; [43 32],[14.77884615 14.22115385] ; [38.22115385 36.77884615],0
d2,1,0.046628,3.958744,[ 8 23] ; [35 40],[12.5754717 18.4245283] ; [30.4245283 44.5754717],0
u3,1,0.051422,3.794466,[ 6 12] ; [17 10],[9.2 8.8] ; [13.8 13.2],0
u2,1,0.067227,3.349458,[ 8 10] ; [20  8],[10.95652174  7.04347826] ; [17.04347826 10.95652174],0
a3,1,0.070534,3.270556,[13 17] ; [47 28],[17.14285714 12.85714286] ; [42.85714286 32.14285714],0
p9,1,0.087077,2.927598,[12 17] ; [45 30],[15.89423077 13.10576923] ; [41.10576923 33.89423077],0
r2,1,0.091722,2.843896,[22  9] ; [63 11],[25.0952381  5.9047619] ; [59.9047619 14.0952381],0
a1,1,0.093156,2.818969,[ 4 27] ; [ 3 72],[ 2.04716981 28.95283019] ; [ 4.95283019 70.04716981],0
s2,1,0.118271,2.440064,[ 6 25] ; [26 49],[ 9.35849057 21.64150943] ; [22.64150943 52.35849057],0
a2,1,0.143697,2.137919,[ 2 29] ; [13 62],[ 4.38679245 26.61320755] ; [10.61320755 64.38679245],0
a8,1,0.183093,1.77234,[ 4 26] ; [ 4 68],[ 2.35294118 27.64705882] ; [ 5.64705882 66.35294118],0
b5,1,0.203842,1.61463,[14 17] ; [44 31],[16.96226415 14.03773585] ; [41.03773585 33.96226415],0
s7,1,0.208502,1.581796,[ 4 24] ; [18 51],[ 6.35051546 21.64948454] ; [15.64948454 53.35051546],0
a5,1,0.219937,1.504782,[15 16] ; [46 29],[17.83962264 13.16037736] ; [43.16037736 31.83962264],0
b1,1,0.232983,1.422556,[18 13] ; [34 41],[15.20754717 15.79245283] ; [36.79245283 38.20754717],0
v4,1,0.234373,1.414122,[21 10] ; [59 16],[23.39622642  7.60377358] ; [56.60377358 18.39622642],0
p1,1,0.257472,1.282298,[ 3 28] ; [ 3 71],[ 1.77142857 29.22857143] ; [ 4.22857143 69.77142857],0
v2,1,0.280107,1.166572,[ 7 20] ; [27 45],[ 9.27272727 17.72727273] ; [24.72727273 47.27272727],0
p11,1,0.285698,1.139785,[13 18] ; [40 35],[15.5 15.5] ; [37.5 37.5],0
p2,1,0.383567,0.759239,[16 15] ; [45 29],[18.00952381 12.99047619] ; [42.99047619 31.00952381],0
a4,1,0.414733,0.665192,[ 9 22] ; [28 47],[10.82075472 20.17924528] ; [26.17924528 48.82075472],0
n4,1,0.44392,0.586129,[17 14] ; [35 40],[15.20754717 15.79245283] ; [36.79245283 38.20754717],0
n2,1,0.463071,0.538462,[10  8] ; [16  8],[11.14285714  6.85714286] ; [14.85714286  9.14285714],0
n1,1,0.481365,0.49577,[ 7 10] ; [ 7 16],[ 5.95 11.05] ; [ 8.05 14.95],0
s8,1,0.540858,0.373952,[ 5 26] ; [16 59],[ 6.14150943 24.85849057] ; [14.85849057 60.14150943],0
p4,1,0.54094,0.373801,[11 20] ; [31 43],[12.4 18.6] ; [29.6 44.4],0
s6,1,0.575411,0.313712,[11 20] ; [31 44],[12.28301887 18.71698113] ; [29.71698113 45.28301887],0
p3,1,0.616801,0.25039,[ 8 23] ; [23 52],[ 9.06603774 21.93396226] ; [21.93396226 53.06603774],0
a6,1,0.628854,0.233619,[20 11] ; [52 23],[21.05660377  9.94339623] ; [50.94339623 24.05660377],0
s4,1,0.643105,0.214704,[ 5 26] ; [15 60],[ 5.8490566 25.1509434] ; [14.1509434 60.8490566],0
p6,1,0.672696,0.178464,[ 5 25] ; [15 59],[ 5.76923077 24.23076923] ; [14.23076923 59.76923077],0
s5,1,0.687013,0.162338,[ 3 27] ; [ 9 61],[ 3.6 26.4] ; [ 8.4 61.6],0
s1,1,0.83314,0.044385,[ 2 29] ; [ 4 70],[ 1.77142857 29.22857143] ; [ 4.22857143 69.77142857],0
p7,1,0.857862,0.032075,[14 16] ; [35 37],[14.41176471 15.58823529] ; [34.58823529 37.41176471],0
n3,1,0.89611,0.01705,[10  7] ; [14  9],[10.2  6.8] ; [13.8  9.2],0
b3,1,0.930315,0.007647,[ 4 12] ; [11 35],[ 3.87096774 12.12903226] ; [11.12903226 34.87096774],0
b2,1,0.930315,0.007647,[ 4 12] ; [11 35],[ 3.87096774 12.12903226] ; [11.12903226 34.87096774],0
v3,1,0.938003,0.00605,[ 6 23] ; [14 56],[ 5.85858586 23.14141414] ; [14.14141414 55.85858586],0
p8,1,0.946295,0.004537,[10 19] ; [25 49],[ 9.85436893 19.14563107] ; [25.14563107 48.85436893],0
