Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000569,11.873852,[  8 159] ; [3 6],[ 10.4375 156.5625] ; [0.5625 8.4375],1
s5,1,0.004846,7.935902,[ 28 133] ; [5 4],[ 31.25294118 129.74705882] ; [1.74705882 7.25294118],0
p1,1,0.008779,6.867284,[ 13 156] ; [3 6],[ 15.19101124 153.80898876] ; [0.80898876 8.19101124],0
a5,1,0.029519,4.737061,[88 82] ; [8 1],[91.17318436 78.82681564] ; [4.82681564 4.17318436],0
s7,1,0.050913,3.811126,[ 42 121] ; [5 4],[ 44.54069767 118.45930233] ; [2.45930233 6.54069767],0
v3,1,0.055648,3.662556,[ 43 121] ; [5 4],[ 45.50289017 118.49710983] ; [2.49710983 6.50289017],0
s6,1,0.066663,3.363345,[78 90] ; [7 2],[80.6779661 87.3220339] ; [4.3220339 4.6779661],0
p8,1,0.093482,2.813363,[ 35 134] ; [4 5],[ 37.02808989 131.97191011] ; [1.97191011 7.02808989],0
p10,1,0.142774,2.147801,[104  64] ; [7 1],[105.95454545  62.04545455] ; [5.04545455 2.95454545],0
d2,1,0.1753,1.837028,[ 27 142] ; [3 6],[ 28.48314607 140.51685393] ; [1.51685393 7.48314607],0
n6,1,0.208871,1.579237,[117  52] ; [8 1],[118.67977528  50.32022472] ; [6.32022472 2.67977528],0
v1,1,0.208893,1.57908,[ 67 100] ; [5 3],[68.70857143 98.29142857] ; [3.29142857 4.70857143],0
b1,1,0.233197,1.421256,[ 61 109] ; [5 4],[ 62.68156425 107.31843575] ; [3.31843575 5.68156425],0
b5,1,0.272377,1.204737,[101  69] ; [7 2],[102.5698324  67.4301676] ; [5.4301676 3.5698324],0
u3,1,0.328702,0.954004,[41 41] ; [1 3],[40.04651163 41.95348837] ; [1.95348837 2.04651163],0
r4,1,0.335524,0.927459,[127  43] ; [8 1],[128.2122905  41.7877095] ; [6.7877095 2.2122905],0
b4,1,0.349933,0.873702,[106  64] ; [7 2],[107.31843575  62.68156425] ; [5.68156425 3.31843575],0
s2,1,0.364892,0.820986,[ 50 116] ; [4 5],[ 51.22285714 114.77714286] ; [2.77714286 6.22285714],0
v2,1,0.379983,0.770756,[ 59 102] ; [2 7],[ 57.77058824 103.22941176] ; [3.22941176 5.77058824],0
n5,1,0.384761,0.755434,[108  62] ; [7 2],[109.21787709  60.78212291] ; [5.78212291 3.21787709],0
a6,1,0.394196,0.725959,[100  70] ; [4 5],[98.77094972 71.22905028] ; [5.22905028 3.77094972],0
s8,1,0.444904,0.583603,[ 38 132] ; [3 6],[ 38.93854749 131.06145251] ; [2.06145251 6.93854749],0
s3,1,0.479249,0.500572,[ 62 104] ; [2 6],[ 61.05747126 104.94252874] ; [2.94252874 5.05747126],0
n4,1,0.524931,0.404194,[115  55] ; [7 2],[115.86592179  54.13407821] ; [6.13407821 2.86592179],0
a4,1,0.538676,0.378,[ 41 128] ; [3 6],[ 41.7752809 127.2247191] ; [2.2247191 6.7752809],0
d4,1,0.54709,0.362556,[93 77] ; [4 5],[92.12290503 77.87709497] ; [4.87709497 4.12290503],0
r3,1,0.608769,0.261972,[139  30] ; [8 1],[139.56741573  29.43258427] ; [7.43258427 1.56741573],0
a7,1,0.616678,0.250565,[99 71] ; [6 3],[99.72067039 70.27932961] ; [5.27932961 3.72067039],0
p9,1,0.638991,0.220064,[117  49] ; [7 2],[117.62285714  48.37714286] ; [6.37714286 2.62285714],0
p2,1,0.709165,0.139113,[105  65] ; [5 4],[104.46927374  65.53072626] ; [5.53072626 3.46927374],0
d5,1,0.745294,0.105528,[85 85] ; [4 5],[84.52513966 85.47486034] ; [4.47486034 4.52513966],0
p4,1,0.762467,0.091351,[ 51 119] ; [2 6],[ 50.61797753 119.38202247] ; [2.38202247 5.61797753],0
r2,1,0.765496,0.088966,[145  25] ; [8 1],[145.30726257  24.69273743] ; [7.69273743 1.30726257],0
p6,1,0.81929,0.052193,[ 15 154] ; [1 8],[ 15.19101124 153.80898876] ; [0.80898876 8.19101124],0
r1,1,0.848739,0.036377,[108  62] ; [6 3],[108.26815642  61.73184358] ; [5.73184358 3.26815642],0
d3,1,0.848739,0.036377,[ 62 108] ; [3 6],[ 61.73184358 108.26815642] ; [3.26815642 5.73184358],0
a3,1,0.852593,0.034526,[88 80] ; [5 4],[88.27118644 79.72881356] ; [4.72881356 4.27118644],0
p11,1,0.876434,0.024178,[109  61] ; [6 3],[109.21787709  60.78212291] ; [5.78212291 3.21787709],0
p3,1,0.896795,0.016825,[ 41 129] ; [2 7],[ 40.83798883 129.16201117] ; [2.16201117 6.83798883],0
u2,1,0.903908,0.014575,[38 43] ; [2 2],[38.11764706 42.88235294] ; [1.88235294 2.11764706],0
b2,1,0.948587,0.004158,[32 51] ; [2 3],[32.06818182 50.93181818] ; [1.93181818 3.06818182],0
b3,1,0.948587,0.004158,[32 51] ; [2 3],[32.06818182 50.93181818] ; [1.93181818 3.06818182],0
a8,1,0.959215,0.002615,[ 21 139] ; [1 7],[ 20.95238095 139.04761905] ; [1.04761905 6.95238095],0
