Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.559567,[11 75] ; [18 15],[20.95798319 65.04201681] ; [ 8.04201681 24.95798319],1
p3,1,6e-06,20.350539,[13 72] ; [19 15],[22.85714286 62.14285714] ; [ 9.14285714 24.85714286],1
p6,1,0.000531,12.004523,[ 5 79] ; [10 24],[10.6779661 73.3220339] ; [ 4.3220339 29.6779661],1
p4,1,0.00735,7.185309,[17 68] ; [15 19],[22.85714286 62.14285714] ; [ 9.14285714 24.85714286],0
s3,1,0.04598,3.98231,[19 64] ; [14 20],[23.41025641 59.58974359] ; [ 9.58974359 24.41025641],0
a8,1,0.050481,3.82541,[ 5 78] ; [ 6 28],[ 7.8034188 75.1965812] ; [ 3.1965812 30.8034188],0
s2,1,0.060272,3.529874,[16 68] ; [12 22],[19.93220339 64.06779661] ; [ 8.06779661 25.93220339],0
a2,1,0.061189,3.504854,[13 73] ; [ 1 33],[10.03333333 75.96666667] ; [ 3.96666667 30.03333333],0
b4,1,0.072538,3.224628,[51 35] ; [14 20],[46.58333333 39.41666667] ; [18.41666667 15.58333333],0
r3,1,0.079949,3.065942,[60 26] ; [29  5],[63.78333333 22.21666667] ; [25.21666667  8.78333333],0
a1,1,0.080288,3.059063,[12 74] ; [ 1 33],[ 9.31666667 76.68333333] ; [ 3.68333333 30.31666667],0
r4,1,0.097633,2.743795,[52 34] ; [26  8],[55.9 30.1] ; [22.1 11.9],0
b2,1,0.110334,2.549433,[20 27] ; [ 5 17],[17.02898551 29.97101449] ; [ 7.97101449 14.02898551],0
b3,1,0.110334,2.549433,[20 27] ; [ 5 17],[17.02898551 29.97101449] ; [ 7.97101449 14.02898551],0
d3,1,0.145142,2.122583,[43 43] ; [12 22],[39.41666667 46.58333333] ; [15.58333333 18.41666667],0
v2,1,0.170997,1.874185,[29 51] ; [17 17],[32.28070175 47.71929825] ; [13.71929825 20.28070175],0
s4,1,0.17115,1.87284,[16 68] ; [ 3 31],[13.52542373 70.47457627] ; [ 5.47457627 28.52542373],0
d2,1,0.175011,1.839484,[36 48] ; [10 24],[32.74576271 51.25423729] ; [13.25423729 20.74576271],0
p5,1,0.211153,1.563504,[ 3 83] ; [ 3 30],[ 4.33613445 81.66386555] ; [ 1.66386555 31.33613445],0
n6,1,0.212567,1.553857,[52 34] ; [24  9],[54.92436975 31.07563025] ; [21.07563025 11.92436975],0
n3,1,0.27675,1.18298,[20 17] ; [6 2],[21.37777778 15.62222222] ; [4.62222222 3.37777778],0
v3,1,0.278032,1.176682,[22 59] ; [ 6 28],[19.72173913 61.27826087] ; [ 8.27826087 25.72173913],0
b5,1,0.315372,1.008043,[47 39] ; [22 12],[49.45 36.55] ; [19.55 14.45],0
s6,1,0.334214,0.932501,[28 57] ; [14 19],[30.25423729 54.74576271] ; [11.74576271 21.25423729],0
v1,1,0.35313,0.862178,[23 63] ; [12 22],[25.08333333 60.91666667] ; [ 9.91666667 24.08333333],0
a4,1,0.372264,0.796094,[32 52] ; [10 24],[29.89830508 54.10169492] ; [12.10169492 21.89830508],0
s1,1,0.403216,0.698716,[ 6 79] ; [ 4 30],[ 7.14285714 77.85714286] ; [ 2.85714286 31.14285714],0
p11,1,0.417751,0.656635,[41 45] ; [19 15],[43. 43.] ; [17. 17.],0
u2,1,0.434682,0.610281,[18 22] ; [ 5 10],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
n2,1,0.470398,0.521041,[24 15] ; [6 2],[24.89361702 14.10638298] ; [5.10638298 2.89361702],0
v4,1,0.482825,0.492476,[63 23] ; [27  7],[64.5 21.5] ; [25.5  8.5],0
b1,1,0.48878,0.479211,[37 49] ; [17 17],[38.7 47.3] ; [15.3 18.7],0
p12,1,0.515267,0.423357,[ 5 81] ; [ 1 33],[ 4.3 81.7] ; [ 1.7 32.3],0
p9,1,0.524017,0.40598,[42 41] ; [15 19],[40.43589744 42.56410256] ; [16.56410256 17.43589744],0
d1,1,0.537519,0.380157,[33 53] ; [11 23],[31.53333333 54.46666667] ; [12.46666667 21.53333333],0
n1,1,0.582605,0.302042,[15 23] ; [4 4],[15.69565217 22.30434783] ; [3.30434783 4.69565217],0
r2,1,0.65538,0.199184,[70 15] ; [26  7],[69.15254237 15.84745763] ; [26.84745763  6.15254237],0
a5,1,0.688308,0.160923,[49 37] ; [18 16],[48.01666667 37.98333333] ; [18.98333333 15.01666667],0
p10,1,0.715678,0.132672,[36 47] ; [16 18],[36.88888889 46.11111111] ; [15.11111111 18.88888889],0
a7,1,0.73203,0.117256,[51 35] ; [19 15],[50.16666667 35.83333333] ; [19.83333333 14.16666667],0
d4,1,0.774499,0.082079,[58 28] ; [22 12],[57.33333333 28.66666667] ; [22.66666667 11.33333333],0
a6,1,0.77561,0.08125,[48 38] ; [18 16],[47.3 38.7] ; [18.7 15.3],0
s8,1,0.795432,0.067217,[ 9 77] ; [ 4 29],[ 9.39495798 76.60504202] ; [ 3.60504202 29.39495798],0
d5,1,0.821675,0.050801,[50 36] ; [19 15],[49.45 36.55] ; [19.55 14.45],0
a3,1,0.857313,0.032326,[46 38] ; [18 16],[45.55932203 38.44067797] ; [18.44067797 15.55932203],0
n4,1,0.868623,0.02736,[52 34] ; [20 14],[51.6 34.4] ; [20.4 13.6],0
r1,1,0.913189,0.011885,[49 37] ; [19 15],[48.73333333 37.26666667] ; [19.26666667 14.73333333],0
s5,1,0.93119,0.007456,[14 66] ; [ 6 27],[14.15929204 65.84070796] ; [ 5.84070796 27.15929204],0
u3,1,0.932258,0.007226,[18 22] ; [7 9],[17.85714286 22.14285714] ; [7.14285714 8.85714286],0
n5,1,0.988919,0.000193,[53 33] ; [21 13],[53.03333333 32.96666667] ; [20.96666667 13.03333333],0
