Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.012047,6.303959,[16 15] ; [37 10],[21.06410256  9.93589744] ; [31.93589744 15.06410256],0
d1,1,0.018177,5.579016,[10 21] ; [28 19],[15.1025641 15.8974359] ; [22.8974359 24.1025641],0
a7,1,0.021992,5.246397,[16 15] ; [36 11],[20.66666667 10.33333333] ; [31.33333333 15.66666667],0
s8,1,0.023908,5.101263,[ 5 25] ; [19 27],[ 9.47368421 20.52631579] ; [14.52631579 31.47368421],0
b5,1,0.02531,5.002517,[17 14] ; [37 10],[21.46153846  9.53846154] ; [32.53846154 14.46153846],0
r3,1,0.031474,4.626924,[25  6] ; [45  2],[27.82051282  3.17948718] ; [42.17948718  4.82051282],0
p2,1,0.037864,4.311115,[16 15] ; [35 12],[20.26923077 10.73076923] ; [30.73076923 16.26923077],0
s7,1,0.068442,3.319991,[ 8 21] ; [22 23],[11.75675676 17.24324324] ; [18.24324324 26.75675676],0
d4,1,0.069093,3.304436,[21 10] ; [40  7],[24.24358974  6.75641026] ; [36.75641026 10.24358974],0
s6,1,0.109365,2.563373,[14 16] ; [30 16],[17.36842105 12.63157895] ; [26.63157895 19.36842105],0
p6,1,0.123953,2.366643,[ 5 26] ; [14 30],[ 7.85333333 23.14666667] ; [11.14666667 32.85333333],0
d2,1,0.126832,2.330857,[13 18] ; [28 19],[16.29487179 14.70512821] ; [24.70512821 22.29487179],0
s1,1,0.139053,2.18841,[ 3 28] ; [ 1 46],[ 1.58974359 29.41025641] ; [ 2.41025641 44.58974359],0
p5,1,0.139053,2.18841,[ 3 28] ; [ 1 46],[ 1.58974359 29.41025641] ; [ 2.41025641 44.58974359],0
u2,1,0.146145,2.112029,[4 8] ; [7 4],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
d5,1,0.166256,1.91638,[20 11] ; [37 10],[22.65384615  8.34615385] ; [34.34615385 12.65384615],0
v3,1,0.180352,1.794723,[10 21] ; [21 23],[12.81333333 18.18666667] ; [18.18666667 25.81333333],0
n1,1,0.270948,1.211939,[6 3] ; [7 9],[4.68 4.32] ; [8.32 7.68],0
s4,1,0.293149,1.105103,[ 5 25] ; [ 4 42],[ 3.55263158 26.44736842] ; [ 5.44736842 40.55263158],0
a3,1,0.297849,1.0838,[19 11] ; [35 12],[21.03896104  8.96103896] ; [32.96103896 14.03896104],0
n6,1,0.299643,1.075784,[18 13] ; [32 14],[20.12987013 10.87012987] ; [29.87012987 16.12987013],0
v4,1,0.302723,1.062159,[26  5] ; [43  4],[27.42307692  3.57692308] ; [41.57692308  5.42307692],0
a6,1,0.366616,0.815103,[18 13] ; [32 15],[19.87179487 11.12820513] ; [30.12820513 16.87179487],0
p8,1,0.399927,0.708547,[ 9 22] ; [18 29],[10.73076923 20.26923077] ; [16.26923077 30.73076923],0
b4,1,0.427154,0.630548,[17 14] ; [30 17],[18.67948718 12.32051282] ; [28.32051282 18.67948718],0
s2,1,0.434706,0.610218,[11 20] ; [20 25],[12.64473684 18.35526316] ; [18.35526316 26.64473684],0
r1,1,0.437981,0.601566,[22  8] ; [38  9],[23.37662338  6.62337662] ; [36.62337662 10.37662338],0
n5,1,0.486699,0.483816,[18 13] ; [23 23],[16.50649351 14.49350649] ; [24.49350649 21.50649351],0
a5,1,0.518274,0.417327,[21 10] ; [35 12],[22.25641026  8.74358974] ; [33.74358974 13.25641026],0
r2,1,0.526671,0.40081,[29  2] ; [42  5],[28.21794872  2.78205128] ; [42.78205128  4.21794872],0
p11,1,0.548511,0.359991,[15 16] ; [26 21],[16.29487179 14.70512821] ; [24.70512821 22.29487179],0
n4,1,0.556625,0.345582,[21 10] ; [34 12],[22.14285714  8.85714286] ; [32.85714286 13.14285714],0
u1,1,0.604897,0.267673,[ 6 25] ; [ 7 40],[ 5.16666667 25.83333333] ; [ 7.83333333 39.16666667],0
n3,1,0.656005,0.198413,[6 3] ; [12  4],[6.48 2.52] ; [11.52  4.48],0
p9,1,0.658758,0.195035,[10 20] ; [18 29],[10.90909091 19.09090909] ; [17.09090909 29.90909091],0
u4,1,0.666941,0.185201,[ 2 29] ; [ 2 45],[ 1.58974359 29.41025641] ; [ 2.41025641 44.58974359],0
p1,1,0.666941,0.185201,[ 2 29] ; [ 2 45],[ 1.58974359 29.41025641] ; [ 2.41025641 44.58974359],0
b1,1,0.67783,0.172579,[15 16] ; [25 22],[15.8974359 15.1025641] ; [24.1025641 22.8974359],0
