Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8e-06,19.970284,[33 38] ; [184  63],[48.44968553 22.55031447] ; [168.55031447  78.44968553],1
n5,1,8e-06,19.858485,[29 42] ; [171  74],[44.93670886 26.06329114] ; [155.06329114  89.93670886],1
r4,1,2.2e-05,18.040384,[50 21] ; [224  24],[60.98432602 10.01567398] ; [213.01567398  34.98432602],1
p11,1,0.000269,13.272333,[38 33] ; [188  60],[50.30094044 20.69905956] ; [175.69905956  72.30094044],1
p10,1,0.00029,13.133322,[41 29] ; [194  49],[52.55591054 17.44408946] ; [182.44408946  60.55591054],1
v4,1,0.000375,12.650576,[59 12] ; [235  11],[65.84858044  5.15141956] ; [228.15141956  17.84858044],1
p9,1,0.000476,12.205573,[43 27] ; [197  45],[53.84615385 16.15384615] ; [186.15384615  55.84615385],1
s6,1,0.001077,10.690817,[30 41] ; [156  88],[41.92380952 29.07619048] ; [144.07619048  99.92380952],0
p2,1,0.001894,9.649242,[45 26] ; [200  47],[54.70125786 16.29874214] ; [190.29874214  56.70125786],0
s5,1,0.00333,8.617116,[ 8 58] ; [ 73 170],[17.30097087 48.69902913] ; [ 63.69902913 179.30097087],0
r3,1,0.004118,8.231068,[61 10] ; [235  11],[66.29652997  4.70347003] ; [229.70347003  16.29652997],0
r2,1,0.007442,7.163047,[60 11] ; [230  14],[65.36507937  5.63492063] ; [224.63492063  19.36507937],0
s7,1,0.013624,6.086235,[18 48] ; [105 133],[26.70394737 39.29605263] ; [ 96.29605263 141.70394737],0
s8,1,0.027062,4.886823,[16 55] ; [ 90 156],[23.74132492 47.25867508] ; [ 82.25867508 163.74132492],0
p4,1,0.02782,4.839213,[27 44] ; [130 116],[35.16403785 35.83596215] ; [121.83596215 124.16403785],0
p6,1,0.033266,4.532036,[12 58] ; [ 74 173],[18.99053628 51.00946372] ; [ 67.00946372 179.99053628],0
u1,1,0.061812,3.488081,[ 7 64] ; [ 48 200],[12.24137931 58.75862069] ; [ 42.75862069 205.24137931],0
s2,1,0.07462,3.178348,[26 45] ; [120 127],[32.59748428 38.40251572] ; [113.40251572 133.59748428],0
p3,1,0.084041,2.984965,[21 50] ; [101 146],[27.23899371 43.76100629] ; [ 94.76100629 152.23899371],0
v3,1,0.085083,2.965036,[13 54] ; [ 73 170],[18.58709677 48.41290323] ; [ 67.41290323 175.58709677],0
b3,1,0.096064,2.769702,[ 8 32] ; [45 88],[12.25433526 27.74566474] ; [40.74566474 92.25433526],0
b2,1,0.096064,2.769702,[ 8 32] ; [45 88],[12.25433526 27.74566474] ; [40.74566474 92.25433526],0
s1,1,0.098543,2.72896,[ 5 65] ; [  7 238],[ 2.66666667 67.33333333] ; [  9.33333333 235.66666667],0
p5,1,0.133589,2.25029,[ 2 67] ; [ 20 227],[ 4.80379747 64.19620253] ; [ 17.19620253 229.80379747],0
p8,1,0.151581,2.056271,[25 43] ; [114 131],[30.19808307 37.80191693] ; [108.80191693 136.19808307],0
v2,1,0.151986,2.052201,[24 42] ; [111 129],[29.11764706 36.88235294] ; [105.88235294 134.11764706],0
a2,1,0.15297,2.042382,[13 58] ; [ 66 182],[17.5830721 53.4169279] ; [ 61.4169279 186.5830721],0
d1,1,0.189252,1.723432,[35 36] ; [144 104],[39.84012539 31.15987461] ; [139.15987461 108.84012539],0
n3,1,0.194722,1.681522,[17  9] ; [51 14],[19.42857143  6.57142857] ; [48.57142857 16.42857143],0
d2,1,0.201454,1.6318,[27 43] ; [117 131],[31.69811321 38.30188679] ; [112.30188679 135.69811321],0
n2,1,0.238078,1.391941,[16 11] ; [46 18],[18.3956044  8.6043956] ; [43.6043956 20.3956044],0
