Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.390292,[113  49] ; [25 46],[95.94849785 66.05150215] ; [42.05150215 28.94849785],1
d4,1,0.000122,14.766238,[146  16] ; [49 21],[136.1637931  25.8362069] ; [58.8362069 11.1637931],1
d5,1,0.000159,14.267841,[143  19] ; [48 23],[132.79828326  29.20171674] ; [58.20171674 12.79828326],1
a4,1,0.00073,11.411415,[77 85] ; [17 54],[65.35622318 96.64377682] ; [28.64377682 42.35622318],1
a3,1,0.00103,10.772216,[116  46] ; [35 36],[104.98712446  57.01287554] ; [46.01287554 24.98712446],0
d2,1,0.001273,10.381051,[78 83] ; [18 52],[66.90909091 94.09090909] ; [29.09090909 40.90909091],0
u1,1,0.00131,10.328464,[ 26 136] ; [ 1 70],[ 18.77253219 143.22746781] ; [ 8.22746781 62.77253219],0
p10,1,0.001875,9.668124,[133  28] ; [44 25],[123.9  37.1] ; [53.1 15.9],0
p8,1,0.002301,9.29254,[91 67] ; [25 45],[80.38596491 77.61403509] ; [35.61403509 34.38596491],0
p3,1,0.004177,8.205054,[83 77] ; [22 48],[73.04347826 86.95652174] ; [31.95652174 38.04347826],0
a6,1,0.009751,6.679762,[115  47] ; [38 33],[106.3776824  55.6223176] ; [46.6223176 24.3776824],0
p4,1,0.020338,5.38262,[95 65] ; [29 39],[87.01754386 72.98245614] ; [36.98245614 31.01754386],0
p9,1,0.025729,4.97412,[135  26] ; [49 20],[128.8  32.2] ; [55.2 13.8],0
r1,1,0.034329,4.478231,[135  26] ; [51 20],[129.07758621  31.92241379] ; [56.92241379 14.07758621],0
r4,1,0.072664,3.221795,[146  16] ; [58 13],[141.83690987  20.16309013] ; [62.16309013  8.83690987],0
r3,1,0.090617,2.863382,[158   4] ; [65  5],[155.71551724   6.28448276] ; [67.28448276  2.71551724],0
b3,1,0.095557,2.77818,[34 53] ; [ 9 29],[29.928 57.072] ; [13.072 24.928],0
b2,1,0.095557,2.77818,[34 53] ; [ 9 29],[29.928 57.072] ; [13.072 24.928],0
a7,1,0.095963,2.771383,[125  37] ; [46 23],[119.92207792  42.07792208] ; [51.07792208 17.92207792],0
p12,1,0.113285,2.507788,[ 14 147] ; [ 2 67],[ 11.2 149.8] ; [ 4.8 64.2],0
s5,1,0.114258,2.49432,[ 40 117] ; [11 58],[ 35.42920354 121.57079646] ; [15.57079646 53.42920354],0
r2,1,0.178469,1.810329,[150  10] ; [62  8],[147.47826087  12.52173913] ; [64.52173913  5.47826087],0
d3,1,0.180361,1.794651,[119  43] ; [46 25],[114.72103004  47.27896996] ; [50.27896996 20.72103004],0
s8,1,0.18073,1.791614,[ 35 127] ; [10 61],[ 31.28755365 130.71244635] ; [13.71244635 57.28755365],0
n4,1,0.186177,1.747615,[116  46] ; [44 26],[111.72413793  50.27586207] ; [48.27586207 21.72413793],0
